"code_bss_old","code_bss_new","point_name","code_insee","lon","lat","altitude","nb_results_ades_all_params","year_min","year_max","nb_parameters","nb_results","info_up_date"
"06025X0004/AEP","BSS001PBPN","SOURCE DU GRISON","71039",4.73665192220476,46.4916192933263,290.00,41626,1996,2024,34,888,"2024-10-31"
"06053X0028/SCE","BSS001PDLX","SOURCE DU TROU BLEU","39367",6.00362969063198,46.5317700458736,660.00,12864,2006,2024,34,642,"2024-10-31"
"06276X1002/P2","BSS001QARJ","PUITS DE CORCELLES P2","01240",5.56502804629248,46.290134711798,285.00,22417,1992,2024,35,986,"2024-10-31"
"06277X0084/SO","BSS001QAWG","SOURCE BLEUE DE DORTAN","01148",5.66282009472913,46.3100174862549,385.00,25245,2001,2024,34,1001,"2024-10-31"
"06288X0072/O71A","BSS001QCDB","PUITS DE CHENAZ N°1","01071",6.05950246627542,46.3077530085941,520.00,21615,1987,2024,35,1221,"2024-10-31"
"06492X0015/HY","BSS001RDFB","SOURCE DE FONTBEL","69054",4.4807943635938,46.1903573049075,880.00,13642,2001,2024,34,718,"2024-10-31"
"06526X0067/P","BSS001RGKP","Puits de St-Martin-du-Fresne (01)","01373",5.55168802773014,46.1299365008665,528.00,43693,2004,2024,35,1378,"2024-10-31"
"06745X0204/SCE","BSS001SCBK","SOURCE DE SAINT-FONS","69092",4.69265511774585,45.9748825805445,205.00,41972,2007,2024,34,755,"2024-10-31"
"06754X0065/P2","BSS001SCTA","FORAGE DU BELLATON NOUVEAU","01007",5.34904282277342,46.0132782833963,243.00,45672,1989,2024,35,1228,"2024-10-31"
"06757X0009/F","BSS001SCXX","Puits de Meximieux (Villieu-Loyes-Mollon - 01)","01450",5.23856196507327,45.9182222167838,215.00,47618,1991,2024,35,1579,"2024-10-31"
"02397X0006/F28","BSS000SZMR","Forage de St-Jean (Ploudiry - 29)","29180",-4.1390298532397,48.4559388752139,186.00,22220,2007,2024,34,753,"2024-10-31"
"03627X0002/FAEP","BSS001AABE","Forage de Baccon (Baccon - 45)","45019",1.62487188694104,47.8924824711109,117.00,34820,1991,2024,34,961,"2024-10-31"
"04507X0043/SOURCE","BSS001ETUJ","PUITS DE SAVENAY (SAVENAY - 41)","44195",-1.94367803137237,47.3531664526436,17.00,21743,2007,2024,34,514,"2024-10-31"
"04538X0112/F","BSS001EZWS","Forage de St-Georges-sur-Loire (St-Georges-sur-Loire - 49)","49283",-0.729032296373335,47.4035836934859,53.00,19355,2007,2024,33,550,"2024-10-31"
"05458X0002/F2AEP","BSS001LQZM","HOPITAL PSYCHIATRIQUE  FORAGE  N 2 CHEZAL BENOIT - 18","18065",2.11181437921294,46.8256680968108,177.33,22832,1991,2024,34,769,"2024-10-31"
"09365X0019/HY","BSS002DJTN","SOURCE DU DURZON","12168",3.26166680949941,43.9909341201959,533.00,12473,1996,2024,35,2706,"2024-10-31"
"09491X0010/F4","BSS002DXZV","F4 Houron","40187",-1.37247491375323,43.8576364103114,5.00,1665,1998,2023,13,229,"2024-10-31"
"09507X0039/F","BSS002EBPS","forage Sudou (Cassen-40)","40068",-0.863525843836404,43.7506629072731,35.00,360,2005,2013,13,96,"2024-10-31"
"09681X0103/F","BSS002FBPG","FORAGE DE FANGAS","84105",5.44641074075915,43.8786378080568,250.00,17602,2006,2024,35,914,"2024-10-31"
"09682X0074/P","BSS002FBUM","PUITS DE LA BEGUDE BASSE","84112",5.52070365991038,43.8505503495596,305.00,26012,2001,2024,35,1012,"2024-10-31"
"09686X0019/F","BSS002FCHW","SOURCE DU MIRAIL","84084",5.53899627466902,43.7932941200561,514.00,14077,2006,2024,34,724,"2024-10-31"
"09722X0005/SOU","BSS002FERU","SOURCE DU VEGAY SUPERIEUR","06001",6.93006295856013,43.8391546005842,870.00,13773,2001,2024,34,784,"2024-10-31"
"09736X0214/F4","BSS002FGFR","FORAGE DE SAGNA","06048",7.32819089240621,43.768705595455,107.00,21407,2001,2024,35,946,"2024-10-31"
"09882X0208/FONCAU","BSS002GJTH","SOURCE FONTCAUDE","34257",2.99714324350763,43.6829527946389,395.00,24851,1996,2024,35,1475,"2024-10-31"
"09911X0272/AEP","BSS002GRQA","STADE EST","34244",4.03642365981346,43.6587141344481,17.00,62878,2002,2023,35,869,"2024-10-31"
"09913X0429/F2","BSS002GSZG","DASSARGUES F2","34145",4.157302,43.686302,9.00,66046,2001,2024,35,1481,"2024-10-31"
"09914X0266/F","BSS002GTNS","FORAGE DU CAILAR","30059",4.23058096753266,43.6754534344055,5.00,45932,1996,2024,35,944,"2024-10-31"
"10305X0083/S1","BSS002KAZM","Forage ASSAT (Assat - 64)","64067",-0.306335811418666,43.2476162112828,205.60,7743,2001,2024,34,1271,"2024-10-31"
"10305X0234/PZ","BSS002KBBN","Forage P 803 (UZOS - 64)","64550",-0.335491037587076,43.2716130543489,191.00,7239,2001,2024,21,1180,"2024-10-31"
"10338X0128/F","BSS002KEQU","PUITS SYNDICAL LIEU-DIT LARAMPEAU (PALAMINY - 31)","31406",1.05728569255506,43.2070019671724,252.50,7701,1991,2024,30,1083,"2024-10-31"
"10495X0006/S","BSS002LESM","Source Pisciculture Arraïna (Urepel - 64)","64543",-1.3961137683884,43.0542856778403,500.00,5136,2007,2024,34,684,"2024-10-31"
"10514X0014/ERH","BSS002LFEX","Source Oeil de Uza (Rebenacq - 64)","64463",-0.404811004274825,43.1538489729535,280.00,4016,2007,2024,21,483,"2024-10-31"
"10548X0002/F","BSS002LKWB","Puits des Genets (Labarthe-Rivière - 31)","31247",0.667631743028267,43.1008829165546,380.00,7585,1991,2024,34,975,"2024-10-31"
"10721X0012/HY","BSS002LZFC","Source Le Vivier (Sarrancolin -65)","65408",0.376194690452207,42.964902600441,650.00,2931,2004,2020,19,479,"2024-10-31"
"10734X0011/HY","BSS002MAYD","ALIOU","09091",1.04887649153156,42.9903153159958,441.00,4984,2004,2024,33,795,"2024-10-31"
"10766X0089/HY","BSS002MFVH","FONTESTORBES","09047",1.9272368803151,42.8925967874634,510.00,7983,1987,2024,34,960,"2024-10-31"
"04076X0008/SO","BSS001CQYX","SOURCE DE LA VINGEANNE","52014",5.19465124156637,47.7586389063002,410.00,15975,1997,2024,34,1077,"2024-10-31"
"10475X0046/F","BSS002LEFX","Cogolin - les Faïsses","83042",6.52955694410421,43.2331948526968,9.50,13669,2006,2024,34,523,"2024-10-31"
"10795X0001/S","BSS002MHQQ","FONTESTRAMAR","66190",2.95833798658368,42.8589995016557,4.00,38062,1987,2024,34,910,"2024-10-31"
"10906X0027/LIRIU","BSS002MNXV","FORAGE DU CHAMPS DE LIRIU F2","66121",2.6617105797238,42.6878918101629,119.00,53255,2001,2024,35,1049,"2024-10-31"
"10953X0022/GORNER","BSS002MSFB","RIA","66161",2.38312007789325,42.601952002579,385.00,19826,1999,2024,35,1073,"2024-10-31"
"10963X0041/RIPOLL","BSS002MSZK","FORAGE RIPOLL","66210",2.74522632253911,42.6434258605295,98.00,16303,1990,2024,35,757,"2024-10-31"
"10972X0184/F3BIS","BSS002MUXZ","FORAGE DE SAINT-CYPRIEN F3BIS","66171",2.9943153499863,42.6185475310112,5.00,13535,2001,2024,35,818,"2024-10-31"
"11056X0123/FIGA","BSS002MXUE","PUITS F1","2B050",8.78905779404406,42.5507116785812,6.00,14740,2000,2024,35,876,"2024-10-31"
"11061X0034/AJOLA","BSS002MYBB","SOURCE AJOLA","2B199",9.04442657944038,42.5830023300534,440.00,12429,2007,2023,35,548,"2024-10-31"
"11111X0054/FONT","BSS002NAWF","SOURCE DE VIEILLE FONTAINE","2B145",9.42919300315013,42.4762303452765,570.00,14755,2001,2024,35,782,"2024-10-31"
"11282X0005/ARAGUI","BSS002NGEA","PUITS DE L'ARAGUINA","2A041",9.165047,41.392351,20.00,7936,2001,2023,34,550,"2024-10-31"
