"code_station","x_l93","y_l93","x_longitude","y_latitude","nb_reseaux_distincts","nb_resultats_fw_params","date_min_fw_params","date_max_fw_params","info_up_date"
"03229700",482388.17,6886598.21,0.022883854231239644,49.04234006081597,0,1236,1997-06-24,2024-08-05,"2024-12-06"
"03230000",476645.62,6895650.67,-0.06039918209618421,49.12170060831924,0,1654,1997-06-24,2024-08-06,"2024-12-06"
"03230560",465463,6881282,-0.2054707389211396,48.98861736089934,0,807,1997-06-24,2023-11-15,"2024-12-06"
"03230760",473726.7,6895737.55,-0.10040007967779542,49.12145760940443,0,1875,1990-01-11,2024-08-06,"2024-12-06"
"03230855",483989.42,6902148.78,0.03678983346440633,49.18259838392123,0,411,1997-06-24,2020-12-14,"2024-12-06"
"03230920",479894,6900111,-0.018268487092681873,49.162896612153695,0,828,1998-04-15,2024-08-05,"2024-12-06"
"03231000",469351.44,6902903.17,-0.1642188319503287,49.18427074998895,0,5831,1990-03-01,2024-09-16,"2024-12-06"
"03231065",469854.25,6894749.36,-0.15286417813180944,49.11120146962378,0,2884,1997-06-24,2024-09-02,"2024-12-06"
"03231094",469164,6899356,-0.16483815103044602,49.1523378445693,0,1007,1997-06-24,2024-08-06,"2024-12-06"
"03231095",469170,6898815,-0.16445888476563292,49.14747993727117,0,560,1997-06-24,2023-11-15,"2024-12-06"
"03231260",470360,6910657,-0.15464481790461768,49.25428522828759,0,1793,2008-08-19,2024-08-06,"2024-12-06"
"03231400",476129,6903403,-0.07160069773883232,49.19116627031692,0,687,1997-06-24,2023-11-15,"2024-12-06"
"03231490",476294.94,6908518.4,-0.07205543285048677,49.23717760882951,0,3208,1997-06-24,2024-09-02,"2024-12-06"
"03231740",495672.33,6870731.76,0.2121268437199714,48.904119712697934,0,1298,1997-06-24,2024-08-05,"2024-12-06"
"03232000",493189,6876863,0.17528133885398878,48.95842717291008,0,564,1997-06-24,2023-11-14,"2024-12-06"
"03232080",489033.8,6875733.88,0.11913999813533388,48.94693062383715,0,901,2005-06-06,2024-08-05,"2024-12-06"
"03232125",490963,6878333,0.14417813864266069,48.97091747867797,0,562,1997-06-24,2023-11-14,"2024-12-06"
"03232450",489174.25,6888015.01,0.11493144157258979,49.05733503285468,0,3457,1990-01-11,2024-09-02,"2024-12-06"
"03232790",482380,6891781,0.020097628406431232,49.0889049573388,0,874,1997-06-24,2024-08-05,"2024-12-06"
"03233000",478837,6897259,-0.031248109942873054,49.136909973100764,0,564,1997-06-24,2023-11-14,"2024-12-06"
"03233700",488773.24,6840116.05,0.13323551093630553,48.6267194489475,0,873,1990-08-01,2024-08-28,"2024-12-06"
"03233740",486564.93,6842172.9,0.10226716076295274,48.64448345611975,0,1825,1990-08-02,2024-08-28,"2024-12-06"
"03233795",485567.87,6842907.01,0.08837532202175762,48.65075235755982,0,1829,1990-08-02,2024-08-28,"2024-12-06"
"03233860",486566,6846477,0.10013662861689941,48.683171887285646,0,465,1990-08-02,2024-08-07,"2024-12-06"
"03233896",482395.26,6850925.24,0.04125899563708567,48.72176238577745,0,1879,1990-08-01,2024-08-07,"2024-12-06"
"03233980",486872,6854308,0.10038511147462506,48.75365981454451,0,2993,1998-02-10,2024-09-03,"2024-12-06"
"03234100",478394,6849600,-0.012406172389519477,48.70849085567256,0,314,1990-08-02,2020-12-02,"2024-12-06"
"03234215",474967.77,6854168.24,-0.0613407682144232,48.74836335269736,0,2590,2007-01-23,2024-09-03,"2024-12-06"
"03234275",472056.01,6851355.71,-0.09941088254448174,48.72206483666348,0,1967,1990-08-01,2024-08-07,"2024-12-06"
"03234380",471470.72,6850524,-0.10691627215793394,48.714383132572145,0,1508,1998-01-12,2024-08-07,"2024-12-06"
"03234620",467507.51,6851369.51,-0.16120005493207176,48.72056747269848,0,1859,1990-08-06,2024-08-08,"2024-12-06"
"03234650",466672.32,6853698.87,-0.1738162829597179,48.74120010820194,0,3849,1990-01-15,2024-09-03,"2024-12-06"
"03235250",455068,6863135,-0.3369006888698815,48.82169330469391,0,1902,1990-08-01,2024-08-28,"2024-12-06"
"03235690",455241.32,6865842.07,-0.3360994691794577,48.84608315992413,0,1514,1990-08-06,2024-08-28,"2024-12-06"
"03236395",443529.8,6878411.22,-0.5031206863946318,48.95445009595825,0,3505,1990-08-01,2024-09-03,"2024-12-06"
"03236730",439762.81,6882984.26,-0.5573169892701899,48.99401696110877,0,1252,2005-06-07,2024-08-29,"2024-12-06"
"03237050",447196,6890096,-0.4600977790116411,49.0608700387325,0,534,1990-08-01,2023-12-11,"2024-12-06"
"03237150",446553,6890241,-0.4689742687728109,49.061918962732896,0,199,1990-08-09,2020-12-07,"2024-12-06"
"03237540",450858,6894076,-0.4123918622217602,49.09805408116396,0,974,1998-05-07,2024-08-13,"2024-12-06"
"03237800",453296.93,6900000.91,-0.3825020133599784,49.152218433883235,0,6054,1990-01-18,2024-09-16,"2024-12-06"
"03239010",461517,6909540,-0.27535132363711534,49.24101604562066,0,331,1990-08-09,2024-08-13,"2024-12-06"
"03239050",458908,6907489,-0.30996177698116023,49.2216158770241,0,262,1990-08-09,2022-12-16,"2024-12-06"
"03239520",466969.82,6843528.09,-0.1642329551360427,48.64990030208771,0,754,2008-08-05,2024-08-08,"2024-12-06"
"03240000",469920.61,6850581.52,-0.12799942533427347,48.714349784706535,0,1983,1990-08-06,2024-08-08,"2024-12-06"
"03240100",456564.86,6846225.92,-0.30688988180938503,48.67031237166675,0,3285,1990-08-07,2024-09-03,"2024-12-06"
"03240900",448162,6862410,-0.43044097132205744,48.81251831144811,0,305,1990-08-07,2024-08-28,"2024-12-06"
"03241000",450515,6862234,-0.3983259409890713,48.81185168953492,0,2139,1990-01-15,2024-08-28,"2024-12-06"
"03241300",430202,6862970,-0.6750986172388929,48.810284566147324,0,331,1990-08-08,2022-12-13,"2024-12-06"
"03241330",435614.66,6863043.09,-0.6015177956003745,48.81318337570962,0,1733,1990-01-15,2024-08-12,"2024-12-06"
"03241590",431116.49,6877094.26,-0.6715992767990112,48.93755000225281,0,2951,1990-10-08,2024-09-03,"2024-12-06"
"03241815",436579,6870060,-0.5927455763202152,48.876618049332244,0,869,1998-05-14,2024-08-12,"2024-12-06"
"03241865",438096,6868325,-0.5710143852911881,48.861649696655256,0,506,1990-01-15,2024-08-12,"2024-12-06"
"03241920",441285.3,6866973.49,-0.5267645260968274,48.85079620614742,0,748,1990-08-08,2024-08-12,"2024-12-06"
"03241957",444527.85,6867742.55,-0.48308232781306987,48.85899967138596,0,2645,2007-01-23,2024-09-03,"2024-12-06"
"03242800",439562.1,6861869.91,-0.5471003141039972,48.80424954606222,0,763,1990-08-08,2024-08-12,"2024-12-06"
"03243000",441906.14,6866823.23,-0.518221323537069,48.84969521338294,0,2457,1990-01-15,2024-08-12,"2024-12-06"
"03243350",435963.56,6892079.89,-0.6148669448531245,49.07416711888588,0,1520,1990-08-09,2024-08-19,"2024-12-06"
"03243540",440171.84,6894139.33,-0.5586006772591664,49.09438317413014,0,1213,1990-08-09,2024-08-19,"2024-12-06"
"03244000",451597.05,6901444.99,-0.40663363310339246,49.16453282654011,0,2040,1990-01-15,2024-08-19,"2024-12-06"
"03244460",457940.79,6878409.05,-0.3065169132952274,48.960016684954304,0,761,1990-08-07,2020-08-05,"2024-12-06"
"03244725",457351.15,6887236.53,-0.3196283018112285,49.03910131869382,0,784,1990-08-07,2024-08-13,"2024-12-06"
"03245100",453221,6892511,-0.3791498138333029,49.08490923049015,0,3463,1990-01-15,2024-09-03,"2024-12-06"
"03245597",429466.49,6895651.95,-0.705981596722979,49.103542880470414,0,947,1998-05-12,2021-12-21,"2024-12-06"
"03245640",432364,6894657,-0.6657142591178883,49.095822498181185,0,933,1998-05-12,2024-08-19,"2024-12-06"
"03245665",433616.24,6897891.41,-0.6506339187649487,49.125393488236334,0,1797,1998-02-04,2024-08-19,"2024-12-06"
"03245840",435568.82,6906001.94,-0.6290174295300156,49.19904347997627,0,1082,1998-05-12,2024-08-20,"2024-12-06"
"03246000",443208.24,6915940.6,-0.5304108074767042,49.29141108369823,0,3637,1990-02-07,2024-09-16,"2024-12-06"
"03246220",446642.43,6906906.27,-0.4777916959710091,49.21164391241465,0,1101,1998-05-11,2024-08-20,"2024-12-06"
"03246245",445636.36,6908690.18,-0.4926662850879478,49.22726670963724,0,750,2008-08-18,2024-08-20,"2024-12-06"
"03246300",447970.13,6916191.79,-0.46517990295456746,49.2955624937478,0,3133,1990-02-07,2024-09-16,"2024-12-06"
"03246920",431002.12,6910885.88,-0.6947335638927639,49.24100003657816,0,3087,1998-01-15,2024-09-16,"2024-12-06"
"03247140",427461,6919975,-0.7492221168578931,49.32111613144883,0,1742,1990-02-07,2024-09-16,"2024-12-06"
"03247210",416636,6894818,-0.8809061882291115,49.09051338027156,0,2995,1998-02-04,2024-09-16,"2024-12-06"
"03247250",423409,6907839,-0.7968570958417559,49.21040232500707,0,525,1998-05-26,2023-12-12,"2024-12-06"
"03247275",428155.26,6917538.35,-0.7381000516422147,49.29953288457127,0,1827,1990-02-07,2024-08-31,"2024-12-06"
"03247440",418485.29,6913733.42,-0.8683002431666773,49.26118278483669,0,1050,1998-05-26,2024-08-22,"2024-12-06"
"03247475",417115,6916372,-0.888883281088436,49.2842691055552,0,1799,1998-02-05,2024-08-22,"2024-12-06"
"03247590",413221,6918825,-0.9440095603477321,49.30455748158658,0,879,1998-05-26,2024-08-22,"2024-12-06"
"03247700",408422.83,6921508.35,-1.0117585477731221,49.326476108397166,0,801,1990-02-07,2024-06-24,"2024-12-06"
"03248401",418804.12,6860593.58,-0.8285500637968775,48.78406712151709,0,2663,2007-01-11,2024-09-30,"2024-12-06"
