id,name,lat,lon
00153,Amerang-Kammer,48.0027,12.3132
00154,Amerang-Pfaffing,48.0197,12.2925
00155,Amerdingen,48.7257,10.4915
00156,Amesdorf-Warmsdorf,51.7770,11.5744
00158,Amöneburg-Rüdigheim,50.7840,8.9545
00159,Amorbach,49.6403,9.2295
00160,Andechs-Erling,47.9636,11.1778
00161,Andernach,50.4237,7.4202
00162,Anger-Oberhögl,47.8013,12.8984
00163,Anger-Stoißberg,47.8030,12.8193
00164,Angermünde,53.0316,13.9908
00165,Angern,52.3611,11.7346
00166,Angersdorf,51.4667,11.9000
00167,Anklam,53.8409,13.6854
00168,Ankum,52.5461,7.8763
00169,Annaberg-Buchholz,50.5730,13.0053
00170,Annaburg,51.7309,13.0546
00172,Annaturm,52.2486,9.5056
00173,Annweiler,49.2133,7.9799
00174,Annweiler-Bindersbach,49.1886,7.9766
00175,Ansbach,49.2964,10.5751
00176,Ansbach-Claffheim,49.2475,10.5826
00177,Ansbach-Hennenbach,49.3158,10.5815
00178,Ansbach-Schalkhausen,49.2993,10.5354
00179,Apfeldorf,47.8963,10.9320
00180,Apolda,51.0306,11.5050
00182,Arendsee-Kläden,52.8682,11.4400
00183,Arkona,54.6791,13.4344
00184,Arneburg,52.6769,12.0077
00185,Arnis,54.6289,9.9294
00186,Arnsberg,51.3773,8.0713
00187,Arnsberg-Holzen,51.4188,7.9126
00188,Arnstadt,50.8500,10.9667
00189,Arnstein-Altbessingen,50.0270,9.9771
00190,Arnstein-Marbach,49.9745,9.9332
00191,Arnstein-Müdesheim,49.9694,9.9114
00192,Arnstorf,48.5565,12.8126
00193,Arolsen-Neu,51.3845,9.0820
00194,"Arolsen-Landau,",51.3431,9.0763
00196,Arolsen-Schmillinghausen,51.4256,9.0236
00198,Artern,51.3744,11.2920
00199,Artlenburg,53.3752,10.4795
00200,Lauperath-Scheidchen,50.0850,6.3161
00201,Asbach,50.6661,7.4459
00202,Aschaffenburg,49.9771,9.1091
00203,Aschau-Innerkoy,47.7860,12.3368
00204,Aschau-Sachrang,47.7002,12.2731
00205,Aschau-Stein,47.7275,12.2982
00206,Aschendorf,53.0500,7.3333
00207,Aschersleben,51.7498,11.4667
00208,Aseleben,51.4887,11.6679
00209,Aspach-Allmersbach,48.9957,9.3933
00211,Aßlar,50.5800,8.4685
00213,Sargstedt,51.9375,10.9897
00214,Attendorn,51.1212,7.9108
00215,Attendorn,51.0998,7.8352
00216,Attendorn-Neulisternohl,51.1143,7.8807
00217,Attenkam,47.8774,11.3643
00218,Staßfurt-Atzendorf,51.9166,11.6020
00219,Atzendorf,51.9167,11.5667
00220,Au,48.9501,8.2324
00221,Au,48.5515,11.7117
00222,Aue,50.5908,12.7139
00223,Auerbach/Oberpfalz,49.7007,11.6235
00224,Auerberg,47.7333,10.7333
00225,Auerstedt,51.1000,11.5833
00226,Aufkirchen,48.3060,11.8586
00227,Aufseß-Hochstahl,49.8823,11.2656
00228,Augsburg,48.3474,10.9351
00229,Augsburg,48.4000,10.9000
00230,Augsburg,48.3667,10.9167
00231,Augsburg,48.3723,10.8948
00232,Augsburg,48.4253,10.9417
00234,Augsdorf,51.6001,11.5689
00235,Augustdorf,51.8905,8.7323
00236,Augustenberg,49.0048,8.4932
00237,Augustusburg,50.8124,13.1033
00240,Aura,50.1805,9.5743
00242,Aurach-Weinberg,49.2331,10.3635
00243,Aurich,53.4621,7.4670
00244,Aurich-Dietrichsfeld,53.5392,7.5159
00245,Aurich-Wiesens,53.4551,7.5756
00246,Axien,51.7015,12.8909
00247,Aying-Kleinhelfendorf,47.9422,11.8103
00248,Baalberge,51.7634,11.8007
00249,Babenhausen-Harreshausen,49.9708,8.9862
00250,Babenhausen-Hergershausen,49.9506,8.8898
00251,Bachhaupten,47.9833,9.4333
00252,Backnang,48.9546,9.4336
00255,Badbergen,52.6346,7.9788
00256,Baddeckenstedt-Wartjensstedt,52.1039,10.1938
00257,Baden-Baden-Geroldsau,48.7270,8.2457
00259,Müllheim,47.8064,7.6387
00260,Badersleben,51.9861,10.8934
00262,Bärnau-Naab,49.7983,12.4288
00264,Bahnsdorf,51.5793,14.1285
00266,Bahrendorf,51.9978,11.5639
00267,Baierbach,48.4158,12.2060
00268,Baiersbronn-Obertal,48.5293,8.2727
00269,Baiersbronn-Mitteltal,48.5116,8.3176
00270,Baiersbronn-Schönegründ,48.5699,8.4058
00271,Baiersbronn-Zwickgabel,48.5879,8.3185
00272,Baiersdorf-Hagenau,49.6583,11.0609
00273,Baindt,47.8413,9.6606
00274,Bakede,52.2167,9.5500
00275,Balderschwang,47.4650,10.1043
00276,Balgstädt,51.2073,11.7302
00277,Balingen-Heselwangen,48.2772,8.8830
00278,Ballenstedt,51.7206,11.2478
