point_id,Uziarnienie,Jednostka,1995,2000,2005,2010,2015,2020
303,"BN-78/9180-11: 1,0-0,1 mm",udział w %,33,28,23,30,26,60
303,"BN-78/9180-11: 0,1-0,02 mm",udział w %,25,28,34,31,36,25
303,BN-78/9180-11: < 0.02 mm,udział w %,42,44,43,39,38,15
303,"PTG 2008: 2,0-0,05 mm",udział w %,,,,41,35,73
303,"PTG 2008: 0,05-0,002 mm",udział w %,,,,55,62,23
303,PTG 2008: < 0.002 mm,udział w %,9,7,10,4,3,4
303,"Odczyn ""pH "" w zawiesinie H2O",pH,5.0,5.5,6.8,5.2,5.2,7.6
303,"Odczyn ""pH "" w zawiesinie KCl",pH,3.8,4.2,6.1,4.3,4.1,7
303,Węglany (CaCO3),%,,,,,,0.16
303,Próchnica,%,3.22,3.58,4.64,3.26,3.6,5.28
303,Węgiel organiczny,%,1.87,2.08,2.69,1.89,2.09,3.06
303,Azot ogólny,%,0.172,0.162,0.198,0.163,0.19,0.17
303,Stosunek C/N,,10.9,12.8,13.6,11.6,11.0,18
303,Kwasowość hydrolityczna (Hh),cmol(+)*kg-1,7.8,8.05,1.73,10.2,7.28,2.1
303,Kwasowośc wymienna (Hw),cmol(+)*kg-1,2.0,1.58,,3.13,1.79,0.37
303,"Glin wymienny ""Al""",cmol(+)*kg-1,1.6,1.14,,2.78,1.32,0.01
303,Wapń wymianny (Ca2+),cmol(+)*kg-1,4.37,4.24,13.34,2.65,2.97,8.9
303,Magnez wymienny (Mg2+),cmol(+)*kg-1,0.69,0.76,1.27,0.44,0.3,2.43
303,Sód wymienny (Na+),cmol(+)*kg-1,0.06,0.1,0.04,0.05,0.02,"<0,10"
303,Potas wymienny (K+),cmol(+)*kg-1,0.51,0.86,0.75,0.39,0.72,1.57
303,Suma kationów wymiennych (S),cmol(+)*kg-1,5.63,5.96,15.4,3.53,4.01,12.9
303,Pojemność sorpcyjna gleby (T),cmol(+)*kg-1,13.43,14.01,17.13,13.73,11.29,21.9
303,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V),%,41.92,42.54,89.9,25.71,35.51,58.9
303,Fosfor przyswajalny,mg P2O5* 100g-1,13.8,18.4,18.4,9.0,4.4,35.7
303,Potas przyswajalny,mg K2O*100g-1,17.1,26.3,21.8,13.6,12.9,76.5
303,Magnez przyswajalny,mg Mg*100g-1,6.6,8.0,13.0,6.9,7.3,22.6
303,Siarka przyswajalna,mg S-SO4*100g-1,2.88,2.6,2.75,1.07,0.58,1.8
303,Azot amonowy,NNH4 mg*kg-1,,,,,16.49,37.8
303,Azot azotanowy,NNO3 mg*kg-1,,,,,1.19,2.5
303,Fosfor,%,0.082,0.111,0.098,0.084,0.07,0.037
303,Wapń,%,0.13,0.17,0.42,0.19,0.12,0.14
303,Magnez,%,0.25,0.22,0.22,0.19,0.23,0.1
303,Potas,%,0.16,0.14,0.16,0.18,0.1,0.09
303,Sód,%,0.011,0.008,0.011,0.009,0.007,0.004
303,Siarka,%,0.034,0.032,0.039,0.031,0.029,0.026
303,Glin,%,1.63,1.45,1.6,1.06,1.0,0.41
303,Żelazo,%,1.89,1.45,1.7,1.7,2.2,0.5
303,Mangan,Mn mg*kg-1,535,617,601,619,811,457
303,Kadm,Cd mg*kg-1,0.35,0.43,0.4,0.35,0.31,"<0,50"
303,Miedź,Cu mg*kg-1,16.2,15.0,20.9,18.8,18.8,14.9
303,Chrom,Cr mg*kg-1,13.8,13.2,14.1,15.1,22.3,17.5
303,Nikiel,Ni mg*kg-1,10.7,9.4,10.9,12.0,15.9,12.2
303,Ołów,Pb mg*kg-1,27.5,30.9,36.5,45.8,38.9,28.5
303,Cynk,Zn mg*kg-1,73.3,88.3,94.3,86.3,88.7,76.4
303,Kobalt,Co mg*kg-1,3.6,4.85,4.74,6.05,8.63,6.43
303,Wanad,V mg*kg-1,31.7,40.7,36.4,28.1,37.1,26.7
303,Lit,Li mg*kg-1,16.0,12.1,11.8,9.2,16.4,11.5
303,Beryl,Be mg*kg-1,0.6,0.67,0.63,0.65,1.16,"<2,00"
303,Bar,Ba mg*kg-1,95.3,107.7,99.0,100.3,95.1,96.4
303,Stront,Sr mg*kg-1,16.7,11.8,14.2,9.0,7.9,17.6
303,Lantan,La mg*kg-1,19.5,15.1,16.0,17.8,16.9,21.09
303,Rtec,Hg mg*kg-1,,,,,0.13,0.182
303,Arsen,As mg*kg-1,,,,,11.25,7.83
303,Wielopierscieniowe weglowodory aromatyczne suma 13 WWA,µg*kg-1,922.0,3866.0,4554.0,1943.0,1011.3,1782
303,WWA - naftalen,µg*kg-1,,,,,22.5,"<25,0"
303,WWA - fenantren,µg*kg-1,,,,,60.2,94
303,WWA - antracen,µg*kg-1,,,,,17.2,31
303,WWA - fluoranten,µg*kg-1,,,,,165.2,346
303,WWA - chryzen,µg*kg-1,,,,,82.6,158
303,WWA - benzo(a)antracen,µg*kg-1,,,,,91.9,161
303,WWA - benzo(a)piren,µg*kg-1,,,,,92.8,173
303,WWA - benzo(a)fluoranten,µg*kg-1,,,,,26.9,"<25,0"
303,WWA - benzo(ghi)perylen,µg*kg-1,,,,,59.4,105
303,WWA - fluoren,µg*kg-1,,,,,10.6,"<25,0"
303,WWA - piren,µg*kg-1,,,,,139.6,286
303,WWA - benzo(b)fluoranten,µg*kg-1,,,,,136.0,156
303,WWA - benzo(k)fluoranten,µg*kg-1,,,,,43.5,125
303,"WWA - dibenzo(a,h)antracen",µg*kg-1,,,,,22.3,"<25,0"
303,"WWA - indeno(1,2,3-cd)piren",µg*kg-1,,,,,90.0,147
303,Pestycydy chloroorganiczne - DDT/DDE/DDD,mg*kg-1,,,,,0.117,
303,Pestycydy chloroorganiczne - aldrin,mg*kg-1,,,,,0.002,
303,Pestycydy chloroorganiczne - dieldrin,mg*kg-1,,,,,"<0,001",
303,Pestycydy chloroorganiczne - endrin,mg*kg-1,,,,,"<0,001",
303,Pestycydy chloroorganiczne - alfa-HCH,mg*kg-1,,,,,"<0,001",
303,Pestycydy chloroorganiczne - beta-HCH,mg*kg-1,,,,,"<0,001",
303,Pestycydy chloroorganiczne - gamma-HCH,mg*kg-1,,,,,"<0,001",
303,Pestycydy - zwiazki nie chlorowe - carbaryl,mg*kg-1,,,,,"<0,001",
303,Pestycydy - zwiazki nie chlorowe - carbofuran,mg*kg-1,,,,,"<0,001",
303,Pestycydy - zwiazki nie chlorowe - maneb,mg*kg-1,,,,,,
303,Pestycydy - zwiazki nie chlorowe - atrazin,mg*kg-1,,,,,"<0,001",
303,Radioaktywność,Bq*kg-1,851,972,905,888,949,1407
303,Przewodnictwo elektryczne właściwe,mS*m-1,6.83,7.8,8.2,5.6,6.11,10.61
303,Zasolenie,mg KCl*100g-1,18.0,20.6,21.6,14.79,16.13,28
