point_id,Uziarnienie,Jednostka,1995,2000,2005,2010,2015,2020
429,"BN-78/9180-11: 1,0-0,1 mm",udział w %,5,7,9,14,7,69
429,"BN-78/9180-11: 0,1-0,02 mm",udział w %,19,23,20,32,31,16
429,BN-78/9180-11: < 0.02 mm,udział w %,76,70,71,54,62,15
429,"PTG 2008: 2,0-0,05 mm",udział w %,,,,27,15,83
429,"PTG 2008: 0,05-0,002 mm",udział w %,,,,63,72,12
429,PTG 2008: < 0.002 mm,udział w %,34,30,27,10,13,5
429,"Odczyn ""pH "" w zawiesinie H2O",pH,6.5,6.7,6.7,6.5,6.4,7
429,"Odczyn ""pH "" w zawiesinie KCl",pH,5.5,5.5,5.7,5.5,5.6,6.5
429,Węglany (CaCO3),%,,,,,,0.06
429,Próchnica,%,3.69,3.74,3.89,4.72,4.1,3.52
429,Węgiel organiczny,%,2.14,2.17,2.26,2.74,2.38,2.04
429,Azot ogólny,%,0.18,0.2,0.215,0.295,0.27,0.17
429,Stosunek C/N,,11.9,10.8,10.5,9.3,8.8,12
429,Kwasowość hydrolityczna (Hh),cmol(+)*kg-1,3.9,4.28,3.25,3.45,2.63,2.4
429,Kwasowośc wymienna (Hw),cmol(+)*kg-1,,,,,,0.11
429,"Glin wymienny ""Al""",cmol(+)*kg-1,,,,,,0.06
429,Wapń wymianny (Ca2+),cmol(+)*kg-1,11.98,11.98,11.29,13.31,12.38,15.6
429,Magnez wymienny (Mg2+),cmol(+)*kg-1,1.53,1.64,1.81,1.95,0.56,1.38
429,Sód wymienny (Na+),cmol(+)*kg-1,0.13,0.1,0.13,0.17,0.03,"<0,10"
429,Potas wymienny (K+),cmol(+)*kg-1,0.96,0.81,1.26,2.17,1.76,0.53
429,Suma kationów wymiennych (S),cmol(+)*kg-1,14.6,14.53,14.49,17.61,14.73,17.51
429,Pojemność sorpcyjna gleby (T),cmol(+)*kg-1,18.5,18.81,17.74,21.06,17.36,29.8
