point_id,Uziarnienie,Jednostka,1995,2000,2005,2010,2015,2020
321,"BN-78/9180-11: 1,0-0,1 mm",udział w %,46,43,49,43,43,45
321,"BN-78/9180-11: 0,1-0,02 mm",udział w %,28,32,28,30,34,32
321,BN-78/9180-11: < 0.02 mm,udział w %,26,25,23,27,23,23
321,"PTG 2008: 2,0-0,05 mm",udział w %,,,,55,56,55
321,"PTG 2008: 0,05-0,002 mm",udział w %,,,,42,42,41
321,PTG 2008: < 0.002 mm,udział w %,5,4,4,3,2,4
321,"Odczyn ""pH "" w zawiesinie H2O",pH,6.6,6.8,6.1,6.3,5.9,6.9
321,"Odczyn ""pH "" w zawiesinie KCl",pH,5.7,5.8,5.1,5.4,5.1,6.5
321,Węglany (CaCO3),%,,,,,,0.03
321,Próchnica,%,1.77,1.62,1.66,1.59,1.55,2.49
321,Węgiel organiczny,%,1.03,0.94,0.96,0.92,0.9,1.45
321,Azot ogólny,%,0.117,0.107,0.081,0.082,0.11,0.09
321,Stosunek C/N,,8.8,8.8,11.8,11.2,8.2,16.11
321,Kwasowość hydrolityczna (Hh),cmol(+)*kg-1,3.0,2.78,3.6,2.78,3.15,1.7
321,Kwasowośc wymienna (Hw),cmol(+)*kg-1,,,0.58,0.28,0.39,0.11
321,"Glin wymienny ""Al""",cmol(+)*kg-1,,,0.28,0.07,0.16,0.01
321,Wapń wymianny (Ca2+),cmol(+)*kg-1,2.99,3.24,2.68,2.51,2.07,4.9
321,Magnez wymienny (Mg2+),cmol(+)*kg-1,0.77,0.93,0.25,1.01,0.38,0.6
321,Sód wymienny (Na+),cmol(+)*kg-1,0.06,0.06,0.01,0.15,0.07,"<0,10"
321,Potas wymienny (K+),cmol(+)*kg-1,0.94,0.69,0.33,0.76,0.46,0.56
321,Suma kationów wymiennych (S),cmol(+)*kg-1,4.76,4.92,3.27,4.43,2.98,6.06
321,Pojemność sorpcyjna gleby (T),cmol(+)*kg-1,7.76,7.7,6.87,7.21,6.13,8.5
321,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V),%,61.34,63.9,47.6,61.44,48.57,71.29
321,Fosfor przyswajalny,mg P2O5* 100g-1,17.5,10.3,8.5,14.1,8.8,13.6
321,Potas przyswajalny,mg K2O*100g-1,29.9,20.3,13.3,26.0,23.5,19.9
321,Magnez przyswajalny,mg Mg*100g-1,7.7,10.1,8.5,11.1,4.7,5.4
321,Siarka przyswajalna,mg S-SO4*100g-1,1.88,2.01,1.8,1.8,0.73,6.6
321,Azot amonowy,NNH4 mg*kg-1,,,,,15.99,2.3
321,Azot azotanowy,NNO3 mg*kg-1,,,,,7.29,44.1
321,Fosfor,%,0.04,0.038,0.05,0.056,0.05,0.046
321,Wapń,%,0.1,0.1,0.06,0.09,0.07,0.19
321,Magnez,%,0.1,0.08,0.07,0.07,0.06,0.15
321,Potas,%,0.09,0.06,0.06,0.06,0.04,0.15
321,Sód,%,0.005,0.004,0.005,0.002,0.003,0.004
321,Siarka,%,0.018,0.016,0.02,0.015,0.016,0.013
321,Glin,%,0.64,0.6,0.56,0.37,0.33,0.99
321,Żelazo,%,0.64,0.67,0.57,0.61,0.59,1.01
321,Mangan,Mn mg*kg-1,1033,983,945,1054,886,945
321,Kadm,Cd mg*kg-1,0.36,0.44,0.38,0.34,0.28,"<0,50"
321,Miedź,Cu mg*kg-1,5.2,5.3,4.3,5.4,5.0,2.11
321,Chrom,Cr mg*kg-1,7.3,8.0,8.6,6.8,7.3,8.16
321,Nikiel,Ni mg*kg-1,5.5,6.5,6.0,6.0,6.1,5.77
321,Ołów,Pb mg*kg-1,19.9,19.1,17.6,19.0,39.3,15.2
321,Cynk,Zn mg*kg-1,43.3,45.0,38.2,55.0,40.0,43.9
321,Kobalt,Co mg*kg-1,3.36,3.65,2.96,3.38,3.58,3.28
321,Wanad,V mg*kg-1,20.0,18.3,15.0,12.5,13.9,13.1
321,Lit,Li mg*kg-1,6.4,5.7,5.1,2.7,2.8,"<10,00"
321,Beryl,Be mg*kg-1,0.2,0.27,0.13,0.21,0.2,"<2,00"
321,Bar,Ba mg*kg-1,47.3,55.3,45.9,57.1,46.6,57.6
321,Stront,Sr mg*kg-1,5.2,6.2,4.4,4.2,3.6,"<10,00"
321,Lantan,La mg*kg-1,7.9,7.1,7.6,7.6,7.1,10.52
321,Rtec,Hg mg*kg-1,,,,,0.05,"<0,100"
321,Arsen,As mg*kg-1,,,,,3.43,3.51
321,Wielopierscieniowe weglowodory aromatyczne suma 13 WWA,µg*kg-1,364.0,297.0,304.0,474.7,442.7,260
321,WWA - naftalen,µg*kg-1,,,,,5.8,"<25,0"
321,WWA - fenantren,µg*kg-1,,,,,33.5,"<25,0"
321,WWA - antracen,µg*kg-1,,,,,6.4,"<25,0"
321,WWA - fluoranten,µg*kg-1,,,,,69.8,57
321,WWA - chryzen,µg*kg-1,,,,,39.8,28
321,WWA - benzo(a)antracen,µg*kg-1,,,,,35.2,"<25,0"
321,WWA - benzo(a)piren,µg*kg-1,,,,,38.9,27
321,WWA - benzo(a)fluoranten,µg*kg-1,,,,,9.1,32
321,WWA - benzo(ghi)perylen,µg*kg-1,,,,,30.2,29
321,WWA - fluoren,µg*kg-1,,,,,4.3,"<25,0"
321,WWA - piren,µg*kg-1,,,,,60.0,45
321,WWA - benzo(b)fluoranten,µg*kg-1,,,,,59.7,"<25,0"
321,WWA - benzo(k)fluoranten,µg*kg-1,,,,,20.9,25
321,"WWA - dibenzo(a,h)antracen",µg*kg-1,,,,,8.7,"<25,0"
321,"WWA - indeno(1,2,3-cd)piren",µg*kg-1,,,,,35.4,49
