point_id,Uziarnienie,Jednostka,1995,2000,2005,2010,2015,2020
71,"BN-78/9180-11: 1,0-0,1 mm",udział w %,81,78,80,79,82,53
71,"BN-78/9180-11: 0,1-0,02 mm",udział w %,13,16,15,14,12,28
71,BN-78/9180-11: < 0.02 mm,udział w %,6,6,5,7,6,19
71,"PTG 2008: 2,0-0,05 mm",udział w %,,,,91,90,65
71,"PTG 2008: 0,05-0,002 mm",udział w %,,,,8,10,33
71,PTG 2008: < 0.002 mm,udział w %,2,1,2,1,0,2
71,"Odczyn ""pH "" w zawiesinie H2O",pH,6.2,6.3,6.1,5.7,5.3,6.2
71,"Odczyn ""pH "" w zawiesinie KCl",pH,5.4,5.1,5.0,4.3,4.2,5.7
71,Węglany (CaCO3),%,,,,,,"<0,01"
71,Próchnica,%,1.11,1.32,1.15,1.1,1.22,5.08
71,Węgiel organiczny,%,0.64,0.76,0.67,0.64,0.71,2.94
71,Azot ogólny,%,0.06,0.068,0.054,0.06,0.08,0.1
71,Stosunek C/N,,10.7,11.2,12.4,10.7,8.9,29.4
71,Kwasowość hydrolityczna (Hh),cmol(+)*kg-1,2.25,2.48,2.7,3.9,3.0,2.9
71,Kwasowośc wymienna (Hw),cmol(+)*kg-1,,,,0.44,0.32,0.37
71,"Glin wymienny ""Al""",cmol(+)*kg-1,,,,0.28,0.14,0.01
71,Wapń wymianny (Ca2+),cmol(+)*kg-1,2.0,1.8,1.86,1.07,1.22,7.2
71,Magnez wymienny (Mg2+),cmol(+)*kg-1,0.33,0.28,0.2,0.12,0.19,1.45
71,Sód wymienny (Na+),cmol(+)*kg-1,0.19,0.1,0.12,0.04,0.01,"<0,10"
71,Potas wymienny (K+),cmol(+)*kg-1,0.36,0.28,0.15,0.19,0.26,0.6
71,Suma kationów wymiennych (S),cmol(+)*kg-1,2.88,2.46,2.33,1.42,1.69,9.25
71,Pojemność sorpcyjna gleby (T),cmol(+)*kg-1,5.13,4.94,5.03,5.32,4.69,10.6
71,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V),%,56.14,49.8,46.32,26.68,35.98,87.26
71,Fosfor przyswajalny,mg P2O5* 100g-1,15.0,11.0,9.5,10.4,24.6,32.2
71,Potas przyswajalny,mg K2O*100g-1,13.9,10.4,9.2,5.9,10.6,40.3
71,Magnez przyswajalny,mg Mg*100g-1,3.9,3.0,2.5,2.2,3.18,12.4
71,Siarka przyswajalna,mg S-SO4*100g-1,2.0,1.87,1.8,1.1,0.57,8.7
71,Azot amonowy,NNH4 mg*kg-1,,,,,4.71,2.7
71,Azot azotanowy,NNO3 mg*kg-1,,,,,1.09,30.6
71,Fosfor,%,0.046,0.048,0.053,0.047,0.08,0.039
71,Wapń,%,0.07,0.07,0.08,0.05,0.07,0.15
71,Magnez,%,0.04,0.04,0.03,0.03,0.03,0.19
71,Potas,%,0.07,0.05,0.04,0.04,0.05,0.12
71,Sód,%,0.007,0.004,0.004,0.005,0.005,0.008
71,Siarka,%,0.011,0.016,0.014,0.011,0.016,0.01
71,Glin,%,0.4,0.3,0.26,0.19,0.22,0.88
71,Żelazo,%,0.53,0.47,0.53,0.48,0.42,0.75
71,Mangan,Mn mg*kg-1,152,132,139,140,59,266
71,Kadm,Cd mg*kg-1,0.13,0.16,0.11,0.09,0.18,"<0,50"
71,Miedź,Cu mg*kg-1,4.8,3.7,4.8,3.9,3.8,2.04
71,Chrom,Cr mg*kg-1,5.2,4.8,4.7,4.2,3.9,10.3
71,Nikiel,Ni mg*kg-1,4.3,3.9,4.2,3.7,3.1,8.45
71,Ołów,Pb mg*kg-1,10.5,10.3,11.7,12.3,14.3,8.11
71,Cynk,Zn mg*kg-1,24.0,27.8,21.6,21.7,36.8,24.7
71,Kobalt,Co mg*kg-1,1.11,1.63,1.51,1.77,1.23,3.95
71,Wanad,V mg*kg-1,5.0,6.3,8.6,5.3,5.1,24.9
71,Lit,Li mg*kg-1,2.3,2.5,1.9,1.2,1.7,"<10,00"
71,Beryl,Be mg*kg-1,0.13,0.13,0.16,0.14,0.14,"<2,00"
71,Bar,Ba mg*kg-1,21.1,18.0,21.5,22.7,20.8,51.2
71,Stront,Sr mg*kg-1,5.6,4.8,5.4,4.7,4.5,"<10,00"
71,Lantan,La mg*kg-1,7.2,8.8,10.1,6.0,5.1,16.5
71,Rtec,Hg mg*kg-1,,,,,0.07,"<0,100"
71,Arsen,As mg*kg-1,,,,,2.35,1.87
