point_id,Uziarnienie,Jednostka,1995,2000,2005,2010,2015,2020
65,"BN-78/9180-11: 1,0-0,1 mm",udział w %,38,34,37,38,32,30
65,"BN-78/9180-11: 0,1-0,02 mm",udział w %,43,47,45,43,51,38
65,BN-78/9180-11: < 0.02 mm,udział w %,19,19,18,19,17,32
65,"PTG 2008: 2,0-0,05 mm",udział w %,,,,61,57,38
65,"PTG 2008: 0,05-0,002 mm",udział w %,,,,37,40,52
65,PTG 2008: < 0.002 mm,udział w %,4,3,4,2,3,10
65,"Odczyn ""pH "" w zawiesinie H2O",pH,6.6,6.4,6.5,5.5,4.5,6.1
65,"Odczyn ""pH "" w zawiesinie KCl",pH,6.1,5.6,5.5,4.5,3.6,5.5
65,Węglany (CaCO3),%,,,,,,0.03
65,Próchnica,%,1.31,1.29,1.1,1.0,0.91,2.64
65,Węgiel organiczny,%,0.76,0.75,0.64,0.58,0.53,1.53
65,Azot ogólny,%,0.063,0.054,0.05,0.059,0.09,0.05
65,Stosunek C/N,,12.1,13.9,12.8,9.8,5.9,30.6
65,Kwasowość hydrolityczna (Hh),cmol(+)*kg-1,1.5,1.85,1.63,4.28,3.27,2.4
65,Kwasowośc wymienna (Hw),cmol(+)*kg-1,,,,0.61,0.7,0.12
65,"Glin wymienny ""Al""",cmol(+)*kg-1,,,,0.45,0.49,0.09
65,Wapń wymianny (Ca2+),cmol(+)*kg-1,4.74,4.5,4.7,1.6,1.27,3.8
65,Magnez wymienny (Mg2+),cmol(+)*kg-1,0.29,0.23,0.23,0.14,0.3,0.32
65,Sód wymienny (Na+),cmol(+)*kg-1,0.06,0.06,0.03,0.03,0.02,"<0,10"
65,Potas wymienny (K+),cmol(+)*kg-1,0.7,0.5,0.46,0.32,0.21,0.68
65,Suma kationów wymiennych (S),cmol(+)*kg-1,5.79,5.29,5.42,2.09,1.81,4.8
65,Pojemność sorpcyjna gleby (T),cmol(+)*kg-1,7.29,7.14,7.05,6.37,5.08,7.6
65,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V),%,79.42,74.09,76.88,32.78,35.65,63.16
65,Fosfor przyswajalny,mg P2O5* 100g-1,30.8,15.4,15.8,11.2,11.2,17.8
65,Potas przyswajalny,mg K2O*100g-1,29.4,19.8,14.6,10.9,11.3,24.7
65,Magnez przyswajalny,mg Mg*100g-1,3.6,2.4,3.0,2.5,2.48,3.2
65,Siarka przyswajalna,mg S-SO4*100g-1,0.88,0.8,0.88,0.94,0.81,8.8
65,Azot amonowy,NNH4 mg*kg-1,,,,,3.26,3.3
65,Azot azotanowy,NNO3 mg*kg-1,,,,,10.56,31
65,Fosfor,%,0.051,0.061,0.062,0.048,0.05,0.042
65,Wapń,%,0.18,0.12,0.12,0.09,0.07,0.36
65,Magnez,%,0.11,0.09,0.08,0.09,0.09,0.15
65,Potas,%,0.2,0.18,0.17,0.12,0.14,0.13
65,Sód,%,0.015,0.006,0.01,0.008,0.01,0.006
65,Siarka,%,0.012,0.016,0.014,0.009,0.015,0.011
65,Glin,%,0.65,0.51,0.51,0.38,0.39,0.71
65,Żelazo,%,0.78,0.69,0.75,0.66,0.57,0.78
65,Mangan,Mn mg*kg-1,308,285,264,244,243,281
65,Kadm,Cd mg*kg-1,0.12,0.19,0.14,0.1,0.12,"<0,50"
65,Miedź,Cu mg*kg-1,6.0,5.7,5.5,3.3,3.6,"<2,00"
65,Chrom,Cr mg*kg-1,11.0,10.0,10.7,8.8,8.5,9.74
65,Nikiel,Ni mg*kg-1,4.3,3.8,5.0,4.7,4.9,4.52
65,Ołów,Pb mg*kg-1,9.5,8.9,9.9,8.9,7.3,7.74
65,Cynk,Zn mg*kg-1,20.8,17.0,17.7,20.7,21.4,13.1
65,Kobalt,Co mg*kg-1,1.8,1.47,1.84,2.71,2.88,2.9
65,Wanad,V mg*kg-1,21.7,20.0,17.6,10.2,10.2,10.6
65,Lit,Li mg*kg-1,5.0,5.3,4.2,2.9,4.5,"<10,00"
65,Beryl,Be mg*kg-1,0.3,0.3,0.33,0.25,0.29,"<2,00"
65,Bar,Ba mg*kg-1,44.0,38.0,37.6,31.5,29.8,28.6
65,Stront,Sr mg*kg-1,11.8,10.5,8.4,5.7,5.3,"<10,00"
65,Lantan,La mg*kg-1,13.1,10.7,11.9,10.7,10.7,12.61
65,Rtec,Hg mg*kg-1,,,,,0.03,"<0,100"
65,Arsen,As mg*kg-1,,,,,2.33,2.31
65,Wielopierscieniowe weglowodory aromatyczne suma 13 WWA,µg*kg-1,341.0,281.0,261.0,257.8,162.0,28
65,WWA - naftalen,µg*kg-1,,,,,9.0,"<25,0"
65,WWA - fenantren,µg*kg-1,,,,,12.7,"<25,0"
65,WWA - antracen,µg*kg-1,,,,,4.3,"<25,0"
65,WWA - fluoranten,µg*kg-1,,,,,23.3,"<25,0"
65,WWA - chryzen,µg*kg-1,,,,,14.0,"<25,0"
65,WWA - benzo(a)antracen,µg*kg-1,,,,,12.0,"<25,0"
65,WWA - benzo(a)piren,µg*kg-1,,,,,16.7,"<25,0"
65,WWA - benzo(a)fluoranten,µg*kg-1,,,,,5.2,"<25,0"
65,WWA - benzo(ghi)perylen,µg*kg-1,,,,,12.7,"<25,0"
65,WWA - fluoren,µg*kg-1,,,,,4.5,"<25,0"
65,WWA - piren,µg*kg-1,,,,,19.4,"<25,0"
65,WWA - benzo(b)fluoranten,µg*kg-1,,,,,10.0,"<25,0"
65,WWA - benzo(k)fluoranten,µg*kg-1,,,,,10.6,"<25,0"
65,"WWA - dibenzo(a,h)antracen",µg*kg-1,,,,,4.5,"<25,0"
65,"WWA - indeno(1,2,3-cd)piren",µg*kg-1,,,,,17.5,28
65,Pestycydy chloroorganiczne - DDT/DDE/DDD,mg*kg-1,,,,,0.009,
65,Pestycydy chloroorganiczne - aldrin,mg*kg-1,,,,,"<0,001",
65,Pestycydy chloroorganiczne - dieldrin,mg*kg-1,,,,,"<0,001",
65,Pestycydy chloroorganiczne - endrin,mg*kg-1,,,,,"<0,001",
65,Pestycydy chloroorganiczne - alfa-HCH,mg*kg-1,,,,,"<0,001",
65,Pestycydy chloroorganiczne - beta-HCH,mg*kg-1,,,,,"<0,001",
65,Pestycydy chloroorganiczne - gamma-HCH,mg*kg-1,,,,,"<0,001",
65,Pestycydy - zwiazki nie chlorowe - carbaryl,mg*kg-1,,,,,"<0,001",
65,Pestycydy - zwiazki nie chlorowe - carbofuran,mg*kg-1,,,,,"<0,001",
65,Pestycydy - zwiazki nie chlorowe - maneb,mg*kg-1,,,,,,
65,Pestycydy - zwiazki nie chlorowe - atrazin,mg*kg-1,,,,,"<0,001",
65,Radioaktywność,Bq*kg-1,564,624,522,601,916,541
65,Przewodnictwo elektryczne właściwe,mS*m-1,17.62,13.0,12.0,5.47,6.56,33.7121212
65,Zasolenie,mg KCl*100g-1,45.4,34.3,30.9,14.44,17.32,89
