point_id,Uziarnienie,Jednostka,1995,2000,2005,2010,2015,2020
97,"BN-78/9180-11: 1,0-0,1 mm",udział w %,55,53,54,47,39,60
97,"BN-78/9180-11: 0,1-0,02 mm",udział w %,23,25,23,30,32,31
97,BN-78/9180-11: < 0.02 mm,udział w %,22,22,23,23,29,9
97,"PTG 2008: 2,0-0,05 mm",udział w %,,,,61,54,73
97,"PTG 2008: 0,05-0,002 mm",udział w %,,,,37,36,25
97,PTG 2008: < 0.002 mm,udział w %,7,8,5,2,10,2
97,"Odczyn ""pH "" w zawiesinie H2O",pH,6.6,6.9,6.4,6.3,6.4,6.6
97,"Odczyn ""pH "" w zawiesinie KCl",pH,5.7,5.7,5.3,5.4,5.7,6.2
97,Węglany (CaCO3),%,,,,,,0.02
97,Próchnica,%,1.55,1.56,1.43,1.83,1.69,3.51
97,Węgiel organiczny,%,0.9,0.9,0.83,1.06,0.98,2.03
97,Azot ogólny,%,0.07,0.08,0.087,0.104,0.11,0.07
97,Stosunek C/N,,12.8,11.2,9.5,10.2,8.9,29
97,Kwasowość hydrolityczna (Hh),cmol(+)*kg-1,2.1,2.48,2.03,2.78,1.58,1.5
97,Kwasowośc wymienna (Hw),cmol(+)*kg-1,,,,0.16,,0.09
97,"Glin wymienny ""Al""",cmol(+)*kg-1,,,,0.04,,0.02
97,Wapń wymianny (Ca2+),cmol(+)*kg-1,5.74,4.98,4.64,3.6,6.87,3.6
97,Magnez wymienny (Mg2+),cmol(+)*kg-1,0.52,0.48,0.41,0.41,0.35,0.45
97,Sód wymienny (Na+),cmol(+)*kg-1,0.06,0.06,0.01,0.05,0.03,"<0,10"
97,Potas wymienny (K+),cmol(+)*kg-1,0.36,0.38,0.31,0.44,1.72,0.52
97,Suma kationów wymiennych (S),cmol(+)*kg-1,6.68,5.9,5.37,4.5,8.98,4.62
97,Pojemność sorpcyjna gleby (T),cmol(+)*kg-1,8.78,8.38,7.4,7.28,10.56,7.9
97,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V),%,76.08,70.41,72.57,61.81,85.03,58.48
97,Fosfor przyswajalny,mg P2O5* 100g-1,27.2,21.8,18.8,16.9,3.3,22.1
97,Potas przyswajalny,mg K2O*100g-1,12.9,13.7,12.8,19.3,18.7,26.2
97,Magnez przyswajalny,mg Mg*100g-1,5.4,5.0,5.0,5.5,17.6,3.7
97,Siarka przyswajalna,mg S-SO4*100g-1,0.63,0.95,0.8,0.94,0.66,1.58
