point_id,Uziarnienie,Jednostka,1995,2000,2005,2010,2015,2020
21,"BN-78/9180-11: 1,0-0,1 mm",udział w %,36,35,31,33,34,44
21,"BN-78/9180-11: 0,1-0,02 mm",udział w %,35,37,36,39,43,35
21,BN-78/9180-11: < 0.02 mm,udział w %,29,28,33,28,23,21
21,"PTG 2008: 2,0-0,05 mm",udział w %,,,,49,53,55
21,"PTG 2008: 0,05-0,002 mm",udział w %,,,,43,43,41
21,PTG 2008: < 0.002 mm,udział w %,8,10,9,8,4,4
21,"Odczyn ""pH "" w zawiesinie H2O",pH,6.6,7.0,6.7,7.8,7.2,7.3
21,"Odczyn ""pH "" w zawiesinie KCl",pH,5.6,5.8,5.9,6.9,6.4,7.1
21,Węglany (CaCO3),%,,,,,0.17,0.07
21,Próchnica,%,1.84,2.01,2.06,2.52,2.41,4.84
21,Węgiel organiczny,%,1.07,1.16,1.19,1.46,1.4,2.81
21,Azot ogólny,%,0.117,0.132,0.116,0.154,0.17,0.18
21,Stosunek C/N,,9.1,8.8,10.3,9.5,8.2,15.61
21,Kwasowość hydrolityczna (Hh),cmol(+)*kg-1,1.5,1.65,1.83,1.2,1.5,1.2
21,Kwasowośc wymienna (Hw),cmol(+)*kg-1,,,,,,0.09
21,"Glin wymienny ""Al""",cmol(+)*kg-1,,,,,,0.01
21,Wapń wymianny (Ca2+),cmol(+)*kg-1,10.98,11.1,10.78,20.31,11.25,16.1
21,Magnez wymienny (Mg2+),cmol(+)*kg-1,0.8,0.78,1.83,0.87,0.36,1.57
21,Sód wymienny (Na+),cmol(+)*kg-1,0.1,0.06,0.09,0.09,0.08,"<0,10"
21,Potas wymienny (K+),cmol(+)*kg-1,0.32,0.42,0.57,0.37,1.12,0.33
21,Suma kationów wymiennych (S),cmol(+)*kg-1,12.2,12.36,13.27,21.64,12.81,18
21,Pojemność sorpcyjna gleby (T),cmol(+)*kg-1,13.7,14.01,15.1,22.84,14.31,25.4
21,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V),%,89.05,88.22,87.88,94.75,89.52,70.87
21,Fosfor przyswajalny,mg P2O5* 100g-1,4.4,7.0,56.6,69.3,78.7,42.6
21,Potas przyswajalny,mg K2O*100g-1,8.1,11.1,24.7,16.4,16.8,13.6
21,Magnez przyswajalny,mg Mg*100g-1,7.3,7.1,20.1,13.3,10.7,13.3
21,Siarka przyswajalna,mg S-SO4*100g-1,1.38,1.55,1.5,1.46,1.0,2.8
21,Azot amonowy,NNH4 mg*kg-1,,,,,9.81,3.8
21,Azot azotanowy,NNO3 mg*kg-1,,,,,3.63,35.9
21,Fosfor,%,0.07,0.08,0.134,0.118,0.1,0.056
21,Wapń,%,0.32,0.33,0.37,0.39,0.36,0.24
21,Magnez,%,0.25,0.24,0.23,0.19,0.19,0.22
