point_id,Uziarnienie,Jednostka,1995,2000,2005,2010,2015,2020
231,"BN-78/9180-11: 1,0-0,1 mm",udział w %,82,79,78,81,81,60
231,"BN-78/9180-11: 0,1-0,02 mm",udział w %,12,15,13,11,10,27
231,BN-78/9180-11: < 0.02 mm,udział w %,6,6,9,8,9,13
231,"PTG 2008: 2,0-0,05 mm",udział w %,,,,89,90,73
231,"PTG 2008: 0,05-0,002 mm",udział w %,,,,10,7,23
231,PTG 2008: < 0.002 mm,udział w %,3,2,2,1,3,4
231,"Odczyn ""pH "" w zawiesinie H2O",pH,6.2,5.8,6.2,5.9,4.8,5.2
231,"Odczyn ""pH "" w zawiesinie KCl",pH,5.1,5.0,5.1,4.6,3.8,4.2
231,Węglany (CaCO3),%,,,,,,"<0,01"
231,Próchnica,%,1.65,1.67,1.33,1.48,1.59,1.14
231,Węgiel organiczny,%,0.96,0.97,0.77,0.86,0.92,0.66
231,Azot ogólny,%,0.087,0.09,0.089,0.075,0.1,0.08
231,Stosunek C/N,,11.0,10.8,8.6,11.5,9.2,8.25
231,Kwasowość hydrolityczna (Hh),cmol(+)*kg-1,3.3,3.68,3.6,3.0,3.23,2.4
231,Kwasowośc wymienna (Hw),cmol(+)*kg-1,,,,0.37,0.58,0.58
231,"Glin wymienny ""Al""",cmol(+)*kg-1,,,,0.21,0.28,"<0,0022"
231,Wapń wymianny (Ca2+),cmol(+)*kg-1,2.0,1.75,1.91,1.25,1.1,1.3
231,Magnez wymienny (Mg2+),cmol(+)*kg-1,0.37,0.35,0.31,0.26,0.23,0.18
231,Sód wymienny (Na+),cmol(+)*kg-1,0.03,0.03,0.03,0.08,0.02,"<0,10"
231,Potas wymienny (K+),cmol(+)*kg-1,0.32,0.18,0.13,0.31,0.29,0.27
231,Suma kationów wymiennych (S),cmol(+)*kg-1,2.72,2.31,2.38,1.89,1.64,1.75
231,Pojemność sorpcyjna gleby (T),cmol(+)*kg-1,6.02,5.99,5.98,4.89,4.87,3
231,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V),%,45.18,38.56,39.8,38.7,33.62,58.33
231,Fosfor przyswajalny,mg P2O5* 100g-1,22.0,17.5,16.4,19.4,20.3,24.5
231,Potas przyswajalny,mg K2O*100g-1,10.7,6.9,8.7,12.2,9.2,8.4
231,Magnez przyswajalny,mg Mg*100g-1,4.4,3.9,3.4,2.9,3.0,2.1
231,Siarka przyswajalna,mg S-SO4*100g-1,0.5,0.63,0.63,0.98,0.8,3.9
231,Azot amonowy,NNH4 mg*kg-1,,,,,11.57,2.1
231,Azot azotanowy,NNO3 mg*kg-1,,,,,12.28,26.6
231,Fosfor,%,0.068,0.071,0.067,0.062,0.06,0.071
231,Wapń,%,0.15,0.15,0.15,0.05,0.05,0.3
231,Magnez,%,0.05,0.04,0.03,0.03,0.03,0.21
231,Potas,%,0.05,0.04,0.04,0.04,0.01,0.11
231,Sód,%,0.005,0.004,0.004,0.002,0.002,0.005
231,Siarka,%,0.024,0.02,0.02,0.012,0.014,0.014
231,Glin,%,0.38,0.31,0.34,0.26,0.25,0.7
231,Żelazo,%,0.34,0.28,0.35,0.3,0.28,0.71
231,Mangan,Mn mg*kg-1,142,125,166,154,143,139
231,Kadm,Cd mg*kg-1,0.08,0.09,0.06,0.08,0.07,"<0,50"
231,Miedź,Cu mg*kg-1,3.0,2.5,3.4,3.6,3.3,"<2,00"
231,Chrom,Cr mg*kg-1,3.8,3.7,3.2,3.6,3.4,3.44
231,Nikiel,Ni mg*kg-1,1.8,2.5,2.0,2.4,2.0,2.04
