point_id,Uziarnienie,Jednostka,1995,2000,2005,2010,2015,2020
117,"BN-78/9180-11: 1,0-0,1 mm",udział w %,58,59,61,48,48,39
117,"BN-78/9180-11: 0,1-0,02 mm",udział w %,24,24,20,22,26,21
117,BN-78/9180-11: < 0.02 mm,udział w %,18,17,19,30,26,40
117,"PTG 2008: 2,0-0,05 mm",udział w %,,,,62,64,48
117,"PTG 2008: 0,05-0,002 mm",udział w %,,,,27,25,41
117,PTG 2008: < 0.002 mm,udział w %,6,7,6,11,11,11
117,"Odczyn ""pH "" w zawiesinie H2O",pH,6.9,7.0,6.6,7.2,6.6,7
117,"Odczyn ""pH "" w zawiesinie KCl",pH,6.0,5.8,5.7,6.5,6.0,6.3
117,Węglany (CaCO3),%,,,,,,0.02
117,Próchnica,%,1.31,1.2,1.25,1.53,1.55,1.43
117,Węgiel organiczny,%,0.76,0.7,0.72,0.89,0.9,0.83
117,Azot ogólny,%,0.089,0.077,0.069,0.082,0.11,0.1
117,Stosunek C/N,,8.5,9.1,10.4,10.9,8.2,8.3
117,Kwasowość hydrolityczna (Hh),cmol(+)*kg-1,1.73,1.8,1.88,1.73,1.35,1.2
117,Kwasowośc wymienna (Hw),cmol(+)*kg-1,,,,,,0.07
117,"Glin wymienny ""Al""",cmol(+)*kg-1,,,,,,"<0,0022"
117,Wapń wymianny (Ca2+),cmol(+)*kg-1,5.0,4.74,4.57,6.52,5.79,8.5
117,Magnez wymienny (Mg2+),cmol(+)*kg-1,0.72,0.57,0.48,0.62,0.46,0.83
117,Sód wymienny (Na+),cmol(+)*kg-1,0.06,0.06,0.02,0.06,0.02,"<0,10"
117,Potas wymienny (K+),cmol(+)*kg-1,0.87,0.56,0.54,0.52,0.91,0.38
117,Suma kationów wymiennych (S),cmol(+)*kg-1,6.65,5.93,5.61,7.72,7.17,9.71
117,Pojemność sorpcyjna gleby (T),cmol(+)*kg-1,8.38,7.73,7.49,9.45,8.52,13.2
117,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V),%,79.36,76.71,74.9,81.69,84.16,73.56
117,Fosfor przyswajalny,mg P2O5* 100g-1,17.0,15.8,12.0,16.4,12.8,11.4
117,Potas przyswajalny,mg K2O*100g-1,35.0,29.4,28.9,20.4,20.2,10
117,Magnez przyswajalny,mg Mg*100g-1,7.4,6.0,5.8,11.9,7.6,10
117,Siarka przyswajalna,mg S-SO4*100g-1,1.0,0.75,0.7,0.9,0.8,2.1
117,Azot amonowy,NNH4 mg*kg-1,,,,,9.16,2.3
117,Azot azotanowy,NNO3 mg*kg-1,,,,,4.66,34.2
117,Fosfor,%,0.036,0.028,0.035,0.047,0.05,0.035
117,Wapń,%,0.17,0.16,0.16,0.2,0.2,0.37
117,Magnez,%,0.19,0.14,0.12,0.18,0.21,0.2
117,Potas,%,0.25,0.26,0.26,0.21,0.26,0.17
117,Sód,%,0.013,0.008,0.013,0.007,0.005,0.006
117,Siarka,%,0.012,0.012,0.011,0.019,0.017,0.013
117,Glin,%,0.88,0.75,0.75,0.74,0.95,1.08
117,Żelazo,%,0.94,0.85,0.93,1.17,1.13,1.15
117,Mangan,Mn mg*kg-1,245,230,223,312,285,279
117,Kadm,Cd mg*kg-1,0.15,0.23,0.18,0.13,0.12,"<0,50"
117,Miedź,Cu mg*kg-1,7.3,6.3,8.0,7.5,8.7,8.09
117,Chrom,Cr mg*kg-1,10.5,11.0,11.4,14.2,16.1,18.4
117,Nikiel,Ni mg*kg-1,7.5,6.2,8.3,11.3,12.8,12.1
117,Ołów,Pb mg*kg-1,8.7,7.9,9.0,11.1,9.6,10.3
117,Cynk,Zn mg*kg-1,26.5,25.1,25.0,34.3,29.8,30.8
117,Kobalt,Co mg*kg-1,1.81,2.34,2.03,4.5,4.83,4.52
117,Wanad,V mg*kg-1,21.7,26.7,20.5,19.0,21.0,21
117,Lit,Li mg*kg-1,6.1,6.0,4.5,5.4,9.6,"<10,00"
117,Beryl,Be mg*kg-1,0.33,0.37,0.26,0.45,0.56,"<2,00"
117,Bar,Ba mg*kg-1,41.0,38.2,42.0,45.8,35.9,48.4
117,Stront,Sr mg*kg-1,10.1,7.9,7.2,8.7,8.0,10.4
117,Lantan,La mg*kg-1,12.4,10.1,9.7,12.2,12.8,14.65
117,Rtec,Hg mg*kg-1,,,,,0.03,"<0,100"
117,Arsen,As mg*kg-1,,,,,3.89,4.67
117,Wielopierscieniowe weglowodory aromatyczne suma 13 WWA,µg*kg-1,233.0,478.0,278.0,921.7,1021.5,28
117,WWA - naftalen,µg*kg-1,,,,,12.4,"<25,0"
117,WWA - fenantren,µg*kg-1,,,,,68.7,"<25,0"
117,WWA - antracen,µg*kg-1,,,,,11.0,"<25,0"
117,WWA - fluoranten,µg*kg-1,,,,,173.5,28
117,WWA - chryzen,µg*kg-1,,,,,117.3,"<25,0"
117,WWA - benzo(a)antracen,µg*kg-1,,,,,107.0,"<25,0"
117,WWA - benzo(a)piren,µg*kg-1,,,,,109.8,"<25,0"
117,WWA - benzo(a)fluoranten,µg*kg-1,,,,,18.3,"<25,0"
117,WWA - benzo(ghi)perylen,µg*kg-1,,,,,71.0,"<25,0"
117,WWA - fluoren,µg*kg-1,,,,,7.2,"<25,0"
117,WWA - piren,µg*kg-1,,,,,156.8,"<25,0"
