point_id,Uziarnienie,Jednostka,1995,2000,2005,2010,2015,2020
123,"BN-78/9180-11: 1,0-0,1 mm",udział w %,60,59,55,56,55,38
123,"BN-78/9180-11: 0,1-0,02 mm",udział w %,25,27,28,26,32,42
123,BN-78/9180-11: < 0.02 mm,udział w %,15,14,17,18,13,20
123,"PTG 2008: 2,0-0,05 mm",udział w %,,,,71,77,49
123,"PTG 2008: 0,05-0,002 mm",udział w %,,,,27,20,45
123,PTG 2008: < 0.002 mm,udział w %,3,4,4,2,3,6
123,"Odczyn ""pH "" w zawiesinie H2O",pH,6.9,7.1,6.7,8.4,7.6,7.9
123,"Odczyn ""pH "" w zawiesinie KCl",pH,6.2,6.1,5.9,8.0,7.3,7.8
123,Węglany (CaCO3),%,,,,2.2,2.47,0.28
123,Próchnica,%,1.42,1.29,1.25,1.31,1.57,3.12
123,Węgiel organiczny,%,0.82,0.75,0.72,0.76,0.91,1.81
123,Azot ogólny,%,0.078,0.074,0.089,0.072,0.08,0.07
123,Stosunek C/N,,10.5,10.1,8.1,10.6,11.3,25.86
123,Kwasowość hydrolityczna (Hh),cmol(+)*kg-1,1.27,1.43,1.65,0.53,0.45,"<0,75"
123,Kwasowośc wymienna (Hw),cmol(+)*kg-1,,,,,,0.09
123,"Glin wymienny ""Al""",cmol(+)*kg-1,,,,,,0.01
123,Wapń wymianny (Ca2+),cmol(+)*kg-1,4.74,3.94,3.62,16.67,14.54,16.8
123,Magnez wymienny (Mg2+),cmol(+)*kg-1,0.34,0.28,0.2,0.2,0.45,0.3
123,Sód wymienny (Na+),cmol(+)*kg-1,0.06,0.1,0.02,0.07,0.05,"<0,10"
123,Potas wymienny (K+),cmol(+)*kg-1,0.38,0.27,0.21,0.57,0.3,0.37
123,Suma kationów wymiennych (S),cmol(+)*kg-1,5.52,4.59,4.05,17.5,15.34,17.47
123,Pojemność sorpcyjna gleby (T),cmol(+)*kg-1,6.79,6.02,5.7,18.03,15.79,49.4
123,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V),%,81.3,76.25,71.05,97.06,97.15,35.36
123,Fosfor przyswajalny,mg P2O5* 100g-1,8.8,8.4,6.0,42.0,38.4,34
123,Potas przyswajalny,mg K2O*100g-1,14.5,10.1,7.5,18.4,19.7,12
123,Magnez przyswajalny,mg Mg*100g-1,3.7,2.4,2.6,1.6,2.4,2.6
123,Siarka przyswajalna,mg S-SO4*100g-1,2.12,1.77,1.63,3.64,2.81,"<1,00"
123,Azot amonowy,NNH4 mg*kg-1,,,,,2.67,2.2
123,Azot azotanowy,NNO3 mg*kg-1,,,,,8.01,33.3
123,Fosfor,%,0.016,0.013,0.018,0.048,0.05,0.051
123,Wapń,%,0.15,0.12,0.15,0.08,1.03,0.21
