point_id,Uziarnienie,Jednostka,1995,2000,2005,2010,2015,2020
145,"BN-78/9180-11: 1,0-0,1 mm",udział w %,67,63,60,56,64,46
145,"BN-78/9180-11: 0,1-0,02 mm",udział w %,16,20,23,30,21,36
145,BN-78/9180-11: < 0.02 mm,udział w %,17,17,17,14,15,18
145,"PTG 2008: 2,0-0,05 mm",udział w %,,,,73,77,58
145,"PTG 2008: 0,05-0,002 mm",udział w %,,,,26,22,31
145,PTG 2008: < 0.002 mm,udział w %,4,5,2,1,1,11
145,"Odczyn ""pH "" w zawiesinie H2O",pH,4.8,5.4,5.2,7.3,4.5,6.1
145,"Odczyn ""pH "" w zawiesinie KCl",pH,3.8,3.9,4.1,6.6,3.5,6.1
145,Węglany (CaCO3),%,,,,0.04,,0.18
145,Próchnica,%,1.3,1.31,1.23,2.58,1.39,1.52
145,Węgiel organiczny,%,0.75,0.76,0.71,1.5,0.81,0.88
145,Azot ogólny,%,0.073,0.076,0.061,0.167,0.1,0.08
145,Stosunek C/N,,10.3,10.0,11.6,9.0,8.1,11
145,Kwasowość hydrolityczna (Hh),cmol(+)*kg-1,4.25,4.28,4.23,1.58,3.86,3.5
145,Kwasowośc wymienna (Hw),cmol(+)*kg-1,1.02,1.21,0.89,,0.88,0.1
145,"Glin wymienny ""Al""",cmol(+)*kg-1,0.67,0.93,0.68,,0.62,0.18
145,Wapń wymianny (Ca2+),cmol(+)*kg-1,1.5,1.87,1.92,6.62,1.2,2.3
145,Magnez wymienny (Mg2+),cmol(+)*kg-1,0.16,0.18,0.28,0.56,0.35,0.42
145,Sód wymienny (Na+),cmol(+)*kg-1,0.06,0.06,0.01,0.1,0.01,"<0,10"
145,Potas wymienny (K+),cmol(+)*kg-1,0.3,0.23,0.25,0.48,0.31,0.46
145,Suma kationów wymiennych (S),cmol(+)*kg-1,2.02,2.34,2.46,7.76,1.87,3.18
145,Pojemność sorpcyjna gleby (T),cmol(+)*kg-1,6.27,6.62,6.69,9.34,5.73,6.7
145,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V),%,32.22,35.35,36.77,83.08,32.69,47.46
145,Fosfor przyswajalny,mg P2O5* 100g-1,12.0,10.6,9.6,20.0,14.4,16.4
145,Potas przyswajalny,mg K2O*100g-1,7.8,7.5,10.3,18.0,16.9,14.1
145,Magnez przyswajalny,mg Mg*100g-1,2.2,2.0,3.0,6.6,3.2,5.3
145,Siarka przyswajalna,mg S-SO4*100g-1,1.12,0.85,1.5,1.36,0.82,2.1
145,Azot amonowy,NNH4 mg*kg-1,,,,,5.84,2.2
145,Azot azotanowy,NNO3 mg*kg-1,,,,,11.03,32.6
145,Fosfor,%,0.038,0.041,0.05,0.073,0.05,0.028
145,Wapń,%,0.08,0.09,0.12,0.08,0.06,0.04
145,Magnez,%,0.1,0.08,0.09,0.09,0.08,0.05
145,Potas,%,0.09,0.08,0.09,0.09,0.1,0.06
145,Sód,%,0.005,0.007,0.01,0.008,0.008,0.003
145,Siarka,%,0.019,0.019,0.019,0.023,0.016,0.009
145,Glin,%,0.58,0.5,0.49,0.45,0.41,0.3
145,Żelazo,%,0.56,0.58,0.51,0.67,0.49,0.45
145,Mangan,Mn mg*kg-1,195,187,172,267,200,175
145,Kadm,Cd mg*kg-1,0.13,0.13,0.1,0.17,0.08,"<0,50"
145,Miedź,Cu mg*kg-1,4.2,3.8,3.6,9.2,3.5,"<2,00"
145,Chrom,Cr mg*kg-1,6.8,7.5,6.5,7.2,6.6,5.75
145,Nikiel,Ni mg*kg-1,3.5,3.7,3.3,5.0,3.7,2.98
145,Ołów,Pb mg*kg-1,8.9,8.8,8.7,17.7,9.2,7.81
145,Cynk,Zn mg*kg-1,21.2,20.2,24.9,31.6,24.8,19.3
145,Kobalt,Co mg*kg-1,1.44,1.92,1.97,2.05,2.02,1.78
145,Wanad,V mg*kg-1,13.3,13.3,11.1,12.5,8.5,7.35
145,Lit,Li mg*kg-1,7.5,6.8,6.0,3.3,3.3,"<10,00"
145,Beryl,Be mg*kg-1,0.17,0.2,0.17,0.26,0.16,"<2,00"
145,Bar,Ba mg*kg-1,20.2,20.4,28.9,39.5,29.5,24.2
145,Stront,Sr mg*kg-1,5.1,5.8,6.4,10.4,4.6,"<10,00"
145,Lantan,La mg*kg-1,7.4,5.5,8.0,7.8,7.4,7.25
145,Rtec,Hg mg*kg-1,,,,,0.02,"<0,100"
145,Arsen,As mg*kg-1,,,,,1.66,1.65
145,Wielopierscieniowe weglowodory aromatyczne suma 13 WWA,µg*kg-1,285.0,507.0,401.0,523.3,314.8,561
145,WWA - naftalen,µg*kg-1,,,,,3.6,"<25,0"
145,WWA - fenantren,µg*kg-1,,,,,14.0,"<25,0"
145,WWA - antracen,µg*kg-1,,,,,4.7,"<25,0"
145,WWA - fluoranten,µg*kg-1,,,,,51.9,97
145,WWA - chryzen,µg*kg-1,,,,,23.5,48
145,WWA - benzo(a)antracen,µg*kg-1,,,,,20.5,60
145,WWA - benzo(a)piren,µg*kg-1,,,,,27.0,66
145,WWA - benzo(a)fluoranten,µg*kg-1,,,,,8.8,"<25,0"
145,WWA - benzo(ghi)perylen,µg*kg-1,,,,,21.9,44
145,WWA - fluoren,µg*kg-1,,,,,4.0,"<25,0"
145,WWA - piren,µg*kg-1,,,,,46.6,71
145,WWA - benzo(b)fluoranten,µg*kg-1,,,,,44.9,74
145,WWA - benzo(k)fluoranten,µg*kg-1,,,,,14.9,40
145,"WWA - dibenzo(a,h)antracen",µg*kg-1,,,,,8.7,"<25,0"
145,"WWA - indeno(1,2,3-cd)piren",µg*kg-1,,,,,32.0,61
145,Pestycydy chloroorganiczne - DDT/DDE/DDD,mg*kg-1,,,,,0.043,
145,Pestycydy chloroorganiczne - aldrin,mg*kg-1,,,,,"<0,001",
145,Pestycydy chloroorganiczne - dieldrin,mg*kg-1,,,,,"<0,001",
145,Pestycydy chloroorganiczne - endrin,mg*kg-1,,,,,"<0,001",
145,Pestycydy chloroorganiczne - alfa-HCH,mg*kg-1,,,,,"<0,001",
145,Pestycydy chloroorganiczne - beta-HCH,mg*kg-1,,,,,"<0,001",
