point_id,Uziarnienie,Jednostka,1995,2000,2005,2010,2015,2020
61,"BN-78/9180-11: 1,0-0,1 mm",udział w %,54,50,55,51,55,42
61,"BN-78/9180-11: 0,1-0,02 mm",udział w %,28,33,28,31,29,33
61,BN-78/9180-11: < 0.02 mm,udział w %,18,17,17,18,16,25
61,"PTG 2008: 2,0-0,05 mm",udział w %,,,,67,70,53
61,"PTG 2008: 0,05-0,002 mm",udział w %,,,,29,27,37
61,PTG 2008: < 0.002 mm,udział w %,7,6,7,4,3,10
61,"Odczyn ""pH "" w zawiesinie H2O",pH,6.6,7.0,6.6,6.3,5.3,6.5
61,"Odczyn ""pH "" w zawiesinie KCl",pH,6.0,5.9,5.5,5.4,4.4,5.7
61,Węglany (CaCO3),%,,,,,,0.03
61,Próchnica,%,1.38,1.45,1.33,1.34,1.24,2.84
61,Węgiel organiczny,%,0.8,0.84,0.77,0.78,0.72,1.65
61,Azot ogólny,%,0.1,0.112,0.089,0.077,0.08,0.09
61,Stosunek C/N,,8.0,7.5,8.6,10.1,9.0,18.33
61,Kwasowość hydrolityczna (Hh),cmol(+)*kg-1,2.03,1.95,2.25,2.85,2.74,2.4
61,Kwasowośc wymienna (Hw),cmol(+)*kg-1,,,,0.16,0.26,0.09
61,"Glin wymienny ""Al""",cmol(+)*kg-1,,,,0.05,0.1,"<0,0022"
61,Wapń wymianny (Ca2+),cmol(+)*kg-1,5.99,5.36,4.84,3.83,3.32,5.3
61,Magnez wymienny (Mg2+),cmol(+)*kg-1,0.64,0.67,0.66,0.55,0.37,0.65
61,Sód wymienny (Na+),cmol(+)*kg-1,0.06,0.1,0.03,0.05,0.01,"<0,10"
61,Potas wymienny (K+),cmol(+)*kg-1,0.45,0.52,0.5,0.39,0.46,0.44
61,Suma kationów wymiennych (S),cmol(+)*kg-1,7.14,6.65,6.03,4.83,4.16,6.39
61,Pojemność sorpcyjna gleby (T),cmol(+)*kg-1,9.17,8.6,8.28,7.68,6.9,10.4
61,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V),%,77.86,77.33,72.83,62.87,60.28,61.44
61,Fosfor przyswajalny,mg P2O5* 100g-1,8.5,10.8,9.8,10.6,11.8,15.2
61,Potas przyswajalny,mg K2O*100g-1,20.2,22.8,21.2,18.0,18.6,19.9
61,Magnez przyswajalny,mg Mg*100g-1,6.8,7.6,7.5,8.0,5.7,6.8
61,Siarka przyswajalna,mg S-SO4*100g-1,1.25,1.0,1.13,1.0,1.66,2.9
61,Azot amonowy,NNH4 mg*kg-1,,,,,6.4,2.7
61,Azot azotanowy,NNO3 mg*kg-1,,,,,26.36,33.4
61,Fosfor,%,0.03,0.035,0.04,0.046,0.05,0.014
61,Wapń,%,0.24,0.18,0.16,0.12,0.15,3.42
61,Magnez,%,0.19,0.14,0.16,0.12,0.1,2.17
61,Potas,%,0.16,0.13,0.1,0.1,0.08,0.08
61,Sód,%,0.01,0.007,0.006,0.007,0.004,0.01
61,Siarka,%,0.012,0.016,0.014,0.016,0.017,0.013
61,Glin,%,0.8,0.68,0.63,0.42,0.32,0.64
61,Żelazo,%,1.01,0.89,0.88,0.87,0.96,0.88
61,Mangan,Mn mg*kg-1,357,355,371,366,389,342
61,Kadm,Cd mg*kg-1,0.12,0.16,0.15,0.16,0.17,"<0,50"
61,Miedź,Cu mg*kg-1,8.2,6.3,7.1,6.3,8.9,3.54
61,Chrom,Cr mg*kg-1,11.7,10.5,9.6,8.4,9.7,10.6
61,Nikiel,Ni mg*kg-1,9.3,10.5,10.0,10.1,11.5,10.1
61,Ołów,Pb mg*kg-1,8.7,8.4,8.3,8.9,9.3,7.87
61,Cynk,Zn mg*kg-1,36.7,40.0,35.4,41.5,38.1,30.9
61,Kobalt,Co mg*kg-1,2.56,3.04,2.5,3.61,4.02,3.67
61,Wanad,V mg*kg-1,21.7,20.0,22.9,9.5,10.9,11.6
61,Lit,Li mg*kg-1,7.2,7.7,5.2,4.4,4.7,"<10,00"
61,Beryl,Be mg*kg-1,0.3,0.33,0.27,0.26,0.31,"<2,00"
61,Bar,Ba mg*kg-1,48.7,45.7,40.6,45.2,41.5,39
61,Stront,Sr mg*kg-1,9.1,7.6,6.7,6.4,5.9,"<10,00"
61,Lantan,La mg*kg-1,10.1,8.9,9.7,7.3,6.7,9.97
61,Rtec,Hg mg*kg-1,,,,,0.04,"<0,100"
61,Arsen,As mg*kg-1,,,,,3.41,2.69
61,Wielopierscieniowe weglowodory aromatyczne suma 13 WWA,µg*kg-1,210.0,154.0,269.0,238.0,259.7,93
61,WWA - naftalen,µg*kg-1,,,,,10.9,"<25,0"
61,WWA - fenantren,µg*kg-1,,,,,21.9,"<25,0"
61,WWA - antracen,µg*kg-1,,,,,5.8,"<25,0"
61,WWA - fluoranten,µg*kg-1,,,,,46.2,31
61,WWA - chryzen,µg*kg-1,,,,,23.8,"<25,0"
61,WWA - benzo(a)antracen,µg*kg-1,,,,,20.5,"<25,0"
61,WWA - benzo(a)piren,µg*kg-1,,,,,23.0,"<25,0"
61,WWA - benzo(a)fluoranten,µg*kg-1,,,,,7.0,"<25,0"
61,WWA - benzo(ghi)perylen,µg*kg-1,,,,,16.3,"<25,0"
61,WWA - fluoren,µg*kg-1,,,,,6.3,"<25,0"
61,WWA - piren,µg*kg-1,,,,,40.0,26
61,WWA - benzo(b)fluoranten,µg*kg-1,,,,,13.0,"<25,0"
61,WWA - benzo(k)fluoranten,µg*kg-1,,,,,14.0,"<25,0"
61,"WWA - dibenzo(a,h)antracen",µg*kg-1,,,,,5.8,"<25,0"
61,"WWA - indeno(1,2,3-cd)piren",µg*kg-1,,,,,23.0,36
61,Pestycydy chloroorganiczne - DDT/DDE/DDD,mg*kg-1,,,,,0.075,
61,Pestycydy chloroorganiczne - aldrin,mg*kg-1,,,,,"<0,001",
61,Pestycydy chloroorganiczne - dieldrin,mg*kg-1,,,,,"<0,001",
61,Pestycydy chloroorganiczne - endrin,mg*kg-1,,,,,"<0,001",
61,Pestycydy chloroorganiczne - alfa-HCH,mg*kg-1,,,,,"<0,001",
61,Pestycydy chloroorganiczne - beta-HCH,mg*kg-1,,,,,"<0,001",
61,Pestycydy chloroorganiczne - gamma-HCH,mg*kg-1,,,,,"<0,001",
61,Pestycydy - zwiazki nie chlorowe - carbaryl,mg*kg-1,,,,,"<0,001",
61,Pestycydy - zwiazki nie chlorowe - carbofuran,mg*kg-1,,,,,"<0,001",
61,Pestycydy - zwiazki nie chlorowe - maneb,mg*kg-1,,,,,,
61,Pestycydy - zwiazki nie chlorowe - atrazin,mg*kg-1,,,,,"<0,001",
61,Radioaktywność,Bq*kg-1,459,529,477,393,680,322
61,Przewodnictwo elektryczne właściwe,mS*m-1,7.83,7.5,12.4,6.54,12.89,11.7424242
61,Zasolenie,mg KCl*100g-1,20.2,19.8,32.6,17.26,34.03,31
