point_id,year,ArsenAs mg*kg-1,Azot amonowyNNH4 mg*kg-1,Azot azotanowyNNO3 mg*kg-1,Azot ogólny%,"BN-78/9180-11: 0,1-0,02 mmudział w %","BN-78/9180-11: 1,0-0,1 mmudział w %",BN-78/9180-11: < 0.02 mmudział w %,BarBa mg*kg-1,BerylBe mg*kg-1,ChromCr mg*kg-1,CynkZn mg*kg-1,Fosfor przyswajalnymg P2O5* 100g-1,Fosfor%,"Glin wymienny ""Al""cmol(+)*kg-1",Glin%,KadmCd mg*kg-1,KobaltCo mg*kg-1,Kwasowośc wymienna (Hw)cmol(+)*kg-1,Kwasowość hydrolityczna (Hh)cmol(+)*kg-1,LantanLa mg*kg-1,LitLi mg*kg-1,Magnez przyswajalnymg Mg*100g-1,Magnez wymienny (Mg2+)cmol(+)*kg-1,Magnez%,ManganMn mg*kg-1,MiedźCu mg*kg-1,NikielNi mg*kg-1,"Odczyn ""pH "" w zawiesinie H2OpH","Odczyn ""pH "" w zawiesinie KClpH",OłówPb mg*kg-1,"PTG 2008: 0,05-0,002 mmudział w %","PTG 2008: 2,0-0,05 mmudział w %",PTG 2008: < 0.002 mmudział w %,Pestycydy - zwiazki nie chlorowe - atrazinmg*kg-1,Pestycydy - zwiazki nie chlorowe - carbarylmg*kg-1,Pestycydy - zwiazki nie chlorowe - carbofuranmg*kg-1,Pestycydy chloroorganiczne - DDT/DDE/DDDmg*kg-1,Pestycydy chloroorganiczne - aldrinmg*kg-1,Pestycydy chloroorganiczne - alfa-HCHmg*kg-1,Pestycydy chloroorganiczne - beta-HCHmg*kg-1,Pestycydy chloroorganiczne - dieldrinmg*kg-1,Pestycydy chloroorganiczne - endrinmg*kg-1,Pestycydy chloroorganiczne - gamma-HCHmg*kg-1,Pojemność sorpcyjna gleby (T)cmol(+)*kg-1,Potas przyswajalnymg K2O*100g-1,Potas wymienny (K+)cmol(+)*kg-1,Potas%,Przewodnictwo elektryczne właściwemS*m-1,Próchnica%,RadioaktywnośćBq*kg-1,RtecHg mg*kg-1,Siarka przyswajalnamg S-SO4*100g-1,Siarka%,Stosunek C/Nnan,StrontSr mg*kg-1,Suma kationów wymiennych (S)cmol(+)*kg-1,Sód wymienny (Na+)cmol(+)*kg-1,Sód%,WWA - antracenµg*kg-1,WWA - benzo(a)antracenµg*kg-1,WWA - benzo(a)fluorantenµg*kg-1,WWA - benzo(a)pirenµg*kg-1,WWA - benzo(b)fluorantenµg*kg-1,WWA - benzo(ghi)perylenµg*kg-1,WWA - benzo(k)fluorantenµg*kg-1,WWA - chryzenµg*kg-1,"WWA - dibenzo(a,h)antracenµg*kg-1",WWA - fenantrenµg*kg-1,WWA - fluorantenµg*kg-1,WWA - fluorenµg*kg-1,"WWA - indeno(1,2,3-cd)pirenµg*kg-1",WWA - naftalenµg*kg-1,WWA - pirenµg*kg-1,WanadV mg*kg-1,Wapń wymianny (Ca2+)cmol(+)*kg-1,Wapń%,Wielopierscieniowe weglowodory aromatyczne suma 13 WWAµg*kg-1,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V)%,Węgiel organiczny%,Węglany (CaCO3)%,Zasoleniemg KCl*100g-1,Żelazo%
65,2020,2.31,3.3,31,0.05,38,30,32,28.6,"<2,00",9.74,13.1,17.8,0.042,0.09,0.71,"<0,50",2.9,0.12,2.4,12.61,"<10,00",3.2,0.32,0.15,281,"<2,00",4.52,6.1,5.5,7.74,52,38,10,,,,,,,,,,,7.6,24.7,0.68,0.13,33.7121212,2.64,541,"<0,100",8.8,0.011,30.6,"<10,00",4.8,"<0,10",0.006,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",28,"<25,0","<25,0",10.6,3.8,0.36,28,63.16,1.53,0.03,89,0.78
69,1995,,,,0.058,9.0,84.0,7.0,23.4,0.2,6.3,21.3,18.3,0.043,,0.45,0.16,1.2,,1.43,7.1,2.9,4.4,0.39,0.08,220.0,2.5,3.5,6.8,6.1,8.7,,,2.0,,,,,,,,,,,6.57,17.2,0.45,0.09,7.83,1.38,303.0,,1.87,0.017,13.8,5.9,5.14,0.06,0.007,,,,,,,,,,,,,,,,5.0,4.24,0.13,368.0,78.23,0.8,,20.2,0.52
69,2000,,,,0.05,12.0,81.0,7.0,19.7,0.17,5.5,25.0,14.6,0.055,,0.39,0.16,1.47,,1.5,8.4,2.9,4.1,0.43,0.07,188.0,2.7,2.8,7.2,6.2,6.8,,,2.0,,,,,,,,,,,6.11,13.3,0.38,0.07,6.3,1.32,368.0,,1.55,0.013,15.2,4.6,4.61,0.06,0.007,,,,,,,,,,,,,,,,8.3,3.74,0.13,249.0,75.45,0.76,,16.6,0.47
69,2005,,,,0.046,7.0,88.0,5.0,21.0,0.2,5.9,21.6,14.2,0.055,,0.35,0.11,1.99,,1.88,7.4,2.1,3.8,0.38,0.06,197.0,3.1,4.0,6.8,5.9,7.6,,,2.0,,,,,,,,,,,5.98,11.1,0.28,0.05,6.7,1.33,373.0,,1.4,0.01,16.7,4.6,4.1,0.02,0.006,,,,,,,,,,,,,,,,7.3,3.42,0.14,241.0,68.56,0.77,,17.6,0.58
69,2010,,,,0.068,10.0,82.0,8.0,29.9,0.18,6.1,28.3,10.0,0.044,0.05,0.35,0.09,1.5,0.14,3.6,6.8,1.9,3.4,0.21,0.06,287.0,3.2,3.5,6.1,4.8,9.0,10.0,89.0,1.0,,,,,,,,,,,5.89,10.4,0.32,0.08,7.16,1.41,448.0,,0.97,0.012,12.1,4.4,2.29,0.02,0.011,,,,,,,,,,,,,,,,6.5,1.75,0.08,421.8,38.91,0.82,,18.91,0.47
69,2015,1.52,4.58,2.42,0.07,12,82,6,21.0,0.19,4.5,19.4,10.7,0.04,0.28,0.29,0.07,1.41,0.46,3.15,5.5,2.6,2.06,0.25,0.05,271,3.3,2.6,5.0,3.8,7.6,9,90,1,"<0,001","<0,001","<0,001",0.075,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",4.59,11.4,0.19,0.06,5.09,1.26,879,0.01,0.6,0.013,10.4,3.0,1.44,0.01,0.007,8.0,35.1,9.2,37.2,17.4,23.6,21.3,36.2,7.1,28.1,60.8,6.3,32.3,8.3,51.9,5.9,1.0,0.05,365.3,31.44,0.73,,13.44,0.4
69,2020,1.52,1,32.3,0.11,26,61,13,19.8,"<2,00",5.13,20.5,13.1,0.029,0.12,0.2,"<0,50",1.52,0.47,3.8,7.16,"<10,00",2.3,0.22,0.03,286,"<2,00",2.6,5.1,4.3,8.29,21,75,4,,,,,,,,,,,5.6,14.8,0.43,0.03,15.1515151,1.74,308,"<0,100",4.3,0.01,9.18,"<10,00",2.45,"<0,10",0.003,"<25,0",31,"<25,0",38,40,36,34,34,"<25,0","<25,0",61,"<25,0",62,"<25,0",50,6.09,1.8,0.21,386,43.75,1.01,0.02,40,0.23
71,1995,,,,0.06,13.0,81.0,6.0,21.1,0.13,5.2,24.0,15.0,0.046,,0.4,0.13,1.11,,2.25,7.2,2.3,3.9,0.33,0.04,152.0,4.8,4.3,6.2,5.4,10.5,,,2.0,,,,,,,,,,,5.13,13.9,0.36,0.07,12.01,1.11,250.0,,2.0,0.011,10.7,5.6,2.88,0.19,0.007,,,,,,,,,,,,,,,,5.0,2.0,0.07,588.0,56.14,0.64,,30.9,0.53
71,2000,,,,0.068,16.0,78.0,6.0,18.0,0.13,4.8,27.8,11.0,0.048,,0.3,0.16,1.63,,2.48,8.8,2.5,3.0,0.28,0.04,132.0,3.7,3.9,6.3,5.1,10.3,,,1.0,,,,,,,,,,,4.94,10.4,0.28,0.05,10.9,1.32,208.0,,1.87,0.016,11.2,4.8,2.46,0.1,0.004,,,,,,,,,,,,,,,,6.3,1.8,0.07,570.0,49.8,0.76,,28.8,0.47
71,2005,,,,0.054,15.0,80.0,5.0,21.5,0.16,4.7,21.6,9.5,0.053,,0.26,0.11,1.51,,2.7,10.1,1.9,2.5,0.2,0.03,139.0,4.8,4.2,6.1,5.0,11.7,,,2.0,,,,,,,,,,,5.03,9.2,0.15,0.04,8.3,1.15,230.0,,1.8,0.014,12.4,5.4,2.33,0.12,0.004,,,,,,,,,,,,,,,,8.6,1.86,0.08,716.0,46.32,0.67,,21.9,0.53
71,2010,,,,0.06,14.0,79.0,7.0,22.7,0.14,4.2,21.7,10.4,0.047,0.28,0.19,0.09,1.77,0.44,3.9,6.0,1.2,2.2,0.12,0.03,140.0,3.9,3.7,5.7,4.3,12.3,8.0,91.0,1.0,,,,,,,,,,,5.32,5.9,0.19,0.04,16.83,1.1,239.0,,1.1,0.011,10.7,4.7,1.42,0.04,0.005,,,,,,,,,,,,,,,,5.3,1.07,0.05,656.1,26.68,0.64,,44.43,0.48
71,2015,2.35,4.71,1.09,0.08,12,82,6,20.8,0.14,3.9,36.8,24.6,0.08,0.14,0.22,0.18,1.23,0.32,3.0,5.1,1.7,3.18,0.19,0.03,59,3.8,3.1,5.3,4.2,14.3,10,90,0,"<0,001","<0,001","<0,001",0.007,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001",4.69,10.6,0.26,0.05,5.05,1.22,295,0.07,0.57,0.016,8.9,4.5,1.69,0.01,0.005,5.9,20.5,6.8,25.1,12.7,15.6,13.3,22.5,4.2,29.2,34.9,6.2,19.8,14.0,29.9,5.1,1.22,0.07,239.9,35.98,0.71,,13.33,0.42
71,2020,1.87,2.7,30.6,0.1,28,53,19,51.2,"<2,00",10.3,24.7,32.2,0.039,0.01,0.88,"<0,50",3.95,0.37,2.9,16.5,"<10,00",12.4,1.45,0.19,266,2.04,8.45,6.2,5.7,8.11,33,65,2,,,,,,,,,,,10.6,40.3,0.6,0.12,18.1818181,5.08,875,"<0,100",8.7,0.01,29.4,"<10,00",9.25,"<0,10",0.008,"<25,0",33,"<25,0",31,27,28,25,28,"<25,0","<25,0",70,"<25,0",40,"<25,0",30,24.9,7.2,0.15,312,87.26,2.94,"<0,01",48,0.75
73,1995,,,,0.082,23.0,57.0,20.0,33.7,0.37,16.8,23.7,8.8,0.059,,0.94,0.17,2.45,,2.03,10.8,6.9,10.7,0.94,0.22,262.0,5.3,6.7,7.0,5.9,7.1,,,5.0,,,,,,,,,,,8.32,9.4,0.3,0.22,4.99,1.32,511.0,,1.0,0.014,9.3,9.8,6.29,0.06,0.009,,,,,,,,,,,,,,,,28.3,4.99,0.19,187.0,75.6,0.76,,12.8,1.13
73,2000,,,,0.092,25.0,55.0,20.0,34.0,0.43,15.5,26.2,11.0,0.063,,0.79,0.12,3.81,,1.8,11.4,7.9,9.6,0.81,0.23,290.0,5.0,5.7,6.7,5.8,6.9,,,6.0,,,,,,,,,,,8.75,10.1,0.34,0.22,5.8,1.39,635.0,,1.0,0.014,8.7,9.7,6.95,0.06,0.008,,,,,,,,,,,,,,,,26.7,5.74,0.18,192.0,79.43,0.8,,15.3,1.16
73,2005,,,,0.083,28.0,53.0,19.0,32.3,0.33,17.4,28.5,23.8,0.099,,0.76,0.16,3.39,,2.33,10.0,6.4,18.9,1.94,0.17,272.0,5.4,5.3,6.4,5.5,8.3,,,4.0,,,,,,,,,,,8.93,16.6,0.39,0.2,9.6,1.4,682.0,,1.12,0.016,9.8,8.8,6.6,0.03,0.01,,,,,,,,,,,,,,,,26.2,4.24,0.18,156.0,73.91,0.81,,25.3,1.11
73,2010,,,,0.11,29.0,49.0,22.0,32.9,0.36,12.9,36.5,21.1,0.06,,0.52,0.13,3.42,,2.25,10.8,5.2,13.3,0.79,0.16,262.0,5.5,7.9,6.7,5.8,10.4,27.0,68.0,5.0,,,,,,,,,,,8.54,28.2,0.64,0.15,6.42,1.9,547.0,,1.45,0.015,10.0,6.3,6.29,0.06,0.003,,,,,,,,,,,,,,,,19.1,4.8,0.16,135.0,73.66,1.1,,16.96,1.05
73,2015,3.25,15.5,66.31,0.2,34,45,21,41.2,0.33,12.7,37.5,50.6,0.1,,0.49,0.18,3.59,,1.73,7.6,5.2,13.1,1.7,0.14,299,8.7,7.5,7.1,6.8,10.3,32,66,2,"<0,001","<0,001","<0,001",0.039,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",14.56,70.5,1.36,0.18,27.76,3.15,444,0.04,1.15,0.033,9.1,9.1,12.83,0.14,0.007,5.3,14.0,5.7,15.2,20.3,11.8,8.3,15.0,6.1,20.5,28.6,4.7,13.8,2.6,23.4,20.2,9.63,0.37,187.0,88.12,1.83,0.37,73.29,0.93
73,2020,4.83,2.3,34,0.16,38,41,21,41.6,"<2,00",18.7,32,32.4,0.041,0.39,0.93,"<0,50",3.89,0.09,2,13.79,11.1,11.8,1.2,0.25,292,4,7.65,6.9,6.4,10.1,44,52,4,,,,,,,,,,,17.8,49.4,1.18,0.27,23.8636363,2.84,456,"<0,100",9.5,0.025,10.35,17.3,10.78,"<0,10",0.007,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",29,"<25,0","<25,0",25.1,8.4,0.33,29,60.56,1.66,0.04,63,1.08
75,1995,,,,0.079,22.0,58.0,20.0,38.0,0.23,7.8,35.0,7.0,0.038,0.8,0.73,0.24,2.16,0.98,3.9,10.2,5.7,2.0,0.18,0.15,450.0,5.8,5.2,5.2,3.8,15.7,,,5.0,,,,,,,,,,,5.89,5.0,0.25,0.17,2.51,1.32,519.0,,0.63,0.019,9.6,9.7,1.99,0.06,0.01,,,,,,,,,,,,,,,,13.3,1.5,0.09,746.0,33.79,0.76,,6.6,0.74
75,2000,,,,0.09,25.0,57.0,18.0,36.2,0.23,9.0,30.3,7.9,0.041,0.67,0.52,0.2,2.77,0.93,3.73,9.1,4.9,2.3,0.2,0.1,463.0,5.5,4.1,5.5,4.1,13.0,,,4.0,,,,,,,,,,,5.79,8.3,0.3,0.11,3.1,1.52,545.0,,0.58,0.017,9.8,8.4,2.06,0.06,0.007,,,,,,,,,,,,,,,,13.3,1.5,0.08,1780.0,35.58,0.88,,8.2,0.67
75,2005,,,,0.089,25.0,56.0,19.0,30.6,0.17,9.6,33.6,8.4,0.05,0.56,0.54,0.21,3.03,0.77,3.9,7.5,4.3,2.6,0.23,0.1,498.0,5.0,4.6,5.0,3.9,11.6,,,5.0,,,,,,,,,,,5.83,11.0,0.31,0.09,4.8,1.24,537.0,,0.88,0.017,8.2,7.9,1.93,0.03,0.007,,,,,,,,,,,,,,,,11.0,1.36,0.07,876.0,33.1,0.72,,12.7,0.65
75,2010,,,,0.08,25.0,57.0,18.0,24.4,0.23,6.6,32.1,8.0,0.053,0.72,0.36,0.13,2.91,0.93,3.75,8.1,3.2,3.3,0.26,0.09,472.0,5.7,4.7,5.5,4.7,11.6,25.0,70.0,5.0,,,,,,,,,,,5.82,12.8,0.37,0.08,4.79,1.45,494.0,,0.65,0.011,10.5,3.0,2.07,0.06,0.003,,,,,,,,,,,,,,,,7.9,1.37,0.08,938.6,35.54,0.84,,12.64,0.64
75,2015,1.71,4.39,11.63,0.08,24,59,17,24.6,0.18,6.1,24.0,8.5,0.05,0.86,0.29,0.11,2.48,1.16,4.24,6.4,3.0,2.62,0.27,0.07,399,5.7,4.5,4.4,3.4,8.9,24,73,3,"<0,001","<0,001","<0,001",0.03,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001",5.78,10.3,0.25,0.06,6.74,1.33,313,0.01,0.25,0.014,9.7,3.4,1.54,0.02,0.003,6.7,68.7,15.2,88.2,136.3,70.3,46.5,84.8,15.3,46.9,139.3,4.4,79.3,3.3,121.9,7.6,1.0,0.05,908.7,26.64,0.77,,17.79,0.5
75,2020,1.76,2.2,27.9,0.08,29,56,15,24.3,"<2,00",7.5,23.4,10.6,0.045,"<0,0022",1.41,"<0,50",2.64,0.09,2.4,9.25,"<10,00",2.1,0.23,0.24,400,2.71,4.23,6.6,5.6,8.89,27,69,4,,,,,,,,,,,6.6,14.3,0.43,0.19,6.43939393,3.39,514,"<0,100",2.4,0.014,24.63,"<10,00",4.16,"<0,10",0.006,"<25,0",47,"<25,0",73,80,79,66,64,"<25,0",28,108,"<25,0",116,"<25,0",89,9.19,3.5,0.19,750,63.03,1.97,0.02,17,1.46
77,1995,,,,0.104,30.0,46.0,24.0,44.0,0.3,11.0,23.2,4.8,0.097,0.1,0.88,0.17,2.19,0.28,3.38,11.5,5.8,4.0,0.33,0.13,460.0,4.0,6.7,6.4,5.0,9.1,,,4.0,,,,,,,,,,,8.36,12.4,0.38,0.11,3.27,1.98,667.0,,0.12,0.017,11.1,11.1,4.98,0.03,0.008,,,,,,,,,,,,,,,,16.7,4.24,0.15,444.0,59.57,1.15,,8.4,0.77
77,2000,,,,0.12,30.0,47.0,23.0,46.3,0.33,10.2,26.5,5.8,0.11,0.06,0.74,0.17,2.39,0.18,3.03,11.9,6.3,5.0,0.43,0.13,497.0,4.0,5.8,6.7,5.3,8.5,,,4.0,,,,,,,,,,,8.98,14.4,0.47,0.11,5.0,2.2,646.0,,0.2,0.02,10.7,13.9,5.95,0.06,0.007,,,,,,,,,,,,,,,,20.0,4.99,0.18,559.0,66.26,1.28,,12.8,0.78
77,2005,,,,0.099,30.0,46.0,24.0,40.9,0.23,11.5,27.1,15.9,0.104,0.14,0.95,0.12,2.86,0.21,3.83,10.3,5.8,4.1,0.38,0.16,442.0,4.1,6.6,6.6,5.4,10.5,,,3.0,,,,,,,,,,,8.57,20.8,0.49,0.12,8.5,1.93,648.0,,0.25,0.022,11.3,9.7,4.74,0.03,0.012,,,,,,,,,,,,,,,,17.4,3.84,0.14,184.0,55.31,1.12,,22.6,0.91
77,2010,,,,0.107,32.0,47.0,21.0,46.7,0.3,11.0,31.1,14.5,0.088,0.13,0.59,0.16,3.0,0.25,3.68,9.6,4.0,2.7,0.21,0.11,468.0,3.7,7.2,6.0,4.9,11.1,38.0,59.0,3.0,,,,,,,,,,,7.19,14.6,0.37,0.08,7.94,2.0,652.0,,1.24,0.015,10.8,6.5,3.51,0.05,0.004,,,,,,,,,,,,,,,,12.1,2.87,0.12,534.6,48.83,1.16,,20.95,0.78
77,2015,1.97,6.47,31.57,0.12,33,48,19,36.9,0.25,8.3,31.5,16.0,0.09,0.4,0.47,0.14,2.76,0.63,4.28,8.0,3.7,3.06,0.45,0.09,382,4.0,6.4,5.3,4.7,8.9,36,62,2,"<0,001","<0,001","<0,001",0.046,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001",6.86,18.0,0.28,0.07,13.56,2.06,320,0.03,1.83,0.021,10.0,6.2,2.58,0.04,0.003,7.8,71.6,15.5,87.7,122.2,60.2,43.6,80.1,13.7,49.4,160.0,4.5,71.6,3.1,139.9,11.0,1.8,0.1,912.5,37.59,1.2,,35.8,0.65
77,2020,1.91,1,33.3,0.12,38,47,15,36.2,"<2,00",9.77,23,22.9,0.032,"<0,0022","<0,0022","<0,50",2.93,0.07,1.8,11.28,"<10,00",16.6,1.58,0.09,369,"<2,00",6.14,6.9,6.4,8.73,37,59,4,,,,,,,,,,,12.2,20.6,0.56,0.09,21.5909090,1.84,429,"<0,100",4.4,0.018,8.92,"<10,00",7.74,"<0,10",0.004,"<25,0",102,"<25,0",136,132,130,114,115,"<25,0",41,209,"<25,0",181,"<25,0",176,12.8,5.6,0.07,1336,63.44,1.07,0.03,57,0.51
79,1995,,,,0.099,9.0,3.0,88.0,135.3,1.37,44.0,67.5,1.4,0.048,,3.52,0.16,6.01,,0.75,26.9,31.5,20.0,3.81,1.18,579.0,26.8,36.7,7.0,5.9,12.1,,,52.0,,,,,,,,,,,54.98,18.8,1.21,0.94,15.22,2.16,997.0,,0.38,0.022,12.6,54.0,54.23,0.31,0.031,,,,,,,,,,,,,,,,95.0,48.9,2.31,197.0,98.64,1.25,3.26,39.2,3.78
79,2000,,,,0.115,10.0,6.0,84.0,138.7,1.43,41.0,75.0,1.0,0.05,,2.8,0.19,5.87,,0.88,31.2,30.7,18.8,3.57,0.97,610.0,24.7,38.0,7.3,6.1,10.4,,,48.0,,,,,,,,,,,56.52,21.3,1.51,0.83,13.0,2.25,1058.0,,0.28,0.02,11.3,56.0,55.64,0.41,0.021,,,,,,,,,,,,,,,,93.3,50.15,2.09,342.0,98.44,1.3,3.09,34.0,3.47
79,2005,,,,0.137,8.0,9.0,83.0,134.4,1.21,42.1,76.0,7.2,0.105,,2.51,0.16,6.43,,1.13,23.3,26.5,20.1,3.71,1.0,592.0,21.4,36.9,7.4,6.2,10.5,,,45.0,,,,,,,,,,,56.26,34.9,0.93,0.62,21.1,1.98,1131.0,,0.31,0.025,8.4,49.6,55.13,0.15,0.016,,,,,,,,,,,,,,,,87.7,50.34,2.76,210.0,97.99,1.15,6.34,55.8,3.56
79,2010,,,,0.155,18.0,6.0,76.0,70.7,0.92,29.4,74.4,22.9,0.067,,1.32,0.09,10.66,,0.9,18.3,14.4,22.9,4.34,0.51,416.0,17.5,28.9,7.8,7.0,16.2,57.0,11.0,32.0,,,,,,,,,,,27.12,43.6,1.87,0.35,21.34,2.86,1196.0,,1.75,0.019,10.7,15.4,26.22,0.1,0.003,,,,,,,,,,,,,,,,35.6,19.92,0.63,196.5,96.68,1.66,0.78,56.34,2.76
79,2015,3.87,7.64,14.23,0.18,18,7,75,61.1,0.85,30.6,61.9,21.6,0.06,,1.12,0.1,10.52,,1.13,19.0,13.6,13.9,9.05,0.45,402,17.1,29.8,7.4,6.8,14.4,56,11,33,"<0,001","<0,001","<0,001",0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",32.54,47.5,0.81,0.33,20.37,2.67,906,0.11,0.5,0.019,8.6,17.5,31.41,0.08,0.007,3.9,15.4,6.3,18.6,6.9,17.2,10.8,19.7,6.4,15.2,36.5,4.4,20.5,18.8,31.1,35.5,21.47,0.8,206.5,96.53,1.55,1.41,53.78,2.58
79,2020,5.42,1,6.3,0.09,25,46,29,56,"<2,00",28.2,38.3,7.1,0.057,0.18,0.6,"<0,50",7.16,0.5,3.8,19.81,14.2,15.2,1.65,0.09,300,8.18,15.6,5.9,4.5,10.9,33,57,10,,,,,,,,,,,16.4,12.1,0.43,0.05,"<1,00",1.56,744,"<0,100",2.2,0.012,10,13.1,10.88,"<0,10",0.004,"<25,0",38,"<25,0",40,51,30,"<25,0",29,"<25,0","<25,0",49,"<25,0",38,"<25,0",38,30.8,8.8,0.07,313,66.34,0.9,0.2,"<10,00",0.71
81,1995,,,,0.075,8.0,84.0,8.0,36.7,0.2,6.8,25.0,13.3,0.061,2.2,0.64,0.13,0.95,2.59,4.88,6.5,4.4,1.4,0.1,0.1,290.0,3.3,3.3,5.2,3.8,7.6,,,2.0,,,,,,,,,,,5.8,6.7,0.2,0.07,2.06,1.81,405.0,,0.37,0.016,14.0,5.8,0.92,0.02,0.011,,,,,,,,,,,,,,,,10.0,0.6,0.17,639.0,15.86,1.05,,5.3,0.66
81,2000,,,,0.09,6.0,84.0,10.0,39.0,0.17,5.8,24.0,13.0,0.055,1.79,0.44,0.19,1.13,2.14,4.99,5.5,3.7,1.2,0.1,0.08,300.0,3.0,2.4,5.1,4.0,8.1,,,3.0,,,,,,,,,,,5.91,4.0,0.17,0.05,2.0,1.8,360.0,,0.38,0.018,11.5,4.2,0.92,0.03,0.007,,,,,,,,,,,,,,,,13.3,0.62,0.18,408.0,15.57,1.04,,5.3,0.64
81,2005,,,,0.085,6.0,85.0,9.0,34.0,0.12,5.3,28.9,16.7,0.06,1.59,0.57,0.13,0.86,1.82,4.87,3.8,3.2,1.1,0.1,0.07,281.0,2.3,2.3,5.3,4.2,9.3,,,4.0,,,,,,,,,,,5.58,5.0,0.15,0.05,3.8,1.56,399.0,,0.55,0.015,10.6,3.9,0.71,0.02,0.006,,,,,,,,,,,,,,,,10.0,0.44,0.18,301.0,12.72,0.9,,10.1,0.63
81,2010,,,,0.082,6.0,84.0,10.0,27.2,0.16,5.0,28.4,20.8,0.071,1.28,0.33,0.1,1.38,1.49,4.88,5.3,2.3,1.0,0.1,0.05,297.0,2.5,2.5,5.4,3.9,8.6,9.0,88.0,3.0,,,,,,,,,,,5.94,5.6,0.16,0.04,3.03,1.76,430.0,,0.41,0.013,12.4,2.6,1.06,0.05,0.005,,,,,,,,,,,,,,,,6.6,0.75,0.05,434.5,17.84,1.02,,8.01,0.57
81,2015,1.87,4.44,5.86,0.08,8,85,7,23.9,0.14,4.2,20.8,20.9,0.07,1.15,0.25,0.07,1.37,1.47,4.8,4.8,2.0,2.44,0.27,0.05,263,2.8,2.0,5.0,4.1,7.2,8,89,3,"<0,001","<0,001","<0,001",0.059,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",5.91,11.6,0.25,0.03,4.79,1.49,266,0.01,0.28,0.013,10.8,2.5,1.11,0.05,0.006,3.5,16.3,6.2,20.1,33.6,17.5,11.7,21.8,6.5,10.8,36.1,3.0,20.2,6.4,31.2,6.3,0.55,0.04,232.4,18.84,0.86,,12.65,0.49
81,2020,2.12,2.2,53.7,0.15,29,61,10,39.3,"<2,00",6.07,38.1,30.5,0.042,0.01,0.87,"<0,50",1.86,0.1,3.2,6.8,"<10,00",11.7,1.1,0.13,356,14.1,2.7,6.5,5.9,10.1,21,75,4,,,,,,,,,,,13.6,30.8,0.75,0.16,21.2121212,1.91,353,"<0,100",2.9,0.022,7.4,"<10,00",6.15,"<0,10",0.004,"<25,0",106,"<25,0",129,168,89,83,98,"<25,0",30,148,"<25,0",128,"<25,0",120,7.81,4.3,0.15,1099,45.22,1.11,0.52,56,0.98
83,1995,,,,0.07,10.0,84.0,6.0,23.1,0.2,4.2,17.5,7.0,0.059,1.24,0.6,0.09,0.89,1.42,4.05,8.6,2.8,1.0,0.11,0.04,213.0,2.0,3.5,5.5,4.3,6.8,,,2.0,,,,,,,,,,,4.69,2.8,0.13,0.05,3.7,1.93,422.0,,2.5,0.02,16.0,4.3,0.64,0.03,0.007,,,,,,,,,,,,,,,,5.0,0.37,0.04,740.0,13.65,1.12,,9.5,0.48
83,2000,,,,0.08,11.0,83.0,6.0,21.7,0.17,4.8,16.2,6.2,0.051,1.47,0.5,0.12,1.17,1.7,4.43,9.9,3.0,0.6,0.08,0.04,192.0,2.5,2.9,5.3,4.2,8.0,,,3.0,,,,,,,,,,,5.15,2.5,0.09,0.04,2.6,1.88,432.0,,2.63,0.016,13.6,3.7,0.72,0.03,0.005,,,,,,,,,,,,,,,,6.7,0.52,0.04,305.0,13.98,1.09,,7.9,0.46
83,2005,,,,0.079,13.0,79.0,8.0,22.3,0.12,4.3,18.3,5.6,0.048,1.54,0.46,0.07,1.06,1.73,4.65,11.9,2.1,0.4,0.04,0.03,182.0,2.8,3.5,5.0,4.0,7.7,,,2.0,,,,,,,,,,,5.16,2.4,0.07,0.04,4.8,1.84,447.0,,2.41,0.021,13.5,3.5,0.51,0.01,0.009,,,,,,,,,,,,,,,,7.2,0.39,0.06,544.0,9.88,1.07,,12.7,0.42
83,2010,,,,0.091,11.0,82.0,7.0,22.1,0.16,3.9,16.3,7.8,0.042,1.45,0.36,0.08,1.0,1.7,4.73,4.9,1.9,0.7,0.07,0.04,190.0,2.1,3.0,5.2,4.1,9.5,8.0,91.0,1.0,,,,,,,,,,,5.4,4.0,0.18,0.03,4.11,2.21,344.0,,0.68,0.021,14.1,1.7,0.67,0.15,0.002,,,,,,,,,,,,,,,,4.9,0.27,0.04,785.0,12.39,1.28,,10.84,0.44
