point_id,year,As [mg*kg-1],Ba [mg*kg-1],Be [mg*kg-1],Cd [mg*kg-1],Co [mg*kg-1],Cr [mg*kg-1],Cu [mg*kg-1],Hg [mg*kg-1],La [mg*kg-1],Li [mg*kg-1],Mn [mg*kg-1],Ni [mg*kg-1],Pb [mg*kg-1],Sr [mg*kg-1],V [mg*kg-1],Zn [mg*kg-1]
25,2000,,118.3,0.83,0.39,4.39,27.8,20.7,,14.2,20.4,697,29.8,14.7,26.1,58.3,60.7
25,2005,,94.3,0.63,0.28,4.36,26.0,19.3,,11.6,14.8,616,24.4,18.5,27.5,57.3,63.1
25,2010,,83.7,0.66,0.26,6.48,18.1,16.2,,9.8,13.3,565,25.1,14.9,15.1,20.9,57.9
25,2015,4.95,86.6,0.68,0.24,6.96,24.1,16.3,0.05,9.5,14.2,523.0,26.4,14.0,18.6,28.2,58.1
25,2020,1.88,21,"<2,00","<0,50",1.68,4.79,4.01,"<0,100",10.3,"<10,00",241,3.32,10.5,"<10,00",6.29,20.7
27,1995,,40.3,0.4,0.29,1.83,17.0,8.7,,11.1,9.1,303,10.5,10.7,8.6,40.0,45.0
27,2000,,43.0,0.53,0.21,2.99,17.7,9.0,,13.3,10.6,323,8.5,10.9,8.3,33.3,38.3
27,2005,,35.0,0.33,0.18,2.96,12.3,7.2,,10.0,9.0,306,7.7,10.0,7.4,39.1,41.3
27,2010,,40.0,0.36,0.17,4.4,15.6,8.2,,9.3,6.3,375,8.9,19.8,4.3,16.3,51.2
27,2015,3.03,41.7,0.36,0.14,4.13,14.6,8.0,0.03,9.1,7.0,335.0,8.3,12.4,5.3,17.9,42.5
27,2020,4.54,52.2,"<2,00","<0,50",5.41,22.4,5.73,"<0,100",15.16,14.6,293,10.8,23.6,10.6,27.7,46.2
29,1995,,47.7,0.5,0.11,2.88,19.2,7.7,,14.0,11.9,483,11.2,11.6,11.0,46.7,48.3
29,2000,,48.3,0.57,0.11,4.03,19.8,8.0,,14.7,13.7,525,8.8,12.3,10.3,40.0,41.7
29,2005,,46.5,0.4,0.1,4.89,18.3,6.6,,12.8,12.3,388,7.3,12.6,9.2,38.4,45.0
29,2010,,47.8,0.53,0.14,8.38,17.1,8.1,,13.1,10.6,639,10.8,16.1,8.7,24.4,55.9
29,2015,3.83,45.9,0.56,0.11,7.22,19.9,9.7,0.03,12.9,10.2,450.0,14.5,11.4,8.8,25.6,38.7
29,2020,6.02,56.6,"<2,00","<0,50",5.16,12.2,9.57,"<0,100",4.55,"<10,00",432,27.6,23.6,"<10,00",30.2,36.5
31,1995,,45.0,0.6,0.24,3.25,18.8,9.0,,12.7,11.0,257,12.3,10.5,10.6,38.3,38.3
31,2000,,43.0,0.57,0.18,4.03,19.3,8.0,,12.0,11.3,248,11.0,8.9,9.4,38.3,38.3
31,2005,,42.6,0.47,0.19,4.7,18.6,7.7,,10.6,11.0,269,10.0,12.0,9.0,36.4,41.1
31,2010,,40.9,0.49,0.09,5.26,16.0,8.3,,12.3,8.2,270,12.7,11.4,5.3,20.6,49.9
31,2015,4.28,33.0,0.36,0.09,4.21,13.9,6.3,0.02,9.1,7.0,233.0,8.8,9.1,5.5,17.8,34.6
31,2020,3.64,34.3,"<2,00","<0,50",4.31,15.3,5.4,"<0,100",10.28,"<10,00",381,7.29,9.53,"<10,00",20.1,27.2
33,1995,,108.7,1.1,0.35,5.09,35.8,16.7,,19.1,25.2,442,25.8,14.9,36.7,71.7,48.3
33,2000,,103.2,1.05,0.22,8.93,37.8,17.1,,21.6,23.1,481,24.1,14.0,34.5,61.0,51.7
33,2005,,98.6,0.83,0.2,8.72,37.0,16.2,,16.1,21.6,438,20.0,15.6,32.8,60.8,52.2
33,2010,,67.6,0.9,0.13,8.76,27.8,14.3,,16.4,14.6,419,25.2,15.1,20.1,31.9,51.4
33,2015,3.36,54.6,0.72,0.12,6.44,21.0,14.0,0.03,12.7,10.4,328.0,17.8,11.5,17.1,26.9,37.3
33,2020,5.44,85.9,"<2,00","<0,50",8.37,36.2,11.2,"<0,100",22.12,21.4,363,22.3,12.6,37.1,39.7,42.1
35,1995,,50.3,0.57,0.19,2.72,17.8,11.2,,16.2,10.8,287,13.0,8.5,21.4,33.3,29.3
35,2000,,46.7,0.6,0.15,3.93,17.7,10.5,,16.5,10.4,317,10.5,7.6,21.9,40.0,30.2
35,2005,,44.0,0.5,0.14,3.96,18.4,10.6,,13.1,8.2,272,9.3,10.0,23.0,39.5,34.8
35,2010,,33.5,0.39,0.08,4.3,12.4,11.9,,12.1,6.6,280,12.2,7.9,28.8,16.2,48.1
35,2015,3.38,26.4,0.28,0.08,3.72,8.9,5.0,0.01,7.7,5.2,266.0,6.7,7.5,4.3,12.0,25.7
35,2020,3.79,51.9,"<2,00","<0,50",4.68,16.7,4.83,"<0,100",16.25,10.4,232,10.9,10.8,12.2,20.4,29
37,1995,,38.3,0.3,0.12,2.67,9.5,5.7,,12.3,6.2,392,5.5,8.4,9.6,10.0,28.7
37,2000,,36.7,0.3,0.2,3.01,8.0,5.8,,10.9,6.3,407,6.3,10.4,7.7,13.3,27.3
37,2005,,33.9,0.2,0.1,3.6,6.9,5.3,,10.2,4.7,391,5.3,9.7,6.6,10.4,26.3
37,2010,,31.4,0.21,0.09,3.16,6.5,5.6,,9.8,3.5,411,6.2,9.2,4.5,9.4,29.0
37,2015,1.79,27.7,0.22,0.09,3.21,7.2,6.1,0.01,8.9,4.0,394.0,6.1,8.6,4.8,9.6,26.9
37,2020,2.9,34.3,"<2,00","<0,50",4.46,13.1,4.06,"<0,100",16.01,10.2,313,9.81,7.97,10,17.1,26.5
39,1995,,53.0,0.33,0.25,2.57,10.0,8.0,,9.9,7.2,302,5.8,16.4,9.7,16.7,46.7
39,2000,,49.3,0.3,0.19,2.56,9.0,7.2,,8.7,6.7,283,6.0,14.9,9.1,16.3,49.7
39,2005,,55.1,0.26,0.13,2.43,8.1,6.8,,9.3,7.0,266,5.7,11.6,8.2,19.3,44.3
39,2010,,48.5,0.3,0.17,2.81,9.4,7.1,,9.4,4.9,333,7.1,14.3,7.3,13.3,46.9
39,2015,2.36,47.4,0.28,0.13,2.62,9.3,7.4,0.1,8.0,4.0,308.0,6.3,12.5,7.8,13.0,29.9
39,2020,2.6,43.8,"<2,00","<0,50",2.02,6.84,2.69,"<0,100",8.36,"<10,00",216,4.58,11,12.7,10.5,21.1
41,1995,,109.7,0.43,0.17,2.33,14.5,34.7,,10.2,9.0,1033,11.8,20.3,58.7,28.3,80.0
41,2000,,114.7,0.5,0.2,2.88,13.2,37.2,,11.9,9.9,1032,11.3,19.6,63.0,27.7,76.0
41,2005,,104.0,0.47,0.19,3.13,10.7,36.2,,8.2,8.7,978,9.3,17.0,61.0,22.7,82.5
41,2010,,106.2,0.46,0.21,4.41,12.4,39.6,,10.3,6.1,864,12.7,26.9,58.5,14.6,65.5
41,2015,5.68,107.6,0.41,0.19,4.51,10.0,39.4,0.09,9.7,4.7,910.0,11.2,26.4,58.8,13.3,47.4
41,2020,8.17,123,"<2,00","<0,50",5.4,16.7,51.4,0.11,11.28,"<10,00",832,13.1,31.7,75.5,21.5,60.4
43,1995,,62.7,0.43,0.29,2.52,15.5,14.0,,13.0,10.8,267,11.2,12.5,22.9,21.7,65.0
43,2000,,59.7,0.5,0.31,2.8,14.7,13.8,,12.3,11.2,288,13.0,13.1,24.1,22.0,66.7
43,2005,,59.6,0.41,0.27,3.07,12.4,11.2,,10.0,10.5,241,9.6,13.3,20.5,18.4,67.8
