point_id,year,c/n [-],humus [%],organic_carbon [%],total_nitrogen [%]
47,2020,27.33,4.24,2.46,0.09
49,1995,13.0,1.55,0.9,0.069
49,2000,11.0,1.52,0.88,0.081
49,2005,11.5,1.47,0.85,0.074
49,2010,10.9,1.6,0.93,0.085
49,2015,9.0,1.55,0.9,0.1
49,2020,17.33,3.59,2.08,0.12
51,1995,14.2,1.62,0.94,0.066
51,2000,11.7,1.54,0.89,0.076
51,2005,11.7,1.51,0.88,0.075
51,2010,10.5,1.16,0.67,0.064
51,2015,4.0,1.11,0.65,0.16
51,2020,8.9,1.53,0.89,0.1
53,1995,15.8,0.98,0.57,0.036
53,2000,11.8,0.77,0.45,0.038
53,2005,10.8,0.72,0.42,0.039
53,2010,17.4,1.14,0.66,0.038
53,2015,13.5,0.93,0.54,0.04
53,2020,36.25,5.0,2.9,0.08
55,1995,10.4,4.17,2.59,0.25
55,2000,10.2,4.61,2.67,0.262
55,2005,9.5,4.39,2.55,0.268
55,2010,11.3,4.19,2.43,0.216
55,2015,9.9,4.61,2.67,0.27
55,2020,4.67,2.65,1.54,0.33
57,1995,9.0,2.12,1.23,0.137
57,2000,9.5,2.38,1.38,0.145
57,2005,9.2,2.08,1.21,0.131
57,2010,8.5,2.29,1.33,0.157
57,2015,8.1,2.36,1.37,0.17
57,2020,7.88,2.31,1.34,0.17
59,1995,14.4,1.42,0.82,0.057
59,2000,14.1,1.19,0.69,0.049
59,2005,14.9,1.36,0.79,0.053
59,2010,15.9,1.34,0.78,0.049
59,2015,13.3,2.28,1.33,0.1
59,2020,52.4,4.51,2.62,0.05
61,1995,8.0,1.38,0.8,0.1
61,2000,7.5,1.45,0.84,0.112
61,2005,8.6,1.33,0.77,0.089
61,2010,10.1,1.34,0.78,0.077
61,2015,9.0,1.24,0.72,0.08
61,2020,18.33,2.84,1.65,0.09
63,1995,9.4,1.31,0.76,0.081
63,2000,9.3,1.11,0.64,0.069
63,2005,8.7,1.04,0.6,0.069
63,2010,10.8,1.41,0.82,0.076
63,2015,9.0,1.24,0.72,0.08
63,2020,17.42,3.61,2.09,0.12
65,1995,12.1,1.31,0.76,0.063
65,2000,13.9,1.29,0.75,0.054
65,2005,12.8,1.1,0.64,0.05
65,2010,9.8,1.0,0.58,0.059
65,2015,5.9,0.91,0.53,0.09
65,2020,30.6,2.64,1.53,0.05
69,1995,13.8,1.38,0.8,0.058
69,2000,15.2,1.32,0.76,0.05
69,2005,16.7,1.33,0.77,0.046
69,2010,12.1,1.41,0.82,0.068
69,2015,10.4,1.26,0.73,0.07
69,2020,9.18,1.74,1.01,0.11
71,1995,10.7,1.11,0.64,0.06
71,2000,11.2,1.32,0.76,0.068
71,2005,12.4,1.15,0.67,0.054
71,2010,10.7,1.1,0.64,0.06
71,2015,8.9,1.22,0.71,0.08
71,2020,29.4,5.08,2.94,0.1
73,1995,9.3,1.32,0.76,0.082
73,2000,8.7,1.39,0.8,0.092
73,2005,9.8,1.4,0.81,0.083
73,2010,10.0,1.9,1.1,0.11
73,2015,9.1,3.15,1.83,0.2
73,2020,10.35,2.84,1.66,0.16
75,1995,9.6,1.32,0.76,0.079
75,2000,9.8,1.52,0.88,0.09
75,2005,8.2,1.24,0.72,0.089
75,2010,10.5,1.45,0.84,0.08
75,2015,9.7,1.33,0.77,0.08
75,2020,24.63,3.39,1.97,0.08
77,1995,11.1,1.98,1.15,0.104
77,2000,10.7,2.2,1.28,0.12
77,2005,11.3,1.93,1.12,0.099
77,2010,10.8,2.0,1.16,0.107
77,2015,10.0,2.06,1.2,0.12
