point_id,year,Al [cmol(+)*kg-1],Ca2+ [cmol(+)*kg-1],Hh [cmol(+)*kg-1],Hw [cmol(+)*kg-1],K+ [cmol(+)*kg-1],Mg2+ [cmol(+)*kg-1],Na+ [cmol(+)*kg-1],S [cmol(+)*kg-1],T [cmol(+)*kg-1],V [%]
403,2020,0.08,14.7,1.2,0.3,0.49,1.18,"<0,10",16.37,20.2,81.04
405,1995,,10.38,1.8,,0.85,1.36,0.13,12.72,14.52,87.6
405,2000,,9.68,1.95,,0.72,1.08,0.1,11.58,13.53,85.59
405,2005,,9.11,2.25,,0.55,1.25,0.08,10.99,13.24,83.01
405,2010,0.05,5.71,4.05,0.19,0.22,0.77,0.09,6.79,10.84,62.63
405,2015,1.03,3.32,5.7,1.38,0.86,0.45,0.05,4.68,10.38,45.07
405,2020,"<0,0022",7.9,0.9,0.07,0.29,3.93,0.16,12.28,16.1,76.27
407,1995,,11.73,2.03,,0.68,1.58,0.1,14.09,16.12,87.41
407,2000,,10.97,1.75,,0.68,1.39,0.06,13.1,14.85,88.22
407,2005,,11.24,1.43,,0.67,1.05,0.1,13.06,14.49,90.13
407,2010,,10.17,2.4,,0.54,0.9,0.14,11.75,14.15,83.04
407,2015,0.16,8.06,3.45,0.35,1.79,0.48,0.06,10.38,13.83,75.06
407,2020,"<0,0022",15.2,2.3,0.09,0.52,1.75,"<0,10",17.47,19.1,91.47
409,1995,0.59,4.37,5.48,0.84,0.53,0.43,0.06,5.39,10.87,49.59
409,2000,0.04,5.01,3.21,0.18,0.53,0.64,0.06,6.24,9.45,66.03
409,2005,0.02,4.87,3.4,0.14,0.67,0.62,0.05,6.21,9.61,64.62
409,2010,0.11,5.11,3.53,0.23,0.55,0.86,0.12,6.64,10.17,65.28
409,2015,0.23,4.22,3.68,0.42,1.28,0.2,0.15,5.85,9.53,61.37
409,2020,"<0,0022",12,2.4,0.14,0.62,1.18,0.46,14.26,17,83.88
411,1995,,20.76,1.05,,0.9,1.12,0.18,22.96,24.01,95.63
411,2000,,21.97,1.05,,1.15,1.35,0.13,24.6,25.65,95.91
411,2005,,19.72,1.18,,0.61,1.18,0.15,21.66,22.84,94.83
411,2010,,19.7,1.35,,2.03,2.47,0.08,24.27,25.62,94.73
411,2015,,16.46,1.73,,1.45,0.49,0.05,18.44,20.17,91.42
411,2020,0.01,6.3,3.2,0.1,0.3,2.27,"<0,10",8.87,13.6,65.22
413,1995,,10.73,2.0,,0.81,1.17,0.06,12.77,14.77,86.46
413,2000,,9.98,2.1,,0.95,1.31,0.1,12.34,14.44,85.46
413,2005,,13.79,2.68,,0.34,0.9,0.06,15.09,17.77,84.92
413,2010,0.88,6.82,6.15,1.14,0.33,0.75,0.05,7.95,14.1,56.38
413,2015,1.42,5.26,6.9,1.84,0.93,0.28,0.04,6.51,13.41,48.54
413,2020,0.01,12.6,4.7,0.16,0.39,1.05,"<0,10",14.04,21.3,65.92
415,1995,,14.97,1.05,,0.69,1.32,0.18,17.16,18.21,94.23
415,2000,,13.27,1.13,,0.66,1.2,0.13,15.26,16.39,93.11
415,2005,,13.07,1.28,,0.36,1.35,0.16,14.94,16.22,92.11
415,2010,0.76,5.35,6.08,1.02,0.43,0.81,0.05,6.64,12.72,52.21
415,2015,0.89,3.92,6.6,1.28,1.14,0.41,0.06,5.52,12.12,45.55
415,2020,"<0,0022",7.2,5.7,0.33,0.51,1.18,"<0,10",8.89,16.1,55.22
417,1995,2.08,2.49,7.2,2.5,0.23,0.46,0.06,3.24,10.44,31.03
417,2000,1.61,2.89,6.72,2.01,0.27,0.61,0.06,3.83,10.55,36.3
417,2005,1.47,3.19,6.37,1.84,0.13,0.86,0.02,4.2,10.57,39.74
417,2010,0.63,4.33,7.2,1.0,0.69,1.23,0.07,6.32,13.52,46.75
417,2015,2.01,3.59,6.38,2.4,1.07,0.4,0.01,5.08,11.46,44.32
417,2020,"<0,0022",24.4,2.1,0.12,0.3,1.65,"<0,10",26.35,27.3,96.52
