point_id,year,Al [cmol(+)*kg-1],Ca2+ [cmol(+)*kg-1],Hh [cmol(+)*kg-1],Hw [cmol(+)*kg-1],K+ [cmol(+)*kg-1],Mg2+ [cmol(+)*kg-1],Na+ [cmol(+)*kg-1],S [cmol(+)*kg-1],T [cmol(+)*kg-1],V [%]
13,2010,0.11,4.49,4.05,0.23,0.34,0.53,0.06,5.43,9.48,57.26
13,2015,0.27,3.04,4.65,0.46,0.44,0.4,0.1,3.99,8.64,46.16
13,2020,0.03,9.3,1.7,0.09,0.72,0.87,"<0,10",10.89,17.5,62.23
15,1995,0.77,2.99,4.28,1.03,0.28,0.59,0.06,3.92,8.2,47.8
15,2000,0.12,3.18,3.53,0.21,0.34,0.8,0.06,4.38,7.91,55.37
15,2005,0.78,2.86,4.73,0.96,0.21,0.88,0.05,4.0,8.73,45.82
15,2010,1.18,2.94,4.8,1.37,0.3,0.52,0.08,3.84,8.64,44.46
15,2015,1.06,2.02,5.48,1.31,0.63,0.15,0.08,2.88,8.36,34.45
15,2020,0.09,2.1,5.4,1.86,0.15,0.32,"<0,10",2.57,8.8,29.2
17,1995,,10.98,0.83,,0.38,0.53,0.06,11.95,12.78,93.51
17,2000,,9.36,1.08,,0.36,0.46,0.06,10.24,11.32,90.46
17,2005,,9.04,1.08,,0.29,0.42,0.04,9.79,10.87,90.06
17,2010,,5.25,1.8,,0.4,0.44,0.05,6.14,7.94,77.34
17,2015,,4.39,1.95,,0.36,0.37,0.04,5.16,7.11,72.56
17,2020,0.02,9.5,1.1,0.09,0.41,0.53,"<0,10",10.44,15.3,68.24
21,1995,,10.98,1.5,,0.32,0.8,0.1,12.2,13.7,89.05
21,2000,,11.1,1.65,,0.42,0.78,0.06,12.36,14.01,88.22
21,2005,,10.78,1.83,,0.57,1.83,0.09,13.27,15.1,87.88
21,2010,,20.31,1.2,,0.37,0.87,0.09,21.64,22.84,94.75
21,2015,,11.25,1.5,,1.12,0.36,0.08,12.81,14.31,89.52
21,2020,0.01,16.1,1.2,0.09,0.33,1.57,"<0,10",18,25.4,70.87
23,1995,,9.98,1.13,,0.3,0.62,0.06,10.96,12.09,90.65
23,2000,,10.48,1.28,,0.44,0.66,0.1,11.68,12.96,90.12
23,2005,,9.16,1.65,,0.28,0.58,0.04,10.06,11.71,85.91
23,2010,,8.33,1.58,,0.42,0.6,0.14,9.5,11.08,85.74
23,2015,,8.0,1.58,,0.51,0.39,0.11,9.0,10.58,85.07
23,2020,0.02,6.7,2.9,0.09,0.37,0.93,"<0,10",8,11.3,70.8
25,1995,,18.71,3.22,,0.47,2.42,0.26,21.86,25.08,87.16
25,2000,,17.96,3.4,,0.51,2.38,0.13,20.98,24.38,86.05
25,2005,0.14,20.11,4.03,0.32,0.23,2.1,0.1,22.54,26.57,84.83
25,2010,0.03,24.16,4.05,0.21,0.22,2.82,0.17,27.37,31.42,87.11
25,2015,0.05,17.07,5.18,0.37,5.49,0.2,0.12,22.88,28.06,81.54
25,2020,0.02,0.8,3.8,1,0.28,0.13,"<0,10",1.25,3.8,32.89
27,1995,,7.11,1.87,,0.38,0.72,0.06,8.27,10.14,81.56
27,2000,,6.99,1.5,,0.45,0.74,0.06,8.24,9.74,84.6
27,2005,,7.27,1.53,,0.66,0.59,0.03,8.55,10.08,84.82
27,2010,0.24,4.87,4.5,0.42,0.38,0.48,0.1,5.83,10.33,56.42
27,2015,0.66,2.84,6.15,0.96,0.44,0.25,0.04,3.57,9.72,36.75
27,2020,"<0,0022",4.6,2.1,0.09,0.35,0.65,"<0,10",5.6,7.9,70.89
29,1995,1.73,3.99,6.67,2.1,0.42,0.99,0.03,5.43,12.1,44.88
29,2000,2.19,3.99,6.53,2.56,0.59,0.84,0.03,5.45,11.98,45.49
29,2005,2.19,3.62,6.82,2.4,0.43,0.98,0.03,5.06,11.88,42.59
29,2010,0.73,4.12,5.1,0.96,0.71,0.81,0.06,5.71,10.81,52.84
29,2015,0.67,3.32,5.7,0.95,1.14,0.67,0.05,5.17,10.87,47.58
29,2020,0.02,3.5,3.6,0.14,0.31,0.51,"<0,10",4.32,6.3,68.57
31,1995,1.7,4.24,4.8,2.14,0.4,1.02,0.1,5.76,10.56,54.55
31,2000,0.46,4.49,3.83,0.68,0.47,1.21,0.06,6.23,10.06,61.93
31,2005,0.12,3.92,3.53,0.28,0.31,0.99,0.08,5.3,8.83,60.02
31,2010,0.68,3.84,3.6,0.74,0.22,0.84,0.06,4.97,8.57,57.98
31,2015,0.14,3.67,3.15,0.35,0.61,0.29,0.03,4.6,7.75,59.36
31,2020,0.02,7.9,1.2,0.09,0.27,0.3,"<0,10",8.47,11,77
33,1995,,45.91,0.83,,1.53,2.71,0.36,50.51,51.34,98.38
33,2000,,46.72,0.65,,1.02,2.63,0.16,50.53,51.18,98.73
33,2005,,43.91,0.83,,1.16,2.51,0.12,47.7,48.53,98.29
33,2010,,20.21,0.75,,1.65,2.67,0.11,24.64,25.39,97.05
33,2015,,16.59,2.7,,3.62,0.82,0.06,21.09,23.79,88.65
33,2020,"<0,0022",34.2,0.9,0.1,1.1,2.33,"<0,10",37.63,47.9,78.56
35,1995,,37.32,0.52,,0.75,1.12,0.26,39.45,39.97,98.7
35,2000,,38.97,0.38,,0.49,0.83,0.16,40.45,40.83,99.07
35,2005,,38.43,1.13,,0.43,0.86,0.13,39.85,40.98,97.24
35,2010,,9.67,0.6,,0.35,1.67,0.19,11.87,12.47,95.19
35,2015,,21.47,0.9,,0.81,9.05,0.08,31.41,32.54,96.53
35,2020,"<0,0022",13.8,0.9,0.1,0.24,1.15,"<0,10",15.19,28.1,54.06
37,1995,0.26,3.37,3.75,0.37,0.28,0.48,0.03,4.16,7.91,52.59
37,2000,0.14,3.61,3.63,0.25,0.25,0.78,0.06,4.7,8.33,56.42
37,2005,0.04,3.92,3.45,0.18,0.26,0.61,0.03,4.82,8.27,58.28
37,2010,0.17,2.54,3.83,0.35,1.76,0.35,0.07,4.72,8.55,55.19
37,2015,0.23,2.25,3.6,0.44,0.81,0.33,0.07,3.47,7.07,49.05
37,2020,"<0,0022",7.4,1.5,0.09,0.5,1.52,"<0,10",9.42,14.5,64.97
39,1995,0.52,4.37,3.83,0.75,0.23,0.49,0.06,5.15,8.98,57.35
39,2000,0.26,5.01,3.6,0.42,0.23,0.6,0.1,5.94,9.54,62.26
39,2005,0.12,4.79,3.48,0.14,0.25,0.48,0.08,5.6,9.08,61.67
39,2010,0.13,4.85,3.45,0.32,0.13,0.51,0.1,5.59,9.04,61.82
39,2015,0.12,3.59,3.68,0.4,0.6,0.17,0.04,4.41,8.09,54.52
39,2020,"<0,0022",6,1.1,"<0,05",0.11,0.65,"<0,10",6.76,8.9,75.96
41,1995,,23.55,0.75,,0.74,1.66,0.29,26.24,26.99,97.22
41,2000,,23.46,0.9,,0.6,1.62,0.18,25.86,26.76,96.64
41,2005,,25.35,0.83,,0.52,1.58,0.16,27.61,28.44,97.08
41,2010,,19.8,0.75,,0.32,1.91,0.2,22.22,22.97,96.74
41,2015,,21.67,0.9,,1.31,0.17,0.07,23.22,24.12,96.27
41,2020,"<0,0022",28.7,1.2,0.11,0.2,1.25,"<0,10",30.15,50.8,59.35
43,1995,,17.96,0.6,,1.19,1.45,0.39,20.99,21.59,97.22
43,2000,,16.87,0.75,,0.88,1.62,0.25,19.62,20.37,96.32
43,2005,,16.84,0.68,,0.6,1.82,0.23,19.49,20.17,96.63
43,2010,,19.1,0.6,,0.47,1.19,0.14,20.9,21.5,97.21
43,2015,,18.33,0.75,,0.98,0.25,0.06,19.61,20.36,96.32
43,2020,0.01,25.3,0.9,0.09,0.84,1.58,"<0,10",27.72,45.5,60.92
45,1995,1.1,1.62,4.8,1.42,0.36,0.29,0.06,2.33,7.13,32.68
45,2000,0.96,1.45,4.55,1.33,0.3,0.28,0.03,2.06,6.61,31.16
45,2005,1.04,1.79,4.28,1.27,0.32,0.33,0.03,2.47,6.75,36.59
45,2010,,6.29,1.65,,0.7,0.72,0.09,7.8,9.45,82.54
45,2015,,5.41,2.03,,0.5,0.43,0.08,6.42,8.45,75.98
45,2020,0.03,8.3,1.7,0.12,0.52,0.55,"<0,10",9.37,14.7,63.74
47,1995,,7.48,0.97,,0.42,0.16,0.1,8.16,9.13,89.38
47,2000,,6.89,1.1,,0.28,0.21,0.06,7.44,8.54,87.12
47,2005,,5.96,1.5,,0.28,0.28,0.03,6.55,8.05,81.37
47,2010,0.41,1.48,3.38,0.6,0.22,0.19,0.06,1.95,5.33,36.56
47,2015,0.35,0.95,3.52,0.6,0.17,0.15,0.03,1.3,4.82,26.99
47,2020,"<0,0022",1.5,4.5,0.75,0.32,0.15,"<0,10",1.97,7.9,24.94
49,1995,0.21,1.87,3.0,0.35,0.3,0.25,0.03,2.45,5.45,44.95
49,2000,0.15,2.0,2.85,0.4,0.32,0.28,0.06,2.66,5.51,48.28
49,2005,0.05,1.55,3.6,0.21,0.34,0.28,0.02,2.19,5.79,37.82
49,2010,0.04,2.08,2.78,0.23,0.42,0.3,0.05,2.86,5.64,50.7
49,2015,0.14,1.15,3.26,0.42,0.25,0.27,0.11,1.78,5.04,35.29
49,2020,"<0,0022",2.2,3.6,0.19,0.38,0.37,"<0,10",2.95,6.4,46.09
51,1995,,6.24,1.73,,0.64,0.64,0.06,7.58,9.31,81.42
51,2000,,6.98,1.63,,0.54,0.53,0.06,8.11,9.74,83.26
51,2005,,7.68,1.13,,0.47,0.93,0.02,9.1,10.23,88.95
51,2010,0.09,1.8,3.15,0.23,0.42,0.45,0.02,2.7,5.85,46.16
51,2015,,1.72,2.4,,0.61,0.49,0.01,2.83,5.23,54.11
51,2020,"<0,0022",6.1,1.5,0.1,0.73,0.55,"<0,10",7.38,11.5,64.17
53,1995,,1.7,0.9,,0.07,0.7,0.02,2.49,3.39,73.45
53,2000,,1.75,1.05,,0.08,0.67,0.06,2.56,3.61,70.91
53,2005,,1.78,1.08,,0.05,0.56,0.02,2.41,3.49,69.05
53,2010,0.69,0.25,4.28,0.81,0.06,0.07,0.02,0.4,4.68,8.58
53,2015,1.24,0.05,3.3,1.52,0.04,0.03,0.01,0.13,3.43,3.76
53,2020,0.02,1.5,3.5,0.46,0.11,0.15,"<0,10",1.76,5.7,30.88
55,1995,,23.2,1.8,,1.77,4.67,0.19,29.83,31.63,94.31
55,2000,,22.11,2.05,,2.2,4.37,0.13,28.81,30.86,93.36
55,2005,,22.19,2.1,,1.72,3.83,0.09,27.83,29.93,92.98
55,2010,,31.44,2.1,,2.22,4.05,0.15,37.86,39.96,94.75
55,2015,,30.49,1.58,,16.56,1.56,0.16,48.76,50.34,96.86
55,2020,"<0,0022",44.3,1.1,0.12,2.23,2.62,"<0,10",49.15,50.7,96.94
57,1995,,22.15,0.9,,0.71,3.18,0.21,26.25,27.15,96.69
57,2000,,20.97,0.75,,0.64,3.56,0.16,25.33,26.08,97.12
57,2005,,22.45,1.05,,0.48,2.55,0.19,25.67,26.72,96.07
57,2010,,19.68,0.9,,0.71,4.71,0.1,25.2,26.1,96.55
57,2015,,14.81,1.05,,12.86,0.0,0.24,27.9,28.95,96.37
57,2020,0.02,17.9,1.1,0.05,0.62,3.5,"<0,10",22.02,36.3,60.66
59,1995,1.06,0.62,3.07,1.45,0.17,0.08,0.03,0.9,3.97,22.67
59,2000,0.97,0.5,3.23,1.16,0.13,0.06,0.03,0.72,3.95,18.23
59,2005,0.93,0.71,3.38,1.11,0.12,0.05,0.02,0.9,4.28,21.03
59,2010,0.95,0.22,4.13,1.14,0.05,0.04,0.02,0.33,4.46,7.38
59,2015,1.33,0.45,5.7,1.77,0.08,0.14,0.01,0.68,6.38,10.6
59,2020,"<0,0022",1.7,4.2,0.51,0.13,0.27,"<0,10",2.1,6.4,32.81
61,1995,,5.99,2.03,,0.45,0.64,0.06,7.14,9.17,77.86
61,2000,,5.36,1.95,,0.52,0.67,0.1,6.65,8.6,77.33
61,2005,,4.84,2.25,,0.5,0.66,0.03,6.03,8.28,72.83
61,2010,0.05,3.83,2.85,0.16,0.39,0.55,0.05,4.83,7.68,62.87
61,2015,0.1,3.32,2.74,0.26,0.46,0.37,0.01,4.16,6.9,60.28
61,2020,"<0,0022",5.3,2.4,0.09,0.44,0.65,"<0,10",6.39,10.4,61.44
63,1995,,6.24,2.55,,0.25,0.93,0.1,7.52,10.07,74.68
63,2000,,6.61,2.08,,0.37,0.76,0.13,7.87,9.95,79.1
63,2005,,10.68,0.98,,0.26,0.8,0.1,11.84,12.82,92.36
63,2010,,8.24,1.05,,0.41,0.69,0.09,9.43,10.48,89.98
63,2015,,9.72,0.75,,0.47,0.23,0.18,10.6,11.35,93.39
63,2020,0.01,7,1.8,0.07,0.36,0.7,"<0,10",8.06,12.4,65
65,1995,,4.74,1.5,,0.7,0.29,0.06,5.79,7.29,79.42
65,2000,,4.5,1.85,,0.5,0.23,0.06,5.29,7.14,74.09
65,2005,,4.7,1.63,,0.46,0.23,0.03,5.42,7.05,76.88
65,2010,0.45,1.6,4.28,0.61,0.32,0.14,0.03,2.09,6.37,32.78
65,2015,0.49,1.27,3.27,0.7,0.21,0.3,0.02,1.81,5.08,35.65
65,2020,0.09,3.8,2.4,0.12,0.68,0.32,"<0,10",4.8,7.6,63.16
69,1995,,4.24,1.43,,0.45,0.39,0.06,5.14,6.57,78.23
69,2000,,3.74,1.5,,0.38,0.43,0.06,4.61,6.11,75.45
69,2005,,3.42,1.88,,0.28,0.38,0.02,4.1,5.98,68.56
69,2010,0.05,1.75,3.6,0.14,0.32,0.21,0.02,2.29,5.89,38.91
69,2015,0.28,1.0,3.15,0.46,0.19,0.25,0.01,1.44,4.59,31.44
69,2020,0.12,1.8,3.8,0.47,0.43,0.22,"<0,10",2.45,5.6,43.75
71,1995,,2.0,2.25,,0.36,0.33,0.19,2.88,5.13,56.14
71,2000,,1.8,2.48,,0.28,0.28,0.1,2.46,4.94,49.8
71,2005,,1.86,2.7,,0.15,0.2,0.12,2.33,5.03,46.32
71,2010,0.28,1.07,3.9,0.44,0.19,0.12,0.04,1.42,5.32,26.68
71,2015,0.14,1.22,3.0,0.32,0.26,0.19,0.01,1.69,4.69,35.98
71,2020,0.01,7.2,2.9,0.37,0.6,1.45,"<0,10",9.25,10.6,87.26
73,1995,,4.99,2.03,,0.3,0.94,0.06,6.29,8.32,75.6
73,2000,,5.74,1.8,,0.34,0.81,0.06,6.95,8.75,79.43
73,2005,,4.24,2.33,,0.39,1.94,0.03,6.6,8.93,73.91
73,2010,,4.8,2.25,,0.64,0.79,0.06,6.29,8.54,73.66
73,2015,,9.63,1.73,,1.36,1.7,0.14,12.83,14.56,88.12
73,2020,0.39,8.4,2,0.09,1.18,1.2,"<0,10",10.78,17.8,60.56
75,1995,0.8,1.5,3.9,0.98,0.25,0.18,0.06,1.99,5.89,33.79
75,2000,0.67,1.5,3.73,0.93,0.3,0.2,0.06,2.06,5.79,35.58
75,2005,0.56,1.36,3.9,0.77,0.31,0.23,0.03,1.93,5.83,33.1
75,2010,0.72,1.37,3.75,0.93,0.37,0.26,0.06,2.07,5.82,35.54
75,2015,0.86,1.0,4.24,1.16,0.25,0.27,0.02,1.54,5.78,26.64
75,2020,"<0,0022",3.5,2.4,0.09,0.43,0.23,"<0,10",4.16,6.6,63.03
77,1995,0.1,4.24,3.38,0.28,0.38,0.33,0.03,4.98,8.36,59.57
77,2000,0.06,4.99,3.03,0.18,0.47,0.43,0.06,5.95,8.98,66.26
77,2005,0.14,3.84,3.83,0.21,0.49,0.38,0.03,4.74,8.57,55.31
77,2010,0.13,2.87,3.68,0.25,0.37,0.21,0.05,3.51,7.19,48.83
77,2015,0.4,1.8,4.28,0.63,0.28,0.45,0.04,2.58,6.86,37.59
77,2020,"<0,0022",5.6,1.8,0.07,0.56,1.58,"<0,10",7.74,12.2,63.44
79,1995,,48.9,0.75,,1.21,3.81,0.31,54.23,54.98,98.64
79,2000,,50.15,0.88,,1.51,3.57,0.41,55.64,56.52,98.44
79,2005,,50.34,1.13,,0.93,3.71,0.15,55.13,56.26,97.99
79,2010,,19.92,0.9,,1.87,4.34,0.1,26.22,27.12,96.68
79,2015,,21.47,1.13,,0.81,9.05,0.08,31.41,32.54,96.53
79,2020,0.18,8.8,3.8,0.5,0.43,1.65,"<0,10",10.88,16.4,66.34
81,1995,2.2,0.6,4.88,2.59,0.2,0.1,0.02,0.92,5.8,15.86
81,2000,1.79,0.62,4.99,2.14,0.17,0.1,0.03,0.92,5.91,15.57
81,2005,1.59,0.44,4.87,1.82,0.15,0.1,0.02,0.71,5.58,12.72
81,2010,1.28,0.75,4.88,1.49,0.16,0.1,0.05,1.06,5.94,17.84
81,2015,1.15,0.55,4.8,1.47,0.25,0.27,0.05,1.11,5.91,18.84
81,2020,0.01,4.3,3.2,0.1,0.75,1.1,"<0,10",6.15,13.6,45.22
83,1995,1.24,0.37,4.05,1.42,0.13,0.11,0.03,0.64,4.69,13.65
83,2000,1.47,0.52,4.43,1.7,0.09,0.08,0.03,0.72,5.15,13.98
83,2005,1.54,0.39,4.65,1.73,0.07,0.04,0.01,0.51,5.16,9.88
83,2010,1.45,0.27,4.73,1.7,0.18,0.07,0.15,0.67,5.4,12.39
83,2015,1.4,0.17,4.13,1.77,0.09,0.07,0.01,0.34,4.47,7.55
83,2020,0.04,1.8,3.6,0.3,0.22,0.28,"<0,10",2.3,6.2,37.1
85,1995,1.61,2.0,7.58,1.91,0.23,0.21,0.03,2.47,10.05,24.58
85,2000,1.63,1.82,6.98,1.96,0.25,0.17,0.03,2.27,9.25,24.54
85,2005,1.65,1.8,7.12,1.81,0.34,0.22,0.04,2.4,9.52,25.21
85,2010,,6.07,2.85,,0.55,0.39,0.08,7.09,9.94,71.33
85,2015,1.82,1.45,8.21,2.26,0.2,0.12,0.04,1.8,10.01,18.01
85,2020,0.01,6.3,4.2,0.1,0.33,0.7,"<0,10",7.33,13.4,54.7
87,1995,,4.99,2.48,,0.28,0.68,0.32,6.27,8.75,71.66
87,2000,,4.74,2.55,,0.3,0.68,0.06,5.78,8.33,69.39
87,2005,,4.25,2.78,,0.33,0.59,0.03,5.2,7.98,65.16
87,2010,0.26,1.64,4.88,0.44,0.36,0.39,0.15,2.54,7.42,34.2
87,2015,0.3,2.92,4.5,0.49,0.29,0.09,0.06,3.36,7.86,42.73
87,2020,0.01,0.6,4.4,0.9,0.09,0.1,"<0,10",0.79,5,15.8
89,1995,0.23,2.37,3.45,0.35,0.34,0.33,0.13,3.17,6.62,47.89
89,2000,0.3,1.95,3.98,0.5,0.32,0.3,0.03,2.6,6.58,39.51
89,2005,0.21,2.5,3.56,0.36,0.44,0.94,0.03,3.91,7.47,52.34
89,2010,,5.38,2.33,,0.48,1.19,0.08,7.14,9.47,75.38
89,2015,,5.34,2.63,,0.26,1.04,0.08,6.71,9.04,74.22
89,2020,0.88,1.4,4.5,1.3,0.24,0.24,"<0,10",1.88,6.4,29.38
91,1995,0.18,2.0,3.15,0.3,0.19,0.23,0.06,2.48,5.63,44.05
91,2000,0.11,2.34,2.85,0.25,0.19,0.25,0.03,2.81,5.66,49.65
91,2005,0.01,2.16,2.7,0.12,0.26,0.23,0.02,2.67,5.37,49.72
91,2010,,3.12,2.7,,0.26,0.31,0.08,3.78,6.48,58.33
91,2015,0.91,0.37,4.2,1.16,0.17,0.22,0.07,0.84,5.04,16.63
91,2020,0.26,1.6,3.9,0.6,0.14,0.22,"<0,10",1.96,6.3,31.11
93,1995,,4.49,2.25,,0.49,0.34,0.06,5.38,7.63,70.51
93,2000,,4.79,2.45,,0.4,0.31,0.06,5.56,8.01,69.41
93,2005,,4.57,2.25,,0.44,0.45,0.04,5.5,7.75,70.97
93,2010,,2.65,2.4,,0.34,0.28,0.05,3.32,5.72,58.07
93,2015,0.16,2.86,2.48,0.46,0.37,0.3,0.03,3.55,6.03,58.9
93,2020,0.18,1.9,3.8,0.28,0.39,0.28,"<0,10",2.62,5.4,48.52
95,1995,0.16,2.24,1.73,0.32,0.23,0.28,0.03,2.78,4.51,61.64
95,2000,0.22,2.49,2.15,0.48,0.33,0.43,0.06,3.31,5.46,60.62
95,2005,0.14,2.5,1.95,0.25,0.28,0.29,0.01,3.08,5.03,61.23
95,2010,0.19,1.21,2.4,0.35,0.2,0.16,0.04,1.61,4.01,40.11
95,2015,0.19,1.51,2.25,0.37,0.23,0.21,0.02,1.98,4.23,46.77
95,2020,"<0,0022",3,1.4,0.07,0.26,0.25,"<0,10",3.51,4.8,73.13
97,1995,,5.74,2.1,,0.36,0.52,0.06,6.68,8.78,76.08
97,2000,,4.98,2.48,,0.38,0.48,0.06,5.9,8.38,70.41
97,2005,,4.64,2.03,,0.31,0.41,0.01,5.37,7.4,72.57
97,2010,0.04,3.6,2.78,0.16,0.44,0.41,0.05,4.5,7.28,61.81
97,2015,,6.87,1.58,,1.72,0.35,0.03,8.98,10.56,85.03
97,2020,0.02,3.6,1.5,0.09,0.52,0.45,"<0,10",4.62,7.9,58.48
99,1995,,8.58,0.75,,0.56,1.62,0.08,10.84,11.59,93.53
99,2000,,7.83,0.83,,0.46,1.43,0.06,9.78,10.61,92.18
99,2005,,7.9,0.83,,0.53,1.38,0.01,9.82,10.65,92.21
99,2010,,13.85,1.35,,0.42,0.49,0.11,14.87,16.22,91.68
99,2015,,5.4,1.28,,0.8,0.33,0.04,6.57,7.85,83.7
99,2020,0.48,"<0,10",8,2.36,0.06,0.07,"<0,10",0.13,9.4,1.38
101,1995,,4.61,1.58,,0.21,0.25,0.03,5.1,6.68,76.35
101,2000,,4.91,1.35,,0.24,0.36,0.06,5.57,6.92,80.49
101,2005,,5.71,1.13,,0.2,0.45,0.02,6.38,7.51,84.95
101,2010,,2.69,1.8,,0.22,0.24,0.04,3.19,4.99,63.96
101,2015,,4.19,1.35,,0.4,0.1,0.02,4.71,6.06,77.73
101,2020,0.03,1,5.1,2.22,0.15,0.16,"<0,10",1.37,6.47,56.89
103,1995,,2.24,2.25,,0.25,0.29,0.03,2.81,5.06,55.53
103,2000,,2.12,2.43,,0.3,0.23,0.06,2.71,5.14,52.72
103,2005,,1.93,2.48,,0.48,0.11,0.01,2.53,5.01,50.5
103,2010,,2.64,1.65,,0.44,0.21,0.08,3.37,5.02,67.16
103,2015,,2.59,1.58,,0.23,0.35,0.03,3.2,4.78,66.94
103,2020,0.01,3.5,1.8,0.4,2.28,0.25,"<0,10",6.03,6.4,94.22
105,1995,,5.0,2.25,,0.3,0.82,0.06,6.18,8.43,73.31
105,2000,,5.8,2.55,,0.43,0.66,0.06,6.95,9.5,73.16
105,2005,,5.59,3.23,,0.35,0.86,0.03,6.83,10.06,67.89
105,2010,0.23,5.6,3.3,0.37,0.41,1.52,0.08,7.61,10.91,69.74
105,2015,0.49,3.04,3.83,0.79,0.61,0.25,0.03,3.93,7.76,50.66
105,2020,0.01,6.1,1.4,0.09,0.62,1.13,"<0,10",7.85,10,78.5
107,1995,,3.09,1.13,,0.24,0.29,0.03,3.65,4.78,76.36
107,2000,,3.49,0.98,,0.17,0.4,0.03,4.09,5.07,80.67
107,2005,,3.09,1.2,,0.17,0.41,0.02,3.69,4.89,75.46
107,2010,,2.77,1.05,,0.23,0.42,0.05,3.47,4.52,76.76
107,2015,,2.5,0.98,,0.44,0.15,0.02,3.11,4.09,76.05
107,2020,0.03,2.4,1.7,0.07,0.14,0.28,"<0,10",2.82,4.5,62.67
111,1995,,3.24,1.8,,0.23,0.34,0.03,3.84,5.64,68.09
111,2000,,3.24,1.65,,0.3,0.28,0.06,3.88,5.53,70.16
111,2005,,2.94,1.65,,0.4,0.33,0.02,3.69,5.34,69.1
111,2010,,2.14,1.58,,0.29,0.47,0.06,2.96,4.54,65.2
111,2015,0.13,1.4,2.03,0.32,0.46,0.26,0.02,2.14,4.17,51.27
111,2020,0.01,3.1,2.4,0.12,0.3,0.53,"<0,10",3.93,6,65.5
113,1995,0.3,3.12,2.62,0.51,0.32,0.34,0.03,3.81,6.43,59.25
113,2000,0.11,3.99,2.15,0.25,0.4,0.61,0.03,5.03,7.18,70.06
113,2005,0.09,3.72,2.03,0.11,0.32,0.65,0.02,4.71,6.74,69.88
113,2010,0.05,2.98,2.18,0.19,0.17,0.69,0.06,3.9,6.08,64.14
113,2015,0.2,2.25,2.36,0.39,0.75,0.21,0.03,3.23,5.59,57.82
113,2020,0.03,2.8,3,0.39,0.37,0.48,"<0,10",3.65,8,45.63
115,1995,,6.36,1.95,,0.64,1.25,0.03,8.28,10.23,80.94
115,2000,,7.58,1.7,,0.45,0.98,0.03,9.04,10.74,84.17
115,2005,,7.41,1.35,,0.54,1.09,0.06,9.1,10.45,87.08
115,2010,,5.41,1.5,,0.59,0.65,0.06,6.72,8.22,81.74
115,2015,0.07,4.67,2.03,0.25,0.67,0.45,0.03,5.81,7.84,74.12
115,2020,0.1,6.4,3.5,0.16,0.36,0.95,"<0,10",7.71,11.5,67.04
117,1995,,5.0,1.73,,0.87,0.72,0.06,6.65,8.38,79.36
117,2000,,4.74,1.8,,0.56,0.57,0.06,5.93,7.73,76.71
117,2005,,4.57,1.88,,0.54,0.48,0.02,5.61,7.49,74.9
117,2010,,6.52,1.73,,0.52,0.62,0.06,7.72,9.45,81.69
117,2015,,5.79,1.35,,0.91,0.46,0.02,7.17,8.52,84.16
117,2020,"<0,0022",8.5,1.2,0.07,0.38,0.83,"<0,10",9.71,13.2,73.56
119,1995,,3.87,2.03,,0.38,0.25,0.06,4.56,6.59,69.2
119,2000,,4.34,1.83,,0.36,0.28,0.03,5.01,6.84,73.25
119,2005,,3.69,1.65,,0.36,0.38,0.05,4.48,6.13,73.08
119,2010,,3.01,1.58,,0.42,0.35,0.06,3.85,5.43,70.89
119,2015,0.08,2.15,1.8,0.26,0.44,0.38,0.03,2.99,4.79,62.45
119,2020,0.06,0.8,4.4,2.1,0.14,0.13,"<0,10",1.07,5,21.4
121,1995,,7.58,0.83,,0.29,0.27,0.08,8.22,9.05,90.83
121,2000,,8.18,0.38,,0.52,0.38,0.06,9.14,9.52,96.01
121,2005,,7.61,0.6,,0.55,0.45,0.05,8.66,9.26,93.52
121,2010,,5.16,0.83,,0.55,0.42,0.06,6.2,7.03,88.19
121,2015,,5.77,0.83,,0.39,0.52,0.02,6.7,7.53,88.97
121,2020,0.01,3.9,1.4,0.12,0.82,0.47,"<0,10",5.19,7,74.14
123,1995,,4.74,1.27,,0.38,0.34,0.06,5.52,6.79,81.3
123,2000,,3.94,1.43,,0.27,0.28,0.1,4.59,6.02,76.25
123,2005,,3.62,1.65,,0.21,0.2,0.02,4.05,5.7,71.05
123,2010,,16.67,0.53,,0.57,0.2,0.07,17.5,18.03,97.06
123,2015,,14.54,0.45,,0.3,0.45,0.05,15.34,15.79,97.15
123,2020,0.01,16.8,"<0,75",0.09,0.37,0.3,"<0,10",17.47,49.4,35.36
125,1995,,9.98,2.1,,0.38,1.02,0.1,11.48,13.58,84.54
125,2000,,10.23,1.88,,0.42,1.0,0.1,11.75,13.63,86.21
125,2005,,17.14,0.98,,0.34,1.18,0.14,18.8,19.78,95.05
125,2010,,14.89,0.75,,0.67,1.6,0.09,17.25,18.0,95.83
125,2015,,8.61,1.2,,1.04,0.58,0.09,10.32,11.52,89.58
125,2020,"<0,0022",10.4,2,0.09,0.55,1.85,"<0,10",12.8,16.8,76.19
127,1995,,1.75,3.22,,0.19,0.52,0.03,2.49,5.71,43.61
127,2000,,2.0,2.98,,0.19,0.46,0.03,2.68,5.66,47.35
127,2005,,1.45,3.68,,0.14,0.23,0.03,1.85,5.53,33.45
127,2010,0.61,0.72,3.98,0.86,0.19,0.17,0.07,1.15,5.13,22.41
127,2015,0.73,0.55,4.2,1.05,0.2,0.17,0.02,0.94,5.14,18.36
