point_id,year,CaCo3 [%],pH_H2O [pH],pH_KCl [pH]
59,2015,,3.9,3.1
59,2020,0.04,5.5,4.2
61,1995,,6.6,6.0
61,2000,,7.0,5.9
61,2005,,6.6,5.5
61,2010,,6.3,5.4
61,2015,,5.3,4.4
61,2020,0.03,6.5,5.7
63,1995,,6.0,5.1
63,2000,,6.5,5.4
63,2005,,7.4,6.6
63,2010,0.12,7.8,7.5
63,2015,0.41,7.5,7.1
63,2020,0.02,6.8,6.1
65,1995,,6.6,6.1
65,2000,,6.4,5.6
65,2005,,6.5,5.5
65,2010,,5.5,4.5
65,2015,,4.5,3.6
65,2020,0.03,6.1,5.5
69,1995,,6.8,6.1
69,2000,,7.2,6.2
69,2005,,6.8,5.9
69,2010,,6.1,4.8
69,2015,,5.0,3.8
69,2020,0.02,5.1,4.3
71,1995,,6.2,5.4
71,2000,,6.3,5.1
71,2005,,6.1,5.0
71,2010,,5.7,4.3
71,2015,,5.3,4.2
71,2020,"<0,01",6.2,5.7
73,1995,,7.0,5.9
73,2000,,6.7,5.8
73,2005,,6.4,5.5
73,2010,,6.7,5.8
73,2015,0.37,7.1,6.8
73,2020,0.04,6.9,6.4
75,1995,,5.2,3.8
75,2000,,5.5,4.1
75,2005,,5.0,3.9
75,2010,,5.5,4.7
75,2015,,4.4,3.4
75,2020,0.02,6.6,5.6
77,1995,,6.4,5.0
77,2000,,6.7,5.3
77,2005,,6.6,5.4
77,2010,,6.0,4.9
77,2015,,5.3,4.7
77,2020,0.03,6.9,6.4
79,1995,3.26,7.0,5.9
79,2000,3.09,7.3,6.1
79,2005,6.34,7.4,6.2
79,2010,0.78,7.8,7.0
79,2015,1.41,7.4,6.8
79,2020,0.2,5.9,4.5
81,1995,,5.2,3.8
81,2000,,5.1,4.0
81,2005,,5.3,4.2
81,2010,,5.4,3.9
81,2015,,5.0,4.1
81,2020,0.52,6.5,5.9
83,1995,,5.5,4.3
83,2000,,5.3,4.2
83,2005,,5.0,4.0
83,2010,,5.2,4.1
83,2015,,5.1,4.2
83,2020,0.26,5.8,4.7
85,1995,,5.1,4.2
85,2000,,4.8,4.0
85,2005,,4.7,3.8
85,2010,0.08,6.9,6.4
85,2015,,4.9,4.1
85,2020,0.5,6.8,6.1
87,1995,,6.7,5.6
87,2000,,7.0,5.8
87,2005,,6.7,5.7
