point_id,year,PAH_sum_13 [µg*kg-1],anthracene [µg*kg-1],benzo(a)anthracene [µg*kg-1],benzo(a)fluoranthene [µg*kg-1],benzo(a)pyrene [µg*kg-1],benzo(b)fluoranthene [µg*kg-1],benzo(ghi)perylene [µg*kg-1],benzo(k)fluoranthene [µg*kg-1],chrysene [µg*kg-1],dibenzo(a.h)anthracene [µg*kg-1],fluoranthene [µg*kg-1],fluorene [µg*kg-1],indeno(1.2.3-cd)pyrene [µg*kg-1],naphthalene [µg*kg-1],phenanthrene [µg*kg-1,pyrene [µg*kg-1]
313,2015,181.6,5.3,14.1,6.2,17.9,11.5,13.6,11.3,16.4,4.8,23.4,5.8,18.1,14.0,20.2,19.2
313,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
315,1995,188.0,,,,,,,,,,,,,,,
315,2000,185.0,,,,,,,,,,,,,,,
315,2005,484.0,,,,,,,,,,,,,,,
315,2010,992.4,,,,,,,,,,,,,,,
315,2015,430.5,6.3,26.6,9.0,34.7,53.4,34.9,19.8,32.3,10.3,49.3,4.7,38.1,8.1,75.8,44.3
315,2020,290,"<25,0",25,40,43,"<25,0",30,29,29,"<25,0",50,"<25,0",44,"<25,0","<25,0",40
317,1995,358.0,,,,,,,,,,,,,,,
317,2000,531.0,,,,,,,,,,,,,,,
317,2005,291.0,,,,,,,,,,,,,,,
317,2010,552.5,,,,,,,,,,,,,,,
317,2015,371.7,5.7,26.0,9.0,31.0,52.2,30.3,17.7,30.9,10.4,52.8,4.1,36.4,15.8,23.7,50.6
317,2020,1057,"<25,0",106,"<25,0",117,145,85,75,90,"<25,0",157,"<25,0",123,"<25,0",42,117
319,1995,1821.0,,,,,,,,,,,,,,,
319,2000,1017.0,,,,,,,,,,,,,,,
319,2005,1836.0,,,,,,,,,,,,,,,
319,2010,726.6,,,,,,,,,,,,,,,
319,2015,1047.6,27.0,83.1,17.6,95.9,43.5,77.0,47.8,87.4,31.0,178.9,18.6,92.8,20.0,121.3,143.1
319,2020,773,"<25,0",55,53,52,"<25,0",33,49,70,"<25,0",188,"<25,0",42,33,144,140
321,1995,364.0,,,,,,,,,,,,,,,
321,2000,297.0,,,,,,,,,,,,,,,
321,2005,304.0,,,,,,,,,,,,,,,
321,2010,474.7,,,,,,,,,,,,,,,
321,2015,442.7,6.4,35.2,9.1,38.9,59.7,30.2,20.9,39.8,8.7,69.8,4.3,35.4,5.8,33.5,60.0
321,2020,260,"<25,0","<25,0",32,27,"<25,0",29,25,28,"<25,0",57,"<25,0",49,"<25,0","<25,0",45
323,1995,3715.0,,,,,,,,,,,,,,,
323,2000,1521.0,,,,,,,,,,,,,,,
323,2005,1546.0,,,,,,,,,,,,,,,
323,2010,1506.2,,,,,,,,,,,,,,,
323,2015,1544.7,16.2,135.1,31.5,150.3,233.2,111.1,76.6,149.9,30.3,221.1,8.4,141.6,21.9,75.4,195.5
