point_id,year,PAH_sum_13 [µg*kg-1],anthracene [µg*kg-1],benzo(a)anthracene [µg*kg-1],benzo(a)fluoranthene [µg*kg-1],benzo(a)pyrene [µg*kg-1],benzo(b)fluoranthene [µg*kg-1],benzo(ghi)perylene [µg*kg-1],benzo(k)fluoranthene [µg*kg-1],chrysene [µg*kg-1],dibenzo(a.h)anthracene [µg*kg-1],fluoranthene [µg*kg-1],fluorene [µg*kg-1],indeno(1.2.3-cd)pyrene [µg*kg-1],naphthalene [µg*kg-1],phenanthrene [µg*kg-1,pyrene [µg*kg-1]
393,2015,94.8,4.1,6.8,5.6,9.6,5.4,6.6,5.5,7.3,3.6,12.9,3.9,8.1,3.9,9.2,11.7
393,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
395,1995,332.0,,,,,,,,,,,,,,,
395,2000,213.0,,,,,,,,,,,,,,,
395,2005,171.0,,,,,,,,,,,,,,,
395,2010,122.0,,,,,,,,,,,,,,,
395,2015,84.9,4.7,6.5,5.5,8.2,5.2,5.5,4.9,6.1,3.4,10.8,4.2,6.4,4.8,9.5,9.5
395,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
397,1995,384.0,,,,,,,,,,,,,,,
397,2000,272.0,,,,,,,,,,,,,,,
397,2005,483.0,,,,,,,,,,,,,,,
397,2010,417.0,,,,,,,,,,,,,,,
397,2015,207.3,7.1,16.3,7.0,18.8,24.3,16.2,9.8,16.0,8.6,26.3,5.4,19.1,6.8,17.6,21.6
397,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
399,1995,1295.0,,,,,,,,,,,,,,,
399,2000,748.0,,,,,,,,,,,,,,,
399,2005,854.0,,,,,,,,,,,,,,,
399,2010,392.0,,,,,,,,,,,,,,,
399,2015,336.2,5.8,20.0,7.1,23.5,33.7,18.3,12.7,22.9,4.9,36.9,5.6,22.9,8.8,97.3,31.8
399,2020,234,"<25,0",29,31,29,"<25,0","<25,0",28,34,"<25,0",49,"<25,0",26,31,"<25,0",39
401,1995,333.0,,,,,,,,,,,,,,,
401,2000,162.0,,,,,,,,,,,,,,,
401,2005,201.0,,,,,,,,,,,,,,,
401,2010,226.1,,,,,,,,,,,,,,,
401,2015,253.2,7.3,12.6,6.9,15.3,7.5,9.8,8.3,12.9,4.2,27.1,9.8,11.5,12.3,104.0,23.0
401,2020,182,"<25,0",28,"<25,0",27,35,"<25,0","<25,0","<25,0","<25,0",37,"<25,0",26,"<25,0","<25,0",29
403,1995,538.0,,,,,,,,,,,,,,,
403,2000,202.0,,,,,,,,,,,,,,,
403,2005,269.0,,,,,,,,,,,,,,,
403,2010,203.0,,,,,,,,,,,,,,,
403,2015,116.8,4.3,8.8,5.5,10.6,5.6,7.9,6.1,9.1,2.9,15.8,4.0,8.8,7.7,18.9,13.9
403,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
405,1995,784.0,,,,,,,,,,,,,,,
405,2000,396.0,,,,,,,,,,,,,,,
405,2005,606.0,,,,,,,,,,,,,,,
405,2010,1898.5,,,,,,,,,,,,,,,
405,2015,582.3,14.6,35.2,10.1,46.8,73.5,45.0,25.0,44.0,20.3,86.9,11.7,51.9,15.5,58.8,68.6
405,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
407,1995,607.0,,,,,,,,,,,,,,,
407,2000,902.0,,,,,,,,,,,,,,,
407,2005,626.0,,,,,,,,,,,,,,,
407,2010,547.5,,,,,,,,,,,,,,,
407,2015,654.2,7.9,39.0,7.9,41.5,69.9,34.0,23.7,51.6,9.4,88.6,4.8,38.7,8.5,175.1,70.2
407,2020,244,"<25,0",25,34,"<25,0","<25,0","<25,0","<25,0",34,"<25,0",68,"<25,0",40,"<25,0",26,51
409,1995,720.0,,,,,,,,,,,,,,,
409,2000,475.0,,,,,,,,,,,,,,,
409,2005,657.0,,,,,,,,,,,,,,,
409,2010,1135.3,,,,,,,,,,,,,,,
409,2015,602.8,11.7,43.9,11.8,51.8,86.6,57.6,33.8,54.8,18.6,68.2,3.3,64.0,12.6,55.1,53.4
409,2020,662,"<25,0",52,72,69,"<25,0",77,62,65,"<25,0",107,"<25,0",113,"<25,0",27,90
411,1995,1947.0,,,,,,,,,,,,,,,
411,2000,2104.0,,,,,,,,,,,,,,,
411,2005,2115.0,,,,,,,,,,,,,,,
411,2010,6015.9,,,,,,,,,,,,,,,
411,2015,5537.9,98.5,423.2,58.2,351.4,544.2,186.1,193.2,443.4,55.7,1288.2,36.5,252.0,33.8,479.9,1185.7
411,2020,260,"<25,0",41,"<25,0",39,"<25,0",34,"<25,0",27,"<25,0",44,"<25,0",41,"<25,0","<25,0",34
413,1995,1027.0,,,,,,,,,,,,,,,
413,2000,663.0,,,,,,,,,,,,,,,
413,2005,1198.0,,,,,,,,,,,,,,,
413,2010,1192.6,,,,,,,,,,,,,,,
413,2015,775.0,11.5,63.9,15.0,64.1,106.2,43.6,37.2,73.0,17.2,132.0,5.9,57.9,11.6,56.5,106.0
413,2020,742,"<25,0",73,94,77,"<25,0",51,73,89,"<25,0",146,"<25,0",69,"<25,0",48,116
415,1995,2835.0,,,,,,,,,,,,,,,
415,2000,2559.0,,,,,,,,,,,,,,,
415,2005,2189.0,,,,,,,,,,,,,,,
415,2010,709.9,,,,,,,,,,,,,,,
415,2015,547.6,6.9,32.7,8.4,38.8,90.1,42.0,28.2,52.1,12.4,77.4,2.9,49.1,20.8,50.9,64.1
415,2020,1039,"<25,0",81,"<25,0",87,125,78,81,110,"<25,0",166,"<25,0",127,"<25,0",57,127
417,1995,822.0,,,,,,,,,,,,,,,
417,2000,1209.0,,,,,,,,,,,,,,,
417,2005,919.0,,,,,,,,,,,,,,,
417,2010,2408.0,,,,,,,,,,,,,,,
417,2015,1418.6,16.2,118.5,29.6,121.1,179.9,87.4,65.3,119.5,29.4,262.7,8.7,109.0,13.0,77.3,223.6
417,2020,1727,27,146,171,147,"<25,0",128,133,174,42,350,"<25,0",178,"<25,0",125,277
419,1995,173.0,,,,,,,,,,,,,,,
419,2000,167.0,,,,,,,,,,,,,,,
419,2005,116.0,,,,,,,,,,,,,,,
419,2010,122.2,,,,,,,,,,,,,,,
419,2015,125.3,3.9,7.7,6.0,10.6,7.4,9.2,6.9,8.9,5.9,14.4,4.0,13.3,6.6,20.0,13.0
419,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
421,1995,281.0,,,,,,,,,,,,,,,
421,2000,401.0,,,,,,,,,,,,,,,
421,2005,378.0,,,,,,,,,,,,,,,
421,2010,392.6,,,,,,,,,,,,,,,
421,2015,284.0,5.1,19.9,8.4,25.4,15.3,26.7,14.8,32.9,9.9,40.0,4.7,33.6,8.1,22.8,32.9
421,2020,508,"<25,0",64,"<25,0",52,74,36,"<25,0",48,"<25,0",87,"<25,0",47,"<25,0",35,65
423,1995,186.0,,,,,,,,,,,,,,,
423,2000,191.0,,,,,,,,,,,,,,,
423,2005,267.0,,,,,,,,,,,,,,,
423,2010,487.5,,,,,,,,,,,,,,,
423,2015,271.1,4.6,15.4,9.7,28.5,18.4,29.5,21.1,21.0,8.1,32.2,3.9,39.7,18.1,22.8,25.9
423,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
425,1995,348.0,,,,,,,,,,,,,,,
425,2000,269.0,,,,,,,,,,,,,,,
425,2005,562.0,,,,,,,,,,,,,,,
425,2010,709.5,,,,,,,,,,,,,,,
425,2015,1865.2,13.6,172.6,44.4,236.1,295.3,155.6,103.1,176.1,26.3,207.8,4.7,199.9,7.8,82.5,191.6
425,2020,1051,"<25,0",92,149,134,"<25,0",110,123,119,"<25,0",164,"<25,0",137,"<25,0",34,138
427,1995,390.0,,,,,,,,,,,,,,,
427,2000,295.0,,,,,,,,,,,,,,,
427,2005,779.0,,,,,,,,,,,,,,,
427,2010,273.0,,,,,,,,,,,,,,,
427,2015,465.4,6.8,31.4,11.8,42.9,71.1,35.0,23.8,37.4,11.1,61.0,5.2,48.0,15.3,42.8,48.7
427,2020,174,"<25,0","<25,0",29,27,"<25,0","<25,0",26,30,"<25,0",50,"<25,0","<25,0","<25,0","<25,0",41
429,1995,168.0,,,,,,,,,,,,,,,
429,2000,112.0,,,,,,,,,,,,,,,
429,2005,205.0,,,,,,,,,,,,,,,
429,2010,192.3,,,,,,,,,,,,,,,
429,2015,228.4,6.5,19.1,7.1,20.9,5.6,18.5,10.0,19.2,6.6,36.2,5.3,22.1,10.7,28.8,29.8
429,2020,29,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",29,"<25,0","<25,0","<25,0","<25,0","<25,0"
431,1995,716.0,,,,,,,,,,,,,,,
431,2000,910.0,,,,,,,,,,,,,,,
431,2005,573.0,,,,,,,,,,,,,,,
431,2010,569.0,,,,,,,,,,,,,,,
431,2015,413.4,5.3,20.6,7.6,35.0,109.6,36.1,26.1,46.3,10.9,29.1,4.4,43.7,8.7,21.0,25.4
431,2020,484,"<25,0",38,147,78,"<25,0",52,65,76,"<25,0",53,"<25,0",75,"<25,0","<25,0",47
433,1995,1798.0,,,,,,,,,,,,,,,
433,2000,728.0,,,,,,,,,,,,,,,
433,2005,1308.0,,,,,,,,,,,,,,,
433,2010,1498.7,,,,,,,,,,,,,,,
433,2015,529.8,14.8,34.2,14.5,36.6,60.3,32.7,20.8,39.3,18.8,76.8,11.1,34.7,14.2,82.7,66.9
433,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
435,1995,338.0,,,,,,,,,,,,,,,
435,2000,770.0,,,,,,,,,,,,,,,
435,2005,246.0,,,,,,,,,,,,,,,
435,2010,254.0,,,,,,,,,,,,,,,
435,2015,227.8,5.5,16.8,8.9,25.3,12.3,21.1,13.4,19.5,8.8,28.8,4.0,28.9,5.7,17.5,26.2
435,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
437,1995,90.0,,,,,,,,,,,,,,,
437,2000,121.0,,,,,,,,,,,,,,,
437,2005,144.0,,,,,,,,,,,,,,,
437,2010,125.2,,,,,,,,,,,,,,,
437,2015,116.3,3.7,7.1,5.7,10.4,7.5,10.0,8.2,9.8,7.5,13.0,3.6,13.5,4.9,10.1,11.7
437,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
439,1995,781.0,,,,,,,,,,,,,,,
439,2000,168.0,,,,,,,,,,,,,,,
439,2005,188.0,,,,,,,,,,,,,,,
439,2010,148.8,,,,,,,,,,,,,,,
439,2015,127.7,4.3,9.0,6.3,11.5,6.8,8.0,7.9,10.1,5.7,18.2,4.4,11.2,5.1,15.0,15.7
439,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
441,1995,239.0,,,,,,,,,,,,,,,
441,2000,313.0,,,,,,,,,,,,,,,
441,2005,307.0,,,,,,,,,,,,,,,
441,2010,250.0,,,,,,,,,,,,,,,
441,2015,217.3,4.8,16.6,7.8,19.3,29.3,15.6,11.8,18.4,6.6,29.6,5.0,18.8,5.9,16.2,25.3
441,2020,26,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",26,"<25,0","<25,0","<25,0","<25,0","<25,0"
443,1995,138.0,,,,,,,,,,,,,,,
443,2000,113.0,,,,,,,,,,,,,,,
443,2005,509.0,,,,,,,,,,,,,,,
443,2010,222.1,,,,,,,,,,,,,,,
443,2015,213.9,4.7,14.5,7.3,19.8,30.2,16.5,11.6,16.4,6.9,25.8,4.9,22.0,12.7,18.1,22.4
443,2020,85,"<25,0","<25,0","<25,0",28,"<25,0","<25,0","<25,0","<25,0","<25,0",31,"<25,0","<25,0","<25,0","<25,0",26
445,1995,212.0,,,,,,,,,,,,,,,
445,2000,110.0,,,,,,,,,,,,,,,
445,2005,395.0,,,,,,,,,,,,,,,
445,2010,352.5,,,,,,,,,,,,,,,
445,2015,118.6,3.8,8.9,6.1,11.3,6.6,8.2,6.7,8.8,5.4,15.5,3.7,11.2,4.3,14.7,13.8
445,2020,26,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",26,"<25,0","<25,0","<25,0"
447,1995,174.0,,,,,,,,,,,,,,,
447,2000,116.0,,,,,,,,,,,,,,,
447,2005,180.0,,,,,,,,,,,,,,,
447,2010,208.4,,,,,,,,,,,,,,,
447,2015,141.2,3.6,9.6,5.7,12.8,18.8,9.4,7.8,10.2,6.0,16.9,4.3,13.1,7.5,14.1,14.8
447,2020,29,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",29,"<25,0","<25,0",27,"<25,0","<25,0"
449,1995,190,,,,,,,,,,,,,,,
449,2000,155,,,,,,,,,,,,,,,
449,2005,263,,,,,,,,,,,,,,,
449,2010,213,,,,,,,,,,,,,,,
449,2015,147.6,3.5,9.3,5.9,13.8,19.1,10.8,7.9,10.3,5.7,19.1,3.8,15.4,5.5,12.1,16.8
449,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
