point_id,year,Al [%],Ca [%],Fe [%],K [%],Mg [%],Na [%],P [%],S [%]
29,2005,1.38,0.12,1.49,0.32,0.23,0.012,0.069,0.026
29,2010,0.86,0.11,1.7,0.22,0.22,0.006,0.048,0.019
29,2015,0.9,0.19,1.6,0.25,0.24,0.006,0.05,0.021
29,2020,1.07,0.28,1.32,0.11,0.09,0.005,0.011,0.012
31,1995,1.7,0.14,1.72,0.31,0.34,0.011,0.051,0.011
31,2000,1.23,0.16,1.65,0.28,0.33,0.008,0.064,0.013
31,2005,1.3,0.15,1.51,0.29,0.3,0.012,0.056,0.009
31,2010,0.9,0.11,1.38,0.17,0.26,0.006,0.037,0.011
31,2015,0.7,0.12,1.17,0.15,0.17,0.006,0.04,0.015
31,2020,0.7,0.12,0.87,0.18,0.16,0.004,0.025,0.012
33,1995,3.0,2.55,2.82,0.89,0.67,0.024,0.086,0.029
33,2000,2.07,2.59,2.51,0.65,0.59,0.012,0.093,0.032
33,2005,2.62,2.73,2.24,0.56,0.57,0.011,0.142,0.036
33,2010,1.29,1.49,2.21,0.38,0.55,0.005,0.068,0.025
33,2015,0.89,0.49,1.67,0.25,0.29,0.003,0.06,0.033
33,2020,1.46,0.29,1.63,0.19,0.25,0.008,0.069,0.046
35,1995,1.39,1.5,1.42,0.38,0.53,0.018,0.032,0.015
35,2000,1.17,1.63,1.5,0.3,0.51,0.017,0.036,0.02
35,2005,1.03,1.4,1.13,0.3,0.47,0.01,0.066,0.019
35,2010,0.6,0.66,1.15,0.16,0.66,0.005,0.1,0.016
35,2015,0.51,0.1,0.7,0.11,0.14,0.005,0.05,0.016
35,2020,1.48,0.23,1.53,0.14,0.26,0.009,0.066,0.021
37,1995,0.76,0.2,0.7,0.14,0.21,0.008,0.04,0.015
37,2000,0.69,0.16,0.83,0.14,0.16,0.007,0.05,0.02
37,2005,0.61,0.13,0.73,0.12,0.13,0.008,0.055,0.021
37,2010,0.38,0.11,0.77,0.09,0.11,0.005,0.042,0.015
37,2015,0.36,0.09,0.63,0.09,0.11,0.006,0.05,0.027
37,2020,0.33,0.09,0.53,0.04,0.04,0.002,0.024,0.019
39,1995,0.77,0.14,0.78,0.12,0.11,0.012,0.042,0.021
39,2000,0.71,0.16,0.79,0.1,0.12,0.007,0.04,0.025
