point_id,year,Al [%],Ca [%],Fe [%],K [%],Mg [%],Na [%],P [%],S [%]
131,2020,0.63,0.18,0.82,0.1,0.13,0.003,0.021,0.013
133,1995,0.61,0.13,0.7,0.11,0.09,0.005,0.032,0.02
133,2000,0.5,0.14,0.72,0.08,0.09,0.006,0.034,0.019
133,2005,0.41,0.16,0.77,0.06,0.07,0.009,0.05,0.019
133,2010,0.37,0.14,0.8,0.06,0.09,0.006,0.042,0.018
133,2015,0.56,0.14,0.8,0.12,0.12,0.007,0.05,0.017
133,2020,1.79,0.53,2.24,0.29,0.61,0.006,0.036,0.017
135,1995,0.75,0.1,0.61,0.13,0.09,0.01,0.051,0.022
135,2000,0.68,0.09,0.62,0.09,0.09,0.007,0.048,0.02
135,2005,0.78,0.09,0.63,0.09,0.07,0.009,0.062,0.024
135,2010,0.36,0.06,0.47,0.06,0.06,0.004,0.054,0.019
135,2015,0.44,0.05,0.46,0.1,0.07,0.006,0.05,0.017
135,2020,0.71,0.32,1.01,0.19,0.27,0.009,0.06,0.011
137,1995,0.53,0.07,0.46,0.07,0.06,0.007,0.054,0.017
137,2000,0.59,0.06,0.46,0.06,0.07,0.005,0.048,0.013
137,2005,0.47,0.08,0.42,0.06,0.05,0.009,0.065,0.019
137,2010,0.29,0.06,0.45,0.05,0.06,0.005,0.054,0.016
137,2015,0.32,0.08,0.41,0.08,0.06,0.003,0.06,0.014
137,2020,0.86,0.21,1.16,0.19,0.18,0.004,0.049,0.009
139,1995,0.54,0.09,0.45,0.08,0.06,0.008,0.057,0.02
139,2000,0.42,0.1,0.39,0.04,0.07,0.004,0.053,0.018
139,2005,0.37,0.1,0.45,0.04,0.07,0.006,0.066,0.02
139,2010,0.27,0.1,0.42,0.05,0.06,0.006,0.052,0.021
139,2015,0.28,0.05,0.35,0.06,0.05,0.008,0.05,0.012
139,2020,0.97,0.51,1.89,0.15,0.22,0.007,0.117,0.008
141,1995,0.48,0.05,0.41,0.08,0.05,0.008,0.04,0.012
141,2000,0.33,0.04,0.39,0.06,0.05,0.005,0.031,0.015
141,2005,0.28,0.06,0.38,0.04,0.03,0.006,0.046,0.019
141,2010,0.22,0.04,0.38,0.04,0.04,0.005,0.047,0.015
141,2015,0.27,0.04,0.34,0.07,0.04,0.009,0.04,0.012
141,2020,0.33,0.05,0.41,0.07,0.07,0.003,0.037,0.014
143,1995,0.73,0.16,0.72,0.1,0.15,0.008,0.023,0.016
143,2000,0.69,0.17,0.64,0.12,0.14,0.011,0.028,0.02
143,2005,0.72,0.14,0.72,0.17,0.11,0.014,0.038,0.021
143,2010,0.53,0.13,0.74,0.11,0.13,0.008,0.037,0.026
143,2015,0.37,0.27,0.73,0.06,0.11,0.004,0.04,0.02
143,2020,0.51,0.05,0.56,0.07,0.07,0.003,0.083,0.044
145,1995,0.58,0.08,0.56,0.09,0.1,0.005,0.038,0.019
145,2000,0.5,0.09,0.58,0.08,0.08,0.007,0.041,0.019
145,2005,0.49,0.12,0.51,0.09,0.09,0.01,0.05,0.019
145,2010,0.45,0.08,0.67,0.09,0.09,0.008,0.073,0.023
145,2015,0.41,0.06,0.49,0.1,0.08,0.008,0.05,0.016
145,2020,0.3,0.04,0.45,0.06,0.05,0.003,0.028,0.009
147,1995,0.65,0.12,0.68,0.09,0.11,0.01,0.023,0.025
147,2000,0.57,0.19,0.6,0.07,0.09,0.013,0.03,0.019
147,2005,0.77,0.2,0.8,0.1,0.17,0.012,0.05,0.026
147,2010,0.46,0.16,0.79,0.09,0.11,0.007,0.044,0.024
147,2015,0.43,0.14,0.65,0.08,0.09,0.003,0.04,0.019
147,2020,0.96,0.26,0.9,0.15,0.13,0.005,0.041,0.01
149,1995,0.42,0.05,0.37,0.05,0.05,0.006,0.02,0.025
149,2000,0.37,0.04,0.29,0.03,0.04,0.004,0.024,0.036
149,2005,0.32,0.08,0.28,0.03,0.02,0.006,0.018,0.021
149,2010,0.23,0.06,0.33,0.04,0.04,0.006,0.034,0.017
149,2015,0.21,0.03,0.29,0.05,0.03,0.006,0.03,0.014
149,2020,0.47,0.21,0.56,0.17,0.21,0.004,0.024,0.009
151,1995,1.58,0.32,1.95,0.23,0.24,0.01,0.095,0.036
151,2000,1.51,0.33,2.2,0.2,0.25,0.011,0.106,0.035
151,2005,1.82,0.27,1.92,0.18,0.17,0.008,0.086,0.031
151,2010,1.04,0.28,2.27,0.16,0.2,0.005,0.076,0.028
151,2015,0.8,0.17,1.74,0.13,0.14,0.004,0.06,0.024
151,2020,1.26,0.17,1.65,0.2,0.27,0.005,0.04,0.019
153,1995,0.54,0.07,0.53,0.05,0.06,0.005,0.053,0.019
153,2000,0.54,0.13,0.57,0.08,0.07,0.007,0.055,0.022
153,2005,0.49,0.16,0.49,0.05,0.04,0.012,0.076,0.019
153,2010,0.36,0.09,0.53,0.05,0.05,0.003,0.056,0.019
153,2015,0.26,0.04,0.36,0.04,0.04,0.002,0.04,0.01
153,2020,0.96,0.11,1.22,0.08,0.26,0.004,0.03,0.014
155,1995,0.25,0.04,0.23,0.06,0.03,0.004,0.042,0.02
155,2000,0.27,0.04,0.27,0.03,0.03,0.004,0.041,0.02
155,2005,0.21,0.03,0.3,0.02,0.02,0.007,0.05,0.019
155,2010,0.21,0.04,0.26,0.03,0.02,0.005,0.046,0.015
155,2015,0.19,0.02,0.24,0.04,0.02,0.004,0.05,0.014
155,2020,1.21,0.22,1.45,0.2,0.17,0.004,0.041,0.011
157,1995,0.36,0.06,0.35,0.04,0.05,0.006,0.036,0.017
157,2000,0.29,0.1,0.33,0.05,0.05,0.005,0.042,0.014
157,2005,0.26,0.06,0.35,0.04,0.03,0.002,0.05,0.017
157,2010,0.19,0.04,0.32,0.04,0.03,0.004,0.046,0.017
157,2015,0.2,0.1,0.3,0.06,0.04,0.006,0.06,0.021
157,2020,1.34,0.19,1.91,0.23,0.34,0.006,0.074,0.012
159,1995,0.61,0.14,0.57,0.07,0.08,0.011,0.045,0.026
159,2000,0.66,0.14,0.54,0.06,0.08,0.008,0.05,0.022
159,2005,0.55,0.18,0.58,0.04,0.06,0.006,0.045,0.02
159,2010,0.35,0.07,0.44,0.05,0.06,0.009,0.041,0.025
159,2015,0.43,0.15,0.23,0.05,0.04,0.009,0.04,0.026
159,2020,0.71,1.12,0.84,0.16,0.27,0.006,0.046,0.022
161,1995,0.38,0.04,0.35,0.06,0.06,0.004,0.043,0.022
161,2000,0.32,0.06,0.4,0.05,0.05,0.005,0.047,0.019
161,2005,0.35,0.04,0.43,0.05,0.05,0.004,0.05,0.016
161,2010,0.24,0.05,0.39,0.05,0.05,0.003,0.046,0.016
161,2015,0.25,0.04,0.35,0.05,0.05,0.004,0.04,0.013
161,2020,1.31,0.44,1.51,0.22,0.27,0.006,0.051,0.008
163,1995,0.5,0.06,0.41,0.05,0.07,0.004,0.052,0.019
163,2000,0.43,0.08,0.42,0.05,0.05,0.004,0.046,0.019
163,2005,0.38,0.06,0.36,0.03,0.04,0.003,0.06,0.016
163,2010,0.35,0.06,0.39,0.05,0.05,0.004,0.069,0.017
163,2015,0.3,0.06,0.34,0.03,0.04,0.003,0.06,0.015
163,2020,0.34,0.08,0.41,0.07,0.06,0.004,0.054,0.012
165,1995,0.68,0.08,0.55,0.11,0.1,0.007,0.048,0.019
165,2000,0.58,0.05,0.5,0.07,0.07,0.005,0.05,0.02
165,2005,0.69,0.08,0.47,0.09,0.07,0.004,0.047,0.016
165,2010,0.41,0.09,0.59,0.08,0.08,0.002,0.042,0.017
165,2015,0.38,0.05,0.53,0.1,0.08,0.007,0.04,0.016
165,2020,0.52,0.16,0.62,0.12,0.12,0.005,0.042,0.013
167,1995,0.85,0.16,0.86,0.2,0.18,0.009,0.037,0.02
167,2000,0.69,0.14,0.83,0.16,0.13,0.007,0.047,0.02
167,2005,0.63,0.13,0.71,0.18,0.13,0.008,0.042,0.021
167,2010,0.3,0.1,0.49,0.08,0.07,0.004,0.047,0.015
167,2015,0.27,0.13,0.43,0.06,0.06,0.003,0.06,0.023
167,2020,0.2,0.04,0.26,0.03,0.03,0.001,0.041,0.024
169,1995,0.38,0.15,0.41,0.07,0.08,0.005,0.031,0.012
169,2000,0.32,0.16,0.39,0.06,0.05,0.005,0.04,0.014
169,2005,0.35,0.17,0.4,0.07,0.07,0.005,0.036,0.01
169,2010,0.18,0.03,0.29,0.05,0.04,0.003,0.031,0.01
169,2015,0.19,0.03,0.31,0.05,0.04,0.007,0.03,0.014
169,2020,0.18,0.21,0.3,0.12,0.18,0.004,0.026,0.008
171,1995,0.7,0.09,0.48,0.09,0.09,0.007,0.048,0.019
171,2000,0.66,0.08,0.56,0.08,0.07,0.006,0.06,0.015
171,2005,0.63,0.09,0.51,0.1,0.06,0.007,0.061,0.014
171,2010,0.33,0.05,0.44,0.04,0.05,0.001,0.053,0.019
171,2015,0.45,0.09,0.44,0.09,0.07,0.007,0.05,0.016
171,2020,0.91,2.06,2.42,0.13,0.28,0.009,0.124,0.006
173,1995,0.51,0.08,0.47,0.08,0.07,0.007,0.034,0.019
173,2000,0.55,0.07,0.38,0.06,0.05,0.004,0.03,0.016
173,2005,0.59,0.08,0.45,0.09,0.08,0.007,0.043,0.017
173,2010,0.18,0.03,0.34,0.05,0.03,0.004,0.034,0.009
173,2015,0.21,0.04,0.28,0.05,0.03,0.003,0.03,0.013
173,2020,0.67,0.14,0.89,0.12,0.13,0.005,0.052,0.011
175,1995,0.42,0.16,0.46,0.06,0.06,0.007,0.043,0.014
175,2000,0.39,0.14,0.39,0.04,0.05,0.005,0.05,0.013
175,2005,0.36,0.17,0.43,0.05,0.09,0.009,0.074,0.01
175,2010,0.26,0.11,0.42,0.05,0.05,0.005,0.056,0.012
175,2015,0.23,0.11,0.38,0.05,0.04,0.003,0.05,0.012
175,2020,0.45,0.08,0.54,0.07,0.07,0.002,0.063,0.01
177,1995,1.31,0.17,1.04,0.16,0.16,0.011,0.033,0.024
177,2000,1.16,0.12,0.98,0.13,0.11,0.008,0.037,0.026
177,2005,1.14,0.16,0.85,0.09,0.11,0.01,0.058,0.021
177,2010,0.97,0.17,0.9,0.16,0.11,0.011,0.046,0.022
177,2015,0.92,0.2,0.86,0.13,0.11,0.007,0.05,0.021
177,2020,0.67,0.09,0.8,0.13,0.13,0.004,0.025,0.017
179,1995,0.79,0.33,0.81,0.14,0.11,0.01,0.024,0.01
179,2000,0.63,0.21,0.83,0.1,0.09,0.004,0.3,0.014
179,2005,0.63,0.27,0.72,0.08,0.07,0.009,0.05,0.016
179,2010,0.31,0.08,0.5,0.06,0.07,0.007,0.041,0.011
179,2015,0.44,0.11,0.59,0.1,0.09,0.008,0.04,0.012
179,2020,0.51,0.21,0.62,0.09,0.11,0.004,0.032,0.009
181,1995,0.68,0.05,0.5,0.08,0.04,0.009,0.039,0.016
181,2000,0.62,0.07,0.48,0.06,0.06,0.007,0.031,0.016
181,2005,0.55,0.08,0.47,0.06,0.06,0.005,0.052,0.018
181,2010,0.28,0.06,0.42,0.06,0.06,0.003,0.046,0.017
181,2015,0.28,0.08,0.4,0.06,0.05,0.003,0.04,0.017
181,2020,0.28,0.09,0.34,0.05,0.05,0.003,0.029,0.026
183,1995,0.76,0.17,0.57,0.08,0.07,0.008,0.044,0.02
183,2000,0.67,0.12,0.55,0.06,0.07,0.005,0.049,0.02
183,2005,0.51,0.08,0.57,0.03,0.06,0.005,0.058,0.016
183,2010,0.43,0.05,0.5,0.04,0.05,0.006,0.038,0.019
183,2015,0.54,0.05,0.52,0.09,0.05,0.012,0.04,0.014
183,2020,0.26,0.03,0.34,0.05,0.05,0.003,0.031,0.01
187,1995,1.06,0.29,1.04,0.15,0.2,0.008,0.066,0.025
187,2000,0.9,0.23,0.97,0.13,0.18,0.007,0.064,0.021
187,2005,0.78,0.19,0.98,0.15,0.18,0.009,0.062,0.017
187,2010,0.69,0.15,0.94,0.12,0.11,0.009,0.058,0.019
187,2015,0.71,0.11,0.95,0.12,0.1,0.009,0.05,0.018
187,2020,0.34,0.06,0.52,0.07,0.08,0.003,0.033,0.014
189,1995,1.04,0.32,1.02,0.13,0.13,0.01,0.044,0.036
189,2000,0.87,0.26,0.89,0.12,0.13,0.007,0.052,0.029
189,2005,1.09,0.2,1.32,0.18,0.1,0.008,0.055,0.026
189,2010,0.98,0.19,0.85,0.13,0.1,0.007,0.044,0.021
189,2015,0.77,0.24,0.93,0.14,0.12,0.015,0.04,0.019
189,2020,0.39,0.23,0.59,0.12,0.13,0.005,0.054,0.01
191,1995,0.9,0.22,0.87,0.12,0.12,0.009,0.054,0.026
191,2000,1.19,0.24,1.1,0.14,0.13,0.006,0.057,0.023
191,2005,0.74,0.22,0.91,0.14,0.1,0.008,0.047,0.018
191,2010,0.63,0.19,0.86,0.12,0.12,0.008,0.046,0.021
191,2015,0.8,0.19,0.93,0.15,0.13,0.013,0.04,0.017
191,2020,1.02,0.41,1.34,0.17,0.28,0.006,0.048,0.013
193,1995,2.5,0.49,2.22,0.36,0.25,0.015,0.083,0.025
193,2000,1.99,0.39,2.37,0.28,0.28,0.016,0.105,0.025
193,2005,2.7,0.4,2.78,0.26,0.32,0.021,0.109,0.031
193,2010,1.06,0.43,2.03,0.19,0.21,0.007,0.132,0.034
193,2015,0.85,0.62,1.84,0.15,0.21,0.004,0.14,0.028
193,2020,1.77,0.17,1.93,0.21,0.27,0.006,0.03,0.041
195,1995,2.03,0.37,2.52,0.18,0.24,0.011,0.066,0.033
195,2000,1.83,0.47,1.89,0.15,0.22,0.01,0.058,0.028
195,2005,1.76,0.39,2.02,0.16,0.23,0.01,0.105,0.022
195,2010,1.28,0.31,2.33,0.12,0.19,0.006,0.041,0.023
195,2015,1.34,0.31,2.43,0.13,0.18,0.008,0.06,0.022
195,2020,0.25,0.01,0.2,0.02,0.02,0.001,0.024,0.019
197,1995,1.34,0.29,1.38,0.2,0.2,0.01,0.066,0.026
197,2000,1.31,0.36,1.45,0.2,0.21,0.014,0.07,0.028
197,2005,1.15,1.51,1.34,0.21,0.28,0.012,0.066,0.019
197,2010,0.93,0.25,1.23,0.23,0.17,0.012,0.043,0.018
197,2015,1.02,0.23,1.31,0.25,0.16,0.014,0.06,0.021
197,2020,1.05,0.56,1.3,0.21,0.35,0.006,0.029,0.02
199,1995,0.46,0.14,0.49,0.06,0.06,0.004,0.04,0.016
199,2000,0.48,0.09,0.53,0.06,0.06,0.004,0.043,0.014
199,2005,0.37,0.08,0.43,0.08,0.03,0.004,0.041,0.016
199,2010,0.25,0.06,0.47,0.06,0.04,0.003,0.041,0.009
199,2015,0.27,0.05,0.51,0.07,0.05,0.007,0.04,0.011
199,2020,0.44,0.04,0.45,0.06,0.09,0.003,0.023,0.004
201,1995,0.3,0.06,0.22,0.04,0.03,0.005,0.079,0.021
201,2000,0.33,0.1,0.27,0.04,0.04,0.006,0.068,0.025
201,2005,0.29,0.09,0.27,0.03,0.03,0.004,0.08,0.016
201,2010,0.22,0.03,0.26,0.04,0.03,0.007,0.04,0.014
201,2015,0.28,0.07,0.3,0.05,0.05,0.007,0.04,0.014
201,2020,0.4,0.23,0.63,0.09,0.1,0.006,0.088,0.012
203,1995,0.36,0.15,0.38,0.05,0.07,0.008,0.037,0.019
203,2000,0.33,0.13,0.36,0.05,0.06,0.007,0.027,0.021
203,2005,0.32,0.15,0.39,0.06,0.05,0.006,0.028,0.02
203,2010,0.24,0.17,0.38,0.05,0.06,0.005,0.026,0.013
203,2015,0.19,0.11,0.37,0.03,0.04,0.004,0.02,0.012
203,2020,0.17,0.12,0.35,0.04,0.07,0.008,0.023,0.007
205,1995,0.44,0.05,0.52,0.07,0.07,0.005,0.05,0.025
205,2000,0.41,0.06,0.47,0.07,0.07,0.006,0.06,0.024
205,2005,0.41,0.12,0.48,0.06,0.07,0.007,0.056,0.02
205,2010,0.22,0.05,0.47,0.05,0.05,0.004,0.042,0.012
205,2015,0.28,0.03,0.39,0.03,0.05,0.005,0.05,0.011
205,2020,0.89,0.17,0.89,0.16,0.12,0.005,0.032,0.01
207,1995,1.18,0.18,1.08,0.18,0.14,0.01,0.074,0.025
207,2000,1.12,0.2,1.11,0.14,0.14,0.008,0.068,0.025
207,2005,1.01,0.26,1.28,0.22,0.14,0.009,0.08,0.03
207,2010,0.93,0.16,1.16,0.2,0.14,0.021,0.058,0.022
207,2015,0.7,0.14,1.0,0.13,0.11,0.007,0.06,0.014
207,2020,1.16,0.22,1.9,0.17,0.22,0.004,0.057,0.012
209,1995,1.02,0.14,0.93,0.13,0.14,0.008,0.042,0.021
209,2000,0.94,0.12,0.96,0.12,0.12,0.008,0.046,0.024
209,2005,0.84,0.13,0.87,0.17,0.1,0.011,0.078,0.02
209,2010,0.73,0.12,0.97,0.13,0.12,0.008,0.061,0.019
209,2015,0.83,0.12,1.13,0.16,0.12,0.009,0.05,0.013
209,2020,0.3,0.03,0.28,0.03,0.04,0.002,0.047,0.013
211,1995,0.6,0.09,0.68,0.08,0.07,0.004,0.04,0.019
211,2000,0.65,0.14,0.67,0.09,0.09,0.004,0.04,0.018
211,2005,0.64,0.14,0.87,0.14,0.09,0.006,0.05,0.014
211,2010,0.57,0.1,0.74,0.12,0.08,0.011,0.039,0.017
211,2015,0.32,0.08,0.57,0.07,0.06,0.004,0.04,0.012
211,2020,0.42,0.5,0.66,0.1,0.31,0.003,0.071,0.016
213,1995,0.52,0.17,0.59,0.1,0.08,0.006,0.038,0.02
213,2000,0.43,0.2,0.5,0.08,0.09,0.006,0.048,0.023
213,2005,0.4,0.15,0.52,0.07,0.07,0.007,0.046,0.018
213,2010,0.26,0.1,0.5,0.07,0.06,0.003,0.042,0.013
213,2015,0.19,0.11,0.35,0.04,0.05,0.003,0.04,0.015
213,2020,0.36,0.71,0.47,0.1,0.41,0.003,0.031,0.04
215,1995,0.63,0.23,0.75,0.12,0.12,0.007,0.038,0.018
215,2000,0.57,0.27,0.63,0.11,0.1,0.007,0.034,0.019
215,2005,0.51,0.26,0.61,0.12,0.1,0.007,0.048,0.014
215,2010,0.26,0.13,0.61,0.09,0.07,0.004,0.039,0.009
215,2015,0.27,0.12,0.45,0.05,0.06,0.006,0.03,0.012
215,2020,0.26,0.22,0.31,0.04,0.08,0.005,0.019,0.016
217,1995,0.27,0.04,0.24,0.03,0.03,0.004,0.026,0.012
217,2000,0.28,0.05,0.2,0.04,0.03,0.004,0.034,0.012
217,2005,0.3,0.03,0.31,0.05,0.03,0.004,0.052,0.011
217,2010,0.36,0.07,0.64,0.08,0.06,0.004,0.047,0.014
217,2015,0.36,0.1,0.72,0.09,0.07,0.003,0.05,0.012
217,2020,0.35,0.17,0.41,0.1,0.11,0.005,0.038,0.005
219,1995,0.54,0.13,0.67,0.1,0.09,0.004,0.035,0.016
219,2000,0.59,0.18,0.73,0.11,0.1,0.006,0.041,0.02
219,2005,0.51,0.17,0.69,0.11,0.07,0.005,0.052,0.017
219,2010,0.36,0.14,0.68,0.09,0.08,0.004,0.069,0.014
219,2015,0.49,0.1,0.6,0.11,0.08,0.007,0.04,0.015
219,2020,0.28,0.12,0.33,0.07,0.06,0.004,0.045,0.013
221,1995,0.68,0.13,0.52,0.08,0.07,0.005,0.098,0.026
221,2000,0.57,0.1,0.47,0.05,0.06,0.004,0.111,0.023
221,2005,0.5,0.19,0.48,0.06,0.06,0.005,0.114,0.021
221,2010,0.42,0.12,0.49,0.07,0.07,0.004,0.099,0.024
221,2015,0.36,0.16,0.41,0.06,0.07,0.006,0.11,0.021
221,2020,0.42,0.1,0.61,0.06,0.07,0.002,0.033,0.019
223,1995,0.59,0.13,0.57,0.08,0.08,0.006,0.022,0.016
223,2000,0.51,0.11,0.5,0.07,0.07,0.006,0.029,0.017
223,2005,0.51,0.11,0.53,0.06,0.07,0.007,0.035,0.017
223,2010,0.36,0.07,0.53,0.05,0.05,0.007,0.042,0.013
223,2015,0.37,0.09,0.42,0.04,0.05,0.006,0.04,0.016
223,2020,0.51,0.1,0.74,0.12,0.11,0.005,0.052,0.02
225,1995,0.39,0.03,0.36,0.04,0.03,0.003,0.011,0.019
225,2000,0.36,0.04,0.24,0.03,0.02,0.003,0.014,0.019
225,2005,0.37,0.04,0.32,0.04,0.03,0.005,0.021,0.016
225,2010,0.28,0.02,0.32,0.03,0.02,0.007,0.051,0.014
225,2015,0.24,0.01,0.29,0.01,0.02,0.003,0.05,0.015
225,2020,0.84,0.22,1.08,0.2,0.25,0.006,0.037,0.011
229,1995,0.67,0.19,0.67,0.1,0.11,0.006,0.036,0.02
229,2000,0.58,0.2,0.62,0.08,0.1,0.006,0.034,0.018
229,2005,0.62,0.18,0.68,0.09,0.1,0.008,0.042,0.019
229,2010,0.56,0.17,0.64,0.09,0.1,0.008,0.047,0.016
229,2015,0.42,0.15,0.52,0.03,0.07,0.004,0.04,0.014
229,2020,0.4,0.14,0.5,0.07,0.07,0.004,0.034,0.013
231,1995,0.38,0.15,0.34,0.05,0.05,0.005,0.068,0.024
231,2000,0.31,0.15,0.28,0.04,0.04,0.004,0.071,0.02
231,2005,0.34,0.15,0.35,0.04,0.03,0.004,0.067,0.02
231,2010,0.26,0.05,0.3,0.04,0.03,0.002,0.062,0.012
231,2015,0.25,0.05,0.28,0.01,0.03,0.002,0.06,0.014
231,2020,0.7,0.3,0.71,0.11,0.21,0.005,0.071,0.014
233,1995,0.44,0.06,0.43,0.07,0.07,0.005,0.046,0.021
233,2000,0.41,0.09,0.44,0.09,0.09,0.006,0.043,0.018
233,2005,0.39,0.1,0.4,0.08,0.1,0.008,0.055,0.021
233,2010,0.31,0.06,0.52,0.07,0.06,0.004,0.056,0.014
233,2015,0.27,0.05,0.53,0.06,0.06,0.006,0.06,0.016
233,2020,0.64,0.18,0.69,0.09,0.1,0.003,0.026,0.011
235,1995,0.8,0.18,0.76,0.12,0.15,0.008,0.049,0.019
235,2000,0.69,0.18,0.68,0.1,0.14,0.007,0.035,0.018
235,2005,0.86,0.18,0.62,0.06,0.12,0.008,0.055,0.02
235,2010,0.38,0.12,0.63,0.07,0.09,0.006,0.041,0.014
235,2015,0.29,0.07,0.52,0.06,0.07,0.006,0.04,0.012
235,2020,0.95,0.57,1.5,0.13,0.17,0.006,0.062,0.01
237,1995,0.58,0.09,0.52,0.07,0.06,0.004,0.046,0.021
237,2000,0.59,0.13,0.55,0.09,0.07,0.005,0.059,0.023
237,2005,0.52,0.09,0.55,0.06,0.07,0.008,0.059,0.018
237,2010,0.38,0.07,0.54,0.06,0.05,0.005,0.056,0.017
237,2015,0.24,0.03,0.45,0.03,0.04,0.003,0.06,0.016
237,2020,0.64,0.2,1.01,0.12,0.2,0.004,0.04,0.009
239,1995,0.57,0.1,0.51,0.06,0.07,0.005,0.012,0.029
239,2000,0.47,0.11,0.46,0.05,0.06,0.004,0.021,0.031
239,2005,0.49,0.11,0.52,0.05,0.03,0.003,0.017,0.022
239,2010,0.36,0.08,0.49,0.06,0.05,0.003,0.043,0.014
239,2015,0.3,0.07,0.39,0.02,0.04,0.003,0.04,0.014
239,2020,0.31,0.06,0.28,0.04,0.04,0.001,0.06,0.009
241,1995,0.55,0.08,0.53,0.08,0.08,0.005,0.038,0.019
241,2000,0.54,0.11,0.54,0.08,0.08,0.005,0.032,0.016
241,2005,0.54,0.1,0.54,0.06,0.09,0.009,0.041,0.015
241,2010,0.27,0.07,0.42,0.06,0.05,0.006,0.033,0.015
241,2015,0.21,0.07,0.47,0.04,0.05,0.003,0.03,0.014
241,2020,0.25,0.13,0.21,0.03,0.05,0.002,0.031,0.013
243,1995,0.28,0.11,0.2,0.03,0.04,0.003,0.034,0.016
243,2000,0.28,0.08,0.18,0.02,0.02,0.003,0.028,0.012
243,2005,0.27,0.06,0.18,0.02,0.02,0.003,0.043,0.016
243,2010,0.21,0.02,0.19,0.02,0.02,0.002,0.022,0.014
243,2015,0.3,0.02,0.24,0.03,0.03,0.003,0.03,0.014
243,2020,0.51,0.04,0.73,0.11,0.09,0.003,0.029,0.012
245,1995,0.42,0.14,0.41,0.04,0.06,0.004,0.036,0.021
245,2000,0.4,0.11,0.39,0.05,0.06,0.006,0.046,0.018
245,2005,0.5,0.17,0.42,0.07,0.07,0.009,0.053,0.024
245,2010,0.33,0.04,0.42,0.04,0.04,0.003,0.072,0.019
245,2015,0.49,0.04,0.51,0.05,0.06,0.003,0.07,0.018
245,2020,1.3,0.4,1.61,0.32,0.26,0.007,0.086,0.012
247,1995,0.59,0.1,0.65,0.07,0.09,0.006,0.024,0.036
247,2000,0.49,0.14,0.63,0.08,0.09,0.006,0.03,0.032
247,2005,0.37,0.18,0.69,0.1,0.1,0.006,0.134,0.035
247,2010,0.5,0.1,0.88,0.08,0.09,0.006,0.106,0.029
247,2015,0.67,0.05,0.82,0.14,0.11,0.008,0.03,0.013
247,2020,0.46,0.06,0.63,0.1,0.09,0.003,0.033,0.039
249,1995,0.76,0.1,0.68,0.12,0.12,0.006,0.046,0.025
249,2000,0.89,0.09,0.65,0.09,0.08,0.004,0.048,0.026
249,2005,0.88,0.1,0.62,0.12,0.09,0.008,0.056,0.023
249,2010,0.36,0.08,0.51,0.08,0.08,0.004,0.042,0.016
249,2015,0.35,0.06,0.42,0.08,0.06,0.005,0.04,0.013
249,2020,0.31,0.02,0.46,0.03,0.04,0.003,0.033,0.01
251,1995,0.72,0.16,0.63,0.13,0.13,0.006,0.063,0.025
251,2000,0.68,0.16,0.49,0.1,0.11,0.005,0.062,0.028
251,2005,0.66,0.32,0.66,0.11,0.11,0.011,0.077,0.031
251,2010,0.3,0.09,0.52,0.07,0.07,0.004,0.049,0.015
251,2015,0.33,0.07,0.42,0.07,0.07,0.004,0.05,0.012
251,2020,1.14,0.34,1.82,0.17,0.45,0.006,0.038,0.008
253,1995,0.67,0.12,0.54,0.07,0.08,0.005,0.076,0.026
253,2000,0.64,0.12,0.59,0.08,0.07,0.007,0.068,0.02
253,2005,0.53,0.18,0.59,0.07,0.07,0.01,0.072,0.021
253,2010,0.46,0.2,0.56,0.05,0.06,0.008,0.049,0.018
253,2015,0.59,0.09,0.51,0.06,0.07,0.008,0.04,0.013
253,2020,0.85,0.35,0.99,0.21,0.17,0.004,0.077,0.027
255,1995,0.68,0.2,0.64,0.08,0.15,0.005,0.046,0.02
255,2000,0.62,0.14,0.65,0.1,0.16,0.005,0.037,0.018
255,2005,0.59,0.12,0.77,0.14,0.16,0.01,0.046,0.019
255,2010,0.4,0.09,0.59,0.05,0.08,0.006,0.04,0.017
255,2015,0.42,0.1,0.49,0.07,0.08,0.006,0.04,0.015
255,2020,1.05,0.31,1.18,0.21,0.17,0.005,0.047,0.015
257,1995,0.29,0.03,0.32,0.04,0.05,0.003,0.038,0.015
257,2000,0.32,0.04,0.38,0.06,0.05,0.005,0.025,0.013
257,2005,0.29,0.05,0.37,0.05,0.04,0.008,0.052,0.017
257,2010,0.18,0.04,0.37,0.04,0.03,0.005,0.049,0.016
257,2015,0.2,0.08,0.27,0.05,0.03,0.003,0.06,0.021
257,2020,0.37,0.14,0.52,0.14,0.09,0.004,0.038,0.013
259,1995,0.6,0.11,0.56,0.1,0.09,0.007,0.052,0.029
259,2000,0.6,0.14,0.57,0.1,0.08,0.005,0.058,0.026
259,2005,0.53,0.09,0.6,0.14,0.08,0.013,0.052,0.019
259,2010,0.32,0.09,0.56,0.08,0.07,0.003,0.044,0.017
259,2015,0.28,0.07,0.42,0.06,0.06,0.003,0.04,0.013
259,2020,1.76,0.27,2.5,0.23,0.41,0.006,0.075,0.014
261,1995,0.46,0.04,0.4,0.06,0.06,0.005,0.031,0.022
261,2000,0.38,0.07,0.39,0.06,0.06,0.007,0.028,0.028
261,2005,0.36,0.09,0.43,0.06,0.05,0.07,0.03,0.016
261,2010,0.26,0.06,0.42,0.06,0.05,0.01,0.038,0.023
