point_id,year,radioactivity [Bq*kg-1],soil_electrical_conductivity [mS*m-1],soil_salinity [mg KCl*100g-1]
57,2005,762.0,10.3,27.1
57,2010,846.0,10.29,27.15
57,2015,984.0,13.11,34.61
57,2020,585.0,10.6060606,28.0
59,1995,340.0,4.96,12.8
59,2000,321.0,3.1,8.2
59,2005,288.0,4.2,11.0
59,2010,315.0,3.72,9.81
59,2015,633.0,7.45,19.67
59,2020,243,"<1,00","<10,00"
61,1995,459.0,7.83,20.2
61,2000,529.0,7.5,19.8
61,2005,477.0,12.4,32.6
61,2010,393.0,6.54,17.26
61,2015,680.0,12.89,34.03
61,2020,322.0,11.7424242,31.0
63,1995,402.0,8.09,20.8
63,2000,465.0,13.0,34.3
63,2005,363.0,13.8,36.4
63,2010,396.0,11.83,31.24
63,2015,514.0,13.19,34.82
63,2020,389.0,7.57575757,20.0
65,1995,564.0,17.62,45.4
65,2000,624.0,13.0,34.3
65,2005,522.0,12.0,30.9
65,2010,601.0,5.47,14.44
65,2015,916.0,6.56,17.32
65,2020,541.0,33.7121212,89.0
69,1995,303.0,7.83,20.2
69,2000,368.0,6.3,16.6
69,2005,373.0,6.7,17.6
69,2010,448.0,7.16,18.91
69,2015,879.0,5.09,13.44
69,2020,308.0,15.1515151,40.0
71,1995,250.0,12.01,30.9
71,2000,208.0,10.9,28.8
71,2005,230.0,8.3,21.9
71,2010,239.0,16.83,44.43
71,2015,295.0,5.05,13.33
71,2020,875.0,18.1818181,48.0
73,1995,511.0,4.99,12.8
73,2000,635.0,5.8,15.3
73,2005,682.0,9.6,25.3
73,2010,547.0,6.42,16.96
73,2015,444.0,27.76,73.29
73,2020,456.0,23.8636363,63.0
75,1995,519.0,2.51,6.6
75,2000,545.0,3.1,8.2
75,2005,537.0,4.8,12.7
75,2010,494.0,4.79,12.64
75,2015,313.0,6.74,17.79
75,2020,514.0,6.43939393,17.0
77,1995,667.0,3.27,8.4
77,2000,646.0,5.0,12.8
77,2005,648.0,8.5,22.6
77,2010,652.0,7.94,20.95
77,2015,320.0,13.56,35.8
77,2020,429.0,21.590909,57.0
79,1995,997.0,15.22,39.2
79,2000,1058.0,13.0,34.0
79,2005,1131.0,21.1,55.8
79,2010,1196.0,21.34,56.34
79,2015,906.0,20.37,53.78
79,2020,744,"<1,00","<10,00"
81,1995,405.0,2.06,5.3
81,2000,360.0,2.0,5.3
81,2005,399.0,3.8,10.1
81,2010,430.0,3.03,8.01
81,2015,266.0,4.79,12.65
81,2020,353.0,21.2121212,56.0
83,1995,422.0,3.7,9.5
83,2000,432.0,2.6,7.9
83,2005,447.0,4.8,12.7
83,2010,344.0,4.11,10.84
83,2015,483.0,3.74,9.87
83,2020,348.0,3.78787878,10.0
85,1995,209.0,3.27,8.4
85,2000,246.0,4.1,10.8
85,2005,268.0,5.6,14.7
85,2010,332.0,9.78,25.83
85,2015,103.0,5.31,14.02
85,2020,186.0,10.2272727,27.0
87,1995,532.0,3.44,8.9
87,2000,556.0,5.6,14.8
87,2005,577.0,6.0,16.0
87,2010,547.0,6.71,17.72
87,2015,1069.0,7.93,20.94
87,2020,442,"<1,00","<10,00"
89,1995,615.0,3.26,8.4
89,2000,562.0,3.5,9.2
89,2005,629.0,5.4,14.1
89,2010,640.0,6.23,16.44
89,2015,712.0,15.13,39.94
89,2020,588.0,7.19696969,19.0
91,1995,345.0,4.66,12.0
91,2000,448.0,5.0,13.2
91,2005,412.0,3.9,10.4
91,2010,529.0,4.63,12.21
91,2015,575.0,4.19,11.06
91,2020,340.0,3.78787878,10.0
93,1995,489.0,7.22,18.6
93,2000,532.0,6.8,17.9
93,2005,510.0,7.4,19.6
93,2010,499.0,5.82,15.37
93,2015,523.0,13.22,34.9
93,2020,407.0,11.3636363,30.0
95,1995,400.0,2.84,7.3
95,2000,504.0,3.9,10.3
95,2005,455.0,4.0,10.7
95,2010,447.0,4.45,11.75
95,2015,508.0,4.54,11.99
95,2020,322.0,8.33333333,22.0
97,1995,480.0,8.35,21.5
97,2000,529.0,7.1,18.7
97,2005,464.0,8.6,22.6
