point_id,year,available ammonium nitrogen[NNH4 mg*kg-1],available magnesium [mg Mg*100g-1],available nitrate nitrogen [NNO3 mg*kg-1],available phosphorus [mg P2O5* 100g-1],available potassium [mg K2O*100g-1],available sulphur [mg S-SO4*100g-1]
39,2015,9.03,5.7,"<1,00",6.5,8.1,0.46
39,2020,5.4,6.5,14.5,5.8,1.9,2.8
41,1995,,15.7,,15.9,13.7,1.75
41,2000,,16.1,,13.0,10.8,1.75
41,2005,,18.0,,25.2,19.4,1.63
41,2010,,12.1,,40.1,9.7,2.08
41,2015,17.31,9.9,6.67,37.0,12.3,1.68
41,2020,2.5,9.5,37.3,30.7,5.5,"<1,00"
43,1995,,15.2,,18.2,33.4,2.0
43,2000,,16.6,,21.0,31.7,1.88
43,2005,,19.5,,32.2,23.4,1.75
43,2010,,7.6,,25.0,10.9,3.28
43,2015,13.22,7.3,8.26,29.2,13.6,2.56
43,2020,6.3,13.8,8.5,35.1,17.8,3.6
45,1995,,3.8,,5.8,12.8,1.37
45,2000,,3.3,,8.1,9.0,1.25
45,2005,,3.6,,16.7,14.3,1.38
45,2010,,7.4,,19.8,22.0,1.19
45,2015,18.44,4.7,13.69,26.5,24.6,1.1
45,2020,12.3,6.4,65.1,23.6,16.4,4.9
47,1995,,1.5,,6.6,12.8,1.62
47,2000,,2.0,,10.0,11.2,1.57
47,2005,,3.2,,12.5,14.8,1.75
47,2010,,2.1,,9.6,7.6,0.82
47,2015,5.71,1.8,"<1,00",6.0,5.9,0.33
47,2020,2.2,1.5,28.0,11.6,10.0,2.0
49,1995,,2.9,,5.5,9.3,0.37
49,2000,,3.0,,7.0,10.8,0.38
49,2005,,3.2,,8.2,12.5,0.46
49,2010,,3.9,,11.3,17.6,0.39
49,2015,5.49,2.78,12.0,10.6,14.5,0.28
49,2020,2.3,4.8,34.2,21.3,11.2,2.9
51,1995,,6.7,,25.0,23.6,0.75
51,2000,,5.8,,30.6,19.6,0.6
51,2005,,5.5,,27.0,19.6,1.0
51,2010,,7.2,,18.5,14.8,1.56
51,2015,7.57,6.9,13.88,23.0,18.9,0.68
51,2020,2.3,8.5,34.8,28.5,21.3,2.5
53,1995,,8.4,,10.0,2.1,0.5
53,2000,,6.6,,9.2,3.6,0.38
53,2005,,6.2,,6.3,1.6,0.88
53,2010,,8.0,,11.6,2.8,0.55
53,2015,1.51,0.1,3.96,12.4,1.5,0.27
53,2020,20.7,2.6,28.7,17.3,4.1,2.6
55,1995,,26.8,,5.9,44.9,2.0
55,2000,,28.4,,8.0,52.1,1.88
55,2005,,40.1,,18.5,66.4,1.38
55,2010,,30.8,,13.1,54.1,1.65
55,2015,8.96,21.9,15.79,13.7,59.0,4.26
55,2020,2.4,13.5,39.4,13.1,48,"<1,00"
57,1995,,18.0,,4.8,15.2,1.12
57,2000,,21.3,,6.8,15.7,1.25
57,2005,,21.4,,14.9,17.7,1.13
57,2010,,27.2,,18.6,20.8,0.96
57,2015,4.46,21.6,5.16,9.7,19.3,2.56
57,2020,2.4,26.6,19.3,17.8,23.0,4.3
59,1995,,0.6,,5.6,6.5,0.63
59,2000,,0.8,,8.7,5.0,0.75
59,2005,,0.9,,10.2,5.1,0.63
59,2010,,0.54,,12.2,2.3,0.67
59,2015,4.59,0.72,2.91,10.2,7.2,0.34
59,2020,1.0,1.9,13.5,11.7,2.6,3.1
61,1995,,6.8,,8.5,20.2,1.25
61,2000,,7.6,,10.8,22.8,1.0
61,2005,,7.5,,9.8,21.2,1.13
61,2010,,8.0,,10.6,18.0,1.0
61,2015,6.4,5.7,26.36,11.8,18.6,1.66
61,2020,2.7,6.8,33.4,15.2,19.9,2.9
63,1995,,8.9,,7.8,7.9,1.12
63,2000,,6.8,,12.9,15.3,0.98
63,2005,,6.2,,16.4,11.4,1.0
63,2010,,6.1,,16.6,14.3,0.66
63,2015,6.28,4.5,19.06,18.7,11.8,0.79
63,2020,2.1,5.9,32.1,16.2,13.7,3.5
65,1995,,3.6,,30.8,29.4,0.88
65,2000,,2.4,,15.4,19.8,0.8
65,2005,,3.0,,15.8,14.6,0.88
65,2010,,2.5,,11.2,10.9,0.94
65,2015,3.26,2.48,10.56,11.2,11.3,0.81
65,2020,3.3,3.2,31.0,17.8,24.7,8.8
69,1995,,4.4,,18.3,17.2,1.87
69,2000,,4.1,,14.6,13.3,1.55
69,2005,,3.8,,14.2,11.1,1.4
69,2010,,3.4,,10.0,10.4,0.97
69,2015,4.58,2.06,2.42,10.7,11.4,0.6
69,2020,1.0,2.3,32.3,13.1,14.8,4.3
71,1995,,3.9,,15.0,13.9,2.0
71,2000,,3.0,,11.0,10.4,1.87
71,2005,,2.5,,9.5,9.2,1.8
71,2010,,2.2,,10.4,5.9,1.1
71,2015,4.71,3.18,1.09,24.6,10.6,0.57
71,2020,2.7,12.4,30.6,32.2,40.3,8.7
73,1995,,10.7,,8.8,9.4,1.0
73,2000,,9.6,,11.0,10.1,1.0
73,2005,,18.9,,23.8,16.6,1.12
73,2010,,13.3,,21.1,28.2,1.45
73,2015,15.5,13.1,66.31,50.6,70.5,1.15
73,2020,2.3,11.8,34.0,32.4,49.4,9.5
75,1995,,2.0,,7.0,5.0,0.63
75,2000,,2.3,,7.9,8.3,0.58
75,2005,,2.6,,8.4,11.0,0.88
75,2010,,3.3,,8.0,12.8,0.65
75,2015,4.39,2.62,11.63,8.5,10.3,0.25
75,2020,2.2,2.1,27.9,10.6,14.3,2.4
77,1995,,4.0,,4.8,12.4,0.12
77,2000,,5.0,,5.8,14.4,0.2
77,2005,,4.1,,15.9,20.8,0.25
77,2010,,2.7,,14.5,14.6,1.24
77,2015,6.47,3.06,31.57,16.0,18.0,1.83
77,2020,1.0,16.6,33.3,22.9,20.6,4.4
79,1995,,20.0,,1.4,18.8,0.38
79,2000,,18.8,,1.0,21.3,0.28
79,2005,,20.1,,7.2,34.9,0.31
79,2010,,22.9,,22.9,43.6,1.75
79,2015,7.64,13.9,14.23,21.6,47.5,0.5
79,2020,1.0,15.2,6.3,7.1,12.1,2.2
81,1995,,1.4,,13.3,6.7,0.37
81,2000,,1.2,,13.0,4.0,0.38
81,2005,,1.1,,16.7,5.0,0.55
81,2010,,1.0,,20.8,5.6,0.41
81,2015,4.44,2.44,5.86,20.9,11.6,0.28
81,2020,2.2,11.7,53.7,30.5,30.8,2.9
83,1995,,1.0,,7.0,2.8,2.5
83,2000,,0.6,,6.2,2.5,2.63
83,2005,,0.4,,5.6,2.4,2.41
83,2010,,0.7,,7.8,4.0,0.68
83,2015,5.46,0.5,"<1,00",11.0,3.7,0.39
83,2020,3.6,3.8,17.4,6.3,6.9,3.9
85,1995,,3.0,,9.2,6.5,1.13
85,2000,,2.0,,9.2,7.9,1.3
85,2005,,2.3,,13.5,14.0,0.98
85,2010,,3.4,,13.2,15.7,1.54
85,2015,7.18,2.08,1.65,8.5,4.8,0.89
85,2020,8.9,7.1,39.3,17.1,11.5,2.3
87,1995,,7.5,,6.3,6.2,1.37
87,2000,,8.0,,6.7,9.7,1.63
87,2005,,6.4,,9.6,12.6,4.48
87,2010,,4.9,,13.4,13.9,1.05
87,2015,6.22,2.8,20.24,2.1,4.7,0.76
87,2020,7.8,1.5,9.8,21.5,2.0,1.8
89,1995,,4.4,,8.4,16.6,1.25
89,2000,,3.7,,10.0,13.0,1.25
89,2005,,10.8,,6.6,12.2,1.13
89,2010,,12.9,,10.7,20.2,1.14
89,2015,7.75,5.0,52.01,11.9,25.7,2.38
89,2020,10.2,3.3,33.2,6.5,8.4,4.8
91,1995,,2.1,,15.6,3.9,0.75
91,2000,,2.5,,15.0,4.2,0.5
91,2005,,2.3,,23.3,8.6,0.88
91,2010,,4.2,,36.7,13.2,1.01
91,2015,5.69,1.7,"<1,00",15.4,10.8,0.68
91,2020,2.2,2.9,13.8,12.0,3.6,3.9
93,1995,,3.8,,20.6,17.4,2.25
93,2000,,3.5,,14.6,15.9,1.88
93,2005,,5.0,,12.0,15.4,1.63
93,2010,,3.8,,21.7,14.8,1.31
93,2015,9.08,3.6,15.43,20.8,12.2,3.48
93,2020,1.0,2.4,36.7,27.0,26.6,3.27
95,1995,,3.2,,6.2,9.0,0.13
95,2000,,4.0,,4.7,12.2,0.13
95,2005,,3.3,,5.6,11.1,0.3
95,2010,,2.3,,6.4,9.4,0.36
95,2015,5.83,2.3,2.3,7.1,9.4,0.44
95,2020,1.0,2.2,32.7,6.4,7.3,3.2
97,1995,,5.4,,27.2,12.9,0.63
97,2000,,5.0,,21.8,13.7,0.95
97,2005,,5.0,,18.8,12.8,0.8
97,2010,,5.5,,16.9,19.3,0.94
97,2015,8.17,17.6,2.07,3.3,18.7,0.66
97,2020,1.0,3.7,71.1,22.1,26.2,1.58
99,1995,,18.0,,25.0,21.8,1.0
99,2000,,16.2,,32.0,18.0,1.0
99,2005,,13.4,,27.1,17.5,0.75
99,2010,,5.8,,51.5,11.9,1.11
99,2015,2.66,9.4,110.58,56.5,14.7,3.49
99,2020,9.7,1.0,2.5,1.1,2.6,1.6
101,1995,,2.6,,15.0,7.1,0.75
101,2000,,3.2,,18.4,9.2,0.75
101,2005,,3.8,,24.3,7.2,0.6
101,2010,,3.0,,23.7,12.0,0.52
101,2015,8.17,4.2,2.91,30.6,3.6,0.56
101,2020,11.2,1.8,33,3.2,3.9,"<1,00"
103,1995,,3.4,,12.9,7.9,0.13
103,2000,,2.4,,9.8,10.1,0.2
103,2005,,2.7,,11.3,11.9,0.3
103,2010,,2.5,,14.2,18.1,0.82
103,2015,6.52,2.8,9.99,12.1,16.0,0.84
103,2020,1.0,2.7,32.5,10.0,18.7,3.7
105,1995,,8.9,,12.2,11.9,0.88
105,2000,,7.1,,16.0,15.2,0.88
105,2005,,6.5,,14.4,12.2,0.68
