point_id,year,BN-78/9180-11: 1.0-0.1 mm [%],BN-78/9180-11: 0.1-0.02 mm [%],BN-78/9180-11: < 0.02 mm [%],PTG 2008: 0.05-0.002 mm [%],PTG 2008: 2.0-0.05 mm [%],PTG 2008: < 0.002 mm [%]
39,1995,66.0,16.0,18.0,,,6.0
39,2000,61.0,20.0,19.0,,,5.0
39,2005,69.0,12.0,19.0,,,5.0
39,2010,65.0,18.0,17.0,21.0,77.0,2.0
39,2015,67.0,18.0,15.0,20.0,77.0,3.0
39,2020,53.0,30.0,17.0,30.0,65.0,5.0
41,1995,42.0,28.0,30.0,,,8.0
41,2000,41.0,26.0,33.0,,,6.0
41,2005,41.0,30.0,29.0,,,6.0
41,2010,51.0,24.0,25.0,35.0,63.0,2.0
41,2015,46.0,24.0,30.0,39.0,55.0,6.0
41,2020,43.0,38.0,19.0,43.0,53.0,4.0
43,1995,46.0,22.0,32.0,,,10.0
43,2000,46.0,21.0,33.0,,,10.0
43,2005,47.0,26.0,27.0,,,8.0
43,2010,44.0,22.0,34.0,34.0,58.0,8.0
43,2015,45.0,23.0,32.0,32.0,58.0,10.0
43,2020,60.0,23.0,17.0,21.0,73.0,6.0
45,1995,63.0,22.0,15.0,,,6.0
45,2000,61.0,25.0,14.0,,,4.0
45,2005,60.0,27.0,13.0,,,4.0
45,2010,53.0,31.0,16.0,28.0,71.0,1.0
45,2015,53.0,32.0,15.0,28.0,69.0,3.0
45,2020,42.0,43.0,15.0,44.0,54.0,2.0
47,1995,59.0,28.0,13.0,,,4.0
47,2000,58.0,29.0,13.0,,,2.0
47,2005,57.0,29.0,14.0,,,5.0
47,2010,74.0,14.0,12.0,16.0,83.0,1.0
47,2015,72.0,18.0,10.0,17.0,80.0,3.0
47,2020,65.0,22.0,13.0,19.0,79.0,2.0
49,1995,68.0,20.0,12.0,,,4.0
49,2000,67.0,21.0,12.0,,,3.0
49,2005,66.0,22.0,12.0,,,3.0
49,2010,70.0,20.0,10.0,14.0,84.0,2.0
49,2015,67.0,23.0,10.0,16.0,82.0,2.0
49,2020,54.0,33.0,13.0,29.0,67.0,4.0
51,1995,61.0,22.0,17.0,,,3.0
51,2000,61.0,24.0,15.0,,,4.0
51,2005,62.0,23.0,15.0,,,4.0
51,2010,69.0,19.0,12.0,13.0,85.0,2.0
51,2015,72.0,20.0,8.0,10.0,87.0,3.0
51,2020,60.0,25.0,15.0,23.0,73.0,4.0
53,1995,89.0,9.0,2.0,,,1.0
53,2000,91.0,7.0,2.0,,,1.0
53,2005,94.0,2.0,4.0,,,1.0
53,2010,87.0,9.0,4.0,4.0,96.0,0.0
53,2015,91.0,7.0,2.0,2.0,97.0,1.0
53,2020,75.0,17.0,8.0,5.0,91.0,4.0
55,1995,20.0,12.0,68.0,,,36.0
55,2000,21.0,11.0,68.0,,,36.0
55,2005,23.0,12.0,65.0,,,36.0
55,2010,24.0,12.0,64.0,29.0,31.0,40.0
55,2015,19.0,14.0,67.0,27.0,26.0,47.0
55,2020,66.0,19.0,15.0,14.0,80.0,6.0
57,1995,8.0,31.0,61.0,,,25.0
57,2000,8.0,32.0,60.0,,,25.0
57,2005,5.0,32.0,63.0,,,22.0
57,2010,6.0,35.0,59.0,62.0,16.0,22.0
57,2015,8.0,40.0,52.0,51.0,28.0,21.0
57,2020,45.0,24.0,31.0,35.0,55.0,10.0
59,1995,92.0,4.0,4.0,,,1.0
59,2000,89.0,7.0,4.0,,,2.0
59,2005,94.0,2.0,4.0,,,3.0
59,2010,94.0,2.0,4.0,3.0,96.0,1.0
59,2015,90.0,6.0,4.0,6.0,92.0,2.0
59,2020,70.0,20.0,10.0,13.0,85.0,2.0
61,1995,54.0,28.0,18.0,,,7.0
61,2000,50.0,33.0,17.0,,,6.0
61,2005,55.0,28.0,17.0,,,7.0
61,2010,51.0,31.0,18.0,29.0,67.0,4.0
61,2015,55.0,29.0,16.0,27.0,70.0,3.0
61,2020,42.0,33.0,25.0,37.0,53.0,10.0
63,1995,45.0,31.0,24.0,,,7.0
63,2000,50.0,27.0,23.0,,,5.0
63,2005,49.0,30.0,21.0,,,6.0
63,2010,53.0,27.0,20.0,28.0,68.0,4.0
63,2015,56.0,28.0,16.0,24.0,72.0,4.0
63,2020,41.0,35.0,24.0,43.0,51.0,6.0
65,1995,38.0,43.0,19.0,,,4.0
65,2000,34.0,47.0,19.0,,,3.0
65,2005,37.0,45.0,18.0,,,4.0
65,2010,38.0,43.0,19.0,37.0,61.0,2.0
65,2015,32.0,51.0,17.0,40.0,57.0,3.0
65,2020,30.0,38.0,32.0,52.0,38.0,10.0
69,1995,84.0,9.0,7.0,,,2.0
69,2000,81.0,12.0,7.0,,,2.0
69,2005,88.0,7.0,5.0,,,2.0
69,2010,82.0,10.0,8.0,10.0,89.0,1.0
69,2015,82.0,12.0,6.0,9.0,90.0,1.0
69,2020,61.0,26.0,13.0,21.0,75.0,4.0
71,1995,81.0,13.0,6.0,,,2.0
71,2000,78.0,16.0,6.0,,,1.0
71,2005,80.0,15.0,5.0,,,2.0
71,2010,79.0,14.0,7.0,8.0,91.0,1.0
71,2015,82.0,12.0,6.0,10.0,90.0,0.0
71,2020,53.0,28.0,19.0,33.0,65.0,2.0
73,1995,57.0,23.0,20.0,,,5.0
73,2000,55.0,25.0,20.0,,,6.0
73,2005,53.0,28.0,19.0,,,4.0
73,2010,49.0,29.0,22.0,27.0,68.0,5.0
73,2015,45.0,34.0,21.0,32.0,66.0,2.0
73,2020,41.0,38.0,21.0,44.0,52.0,4.0
75,1995,58.0,22.0,20.0,,,5.0
75,2000,57.0,25.0,18.0,,,4.0
75,2005,56.0,25.0,19.0,,,5.0
75,2010,57.0,25.0,18.0,25.0,70.0,5.0
75,2015,59.0,24.0,17.0,24.0,73.0,3.0
75,2020,56.0,29.0,15.0,27.0,69.0,4.0
77,1995,46.0,30.0,24.0,,,4.0
77,2000,47.0,30.0,23.0,,,4.0
77,2005,46.0,30.0,24.0,,,3.0
77,2010,47.0,32.0,21.0,38.0,59.0,3.0
77,2015,48.0,33.0,19.0,36.0,62.0,2.0
77,2020,47.0,38.0,15.0,37.0,59.0,4.0
79,1995,3.0,9.0,88.0,,,52.0
79,2000,6.0,10.0,84.0,,,48.0
79,2005,9.0,8.0,83.0,,,45.0
79,2010,6.0,18.0,76.0,57.0,11.0,32.0
79,2015,7.0,18.0,75.0,56.0,11.0,33.0
79,2020,46.0,25.0,29.0,33.0,57.0,10.0
81,1995,84.0,8.0,8.0,,,2.0
81,2000,84.0,6.0,10.0,,,3.0
81,2005,85.0,6.0,9.0,,,4.0
81,2010,84.0,6.0,10.0,9.0,88.0,3.0
81,2015,85.0,8.0,7.0,8.0,89.0,3.0
81,2020,61.0,29.0,10.0,21.0,75.0,4.0
83,1995,84.0,10.0,6.0,,,2.0
83,2000,83.0,11.0,6.0,,,3.0
83,2005,79.0,13.0,8.0,,,2.0
83,2010,82.0,11.0,7.0,8.0,91.0,1.0
83,2015,84.0,11.0,5.0,5.0,93.0,2.0
83,2020,61.0,20.0,19.0,21.0,75.0,4.0
85,1995,80.0,12.0,8.0,,,3.0
85,2000,79.0,13.0,8.0,,,2.0
85,2005,77.0,14.0,9.0,,,3.0
85,2010,81.0,12.0,7.0,10.0,88.0,2.0
85,2015,81.0,13.0,6.0,9.0,89.0,2.0
85,2020,65.0,22.0,13.0,19.0,79.0,2.0
87,1995,82.0,8.0,10.0,,,2.0
87,2000,83.0,6.0,11.0,,,4.0
87,2005,81.0,7.0,12.0,,,3.0
87,2010,75.0,16.0,9.0,10.0,85.0,5.0
87,2015,79.0,14.0,7.0,11.0,88.0,1.0
87,2020,71.0,16.0,13.0,26.0,70.0,4.0
89,1995,60.0,23.0,17.0,,,6.0
89,2000,59.0,25.0,16.0,,,7.0
89,2005,56.0,24.0,20.0,,,9.0
89,2010,54.0,23.0,23.0,25.0,69.0,6.0
89,2015,44.0,26.0,30.0,26.0,60.0,14.0
89,2020,52.0,33.0,15.0,31.0,65.0,4.0
91,1995,74.0,19.0,7.0,,,2.0
91,2000,73.0,18.0,9.0,,,3.0
91,2005,69.0,22.0,9.0,,,2.0
91,2010,69.0,22.0,9.0,13.0,86.0,1.0
91,2015,79.0,15.0,6.0,9.0,90.0,1.0
91,2020,67.0,22.0,11.0,13.0,81.0,6.0
93,1995,60.0,23.0,17.0,,,3.0
93,2000,57.0,25.0,18.0,,,4.0
93,2005,56.0,23.0,21.0,,,3.0
