,Code,Name,lat,lon
99,250219999,BOGUSŁAWICE,50.9980344, 17.1015665
100,250210060,BOGUSŁAWICE,50.9980344, 17.1015665
101,250160190,BOGUSZÓW-GORCE,50.755252150000004, 16.19636346251805
102,251169992,BOJANOWO,51.7070018, 16.7487692
103,253200110,BOLEJNY,53.4795922, 20.4102728
104,250199992,BOLESŁAW,50.2970061, 19.4811218
105,250160050,BOLESŁAWICE,50.8954027, 16.4633079
106,250160610,BOLESŁAWÓW,51.8904651, 17.3086684
107,252140070,BOLESZKOWICE,52.7259036, 14.5681557
108,252169988,BOLEWICKO,52.38195, 16.07268
109,250160030,BOLKÓW,50.9220033, 16.100499
110,252230030,BONDARY,52.9425011, 23.746475
111,250190150,BONOWICE,50.6219023, 19.773887
112,252200080,BORKOWO,52.5611271, 20.6639877
113,254200050,BORNITY,54.1897498, 20.055626
114,251150040,BOROWIEC,51.9800229, 20.7277628
115,253170010,BOROWY MŁYN,53.8685281, 18.9608716
116,250160070,BORÓW,52.0497962, 19.0655818
117,250189987,BORUCIN,51.8096102, 17.8213127
118,254170110,BORUCINO,53.75692, 16.03086
119,254170210,BORUCINO,53.75692, 16.03086
120,250200230,BORUSOWA,50.2763195, 20.8013308
121,250189981,BORYNIA,50.0073651, 18.6482257
122,250200290,BORZĘCIN,54.2455495, 18.5728044
123,253180010,BOŻEPOLE SZLACHECKIE,53.976345, 18.2298366
124,250170430,BRANICE,49.4024637, 14.339536
125,254190040,BRANIEWO,54.37918145, 19.82212111819879
126,252220050,BRAŃSK,52.7454145, 22.8328169
127,251190010,BRATOSZEWICE,51.9294881, 19.6522861
128,249189994,BRENNA,45.742978, 9.187142
129,249180160,BRENNA,45.742978, 9.187142
130,249180190,BRENNA-LEŚNICA,49.69794, 18.90374
131,252160220,BRODNICA,53.258092, 19.3993626
132,253190210,BRODNICA N/DRWĘCĄ,53.2523834, 19.4035945
133,252169997,BRODY,51.7867086, 14.7743044
134,251210240,BRODY IŁŻECKIE,51.0215143, 21.2002986
135,253180050,BRODY POMORSKIE,53.86343, 18.75826
136,251140030,BROŻEK (ZASIEKI),51.7195755, 14.6835144
137,253190330,BRUDNICE,53.0735721, 19.8721474
138,250180180,BRUSIEK,50.5851243, 18.8110989
139,254160010,BRUSKOWO MAŁE,54.4887204, 16.8824856
140,254169999,BRUSKOWO WIELKIE,54.4936547, 16.9125945
141,251239993,BRUSS STARY,None, None
142,252200190,BRWINÓW,52.1425551, 20.7170701
143,252209995,BRWINÓW,52.1425551, 20.7170701
144,250180250,BRYNICA,50.3499995, 19.0522414
145,250170050,BRZEG,50.8614882, 17.470497
146,251160230,BRZEG DOLNY,51.2691744, 16.7083805
147,249229993,BRZEGI DOLNE,49.4426541, 22.6160093
148,249220130,BRZEGI DOLNE,49.4426541, 22.6160093
149,252189987,BRZEŚĆ KUJAWSKI,52.6048164, 18.9015463
150,251170170,BRZEZIE,50.9359159, 21.0533424
151,249210020,BRZEZINY,51.8004949, 19.7517694
152,253150240,BRZEŹNIAK,50.9069723, 21.3442965
153,249190020,BRZEŹNICA,51.5547918, 21.6346173
154,250219987,BRZEŹNICA N/WISŁOKĄ,None, None
155,249219997,BRZOSTEK,49.8784697, 21.411865
156,252150320,BRZOZA,50.9083307, 17.0032315
157,253190190,BRZOZIE,53.3257145, 19.60188
158,249229994,BRZOZÓW,49.6950395, 22.0196537
159,251219990,BRZÓZA,51.6002614, 21.3465655
160,253190350,BRZUZE,53.0536334, 19.2617851
161,251159984,BUCHAŁÓW,51.9114816, 15.3649002
162,253179987,BUCZEK MAŁY,50.5363271, 16.7013219
163,251150120,BUCZYNA,51.5455019, 15.9059572
164,253190010,BUCZYNIEC,50.6424092, 17.0522767
165,253190340,BUCZYNIEC,50.6424092, 17.0522767
166,252159996,BUDACHÓW,52.15218, 15.09045
167,250219992,BUDY TUSZOWSKIE,50.3875, 21.6641667
168,251169997,BUDZISZÓW MAŁY,51.0968708, 16.4619169
169,251160270,BUDZISZÓW WIELKI,51.0897587, 16.4307283
170,249220020,BUDZIWÓJ,49.9673568, 21.9825627
171,249199994,BUDZÓW,50.5821639, 16.6940219
172,249220360,BUKOWIEC,49.5511438, 18.8268293
173,254170070,BUKOWINA,51.2106913, 17.1404313
174,249200480,BUKOWINA TATRZAŃSKA,49.3423002, 20.1072586
175,250150260,BUKÓWKA,50.9501445, 21.141585
176,251209996,BUKÓWNO,51.5435562, 20.841584
177,253220160,BURZYN,53.277754, 22.45417
178,353170240,BYDGOSZCZ,53.1219648, 18.0002529
179,253180220,BYDGOSZCZ,53.1219648, 18.0002529
180,253170260,BYDGOSZCZ-SZWEDEROWO,53.1089529, 18.000015409700183
181,253170260,BYDGOSZCZ-SZWEDEROWO,53.1089529, 18.000015409700183
182,250160550,BYSTRZYCA KŁODZKA,50.2968684, 16.652017
183,250169985,BYSTRZYCA KŁODZKA,50.2968684, 16.652017
184,253190320,BYSZWAŁD,53.53243, 19.73969
185,250189975,BYTOM,50.3470387, 18.9231857
186,251159989,BYTOM ODRZAŃSKI,51.7308267, 15.826918
187,251150060,CEBER,50.6855744, 21.2228354
188,251160330,CEBER-KOZIE DOŁY,None, None
189,254179993,CECENOWO,54.64046, 17.54238
190,251189991,CEKÓW,51.8964019, 18.2994541
191,251210280,CELEJÓW,51.85953, 21.35797
192,252210230,CELESTYNÓW,51.3667288, 21.6961065
193,251190260,CHAJCZYNY,51.4674159, 19.109364
194,249180030,CHAŁUPKI,50.4887946, 16.9960416
195,250199995,CHECHŁO,50.3677296, 19.5126518
196,251230140,CHEŁM,51.1339221, 23.4711548
197,250160290,CHEŁMSKO ŚLĄSKIE,50.6672019, 16.0665097
198,251170190,CHEŁSTÓW,51.33571, 17.498
199,251200170,CHEŁSTY,52.9247675, 21.4339015
200,250209995,CHMIELNIK,50.6145952, 20.7510406
201,250219994,CHMIELÓW,51.0714236, 16.741181
202,251169993,CHOBIENIA,51.5438322, 16.4486257
203,251150150,CHOCIANÓW,51.4168327, 15.8986889
204,250160430,CHOCIESZÓW,50.4529371, 16.4896952
205,251170020,CHOCZ,51.97514, 17.8707
206,252190110,CHODECZ,52.4051735, 19.0272596
207,251220170,CHODEL,51.1121689, 22.1350543
208,253169991,CHODZIEŻ,52.994997749999996, 16.919925663627275
209,252140010,CHOJNA,52.9629793, 14.4314113
210,353170235,CHOJNICE,53.6952912, 17.5614973
211,251150190,CHOJNÓW,51.2722894, 15.9335241
212,253159993,CHOMĘTOWO,52.9519882, 15.663272
213,253200180,CHORZELE,53.2610476, 20.8978631
214,250210180,CHORZELÓW,50.3283855, 21.4359549
215,250189984,CHORZÓW-MIASTO,50.2985177, 18.9494087
216,253150180,CHOSZCZNO,53.1704801, 15.4167349
217,252230090,CHRABOŁY,52.8579878, 23.1959997
218,250200190,CHROBERZ,50.422448, 20.5558784
219,252180010,CHROŚNA,52.9912105, 18.2182826
220,250150010,CHROŚNICA,52.2672866, 16.0026312
221,250190370,CHRZANÓW,50.1411926, 19.4028502
