,Name,Code,Value,coordinates,lat,lon
154180060,"GORĘCZYNO,Poland",Radunia (4868),15330,"(54.2653763, 18.1626374)",54.2653763, 18.1626374
154180130,"JUSZKOWO,Poland",Radunia (4868),15340,"(54.2562871, 18.603323)",54.2562871, 18.603323
154180270,"PRUSZCZ GDAŃSKI,Poland",Radunia (4868),153404,"(54.2608539, 18.6461908)",54.2608539, 18.6461908
154180260,"PRUSZCZ GDAŃSKI,Poland",Kanał Raduński (48696),153406,"(54.2608539, 18.6461908)",54.2608539, 18.6461908
154190010,"NOWY DWÓR GDAŃSKI,Poland",Tuja (5146),15341,"(54.2146299, 19.1150846)",54.2146299, 19.1150846
153190030,"PRABUTY,Poland",Jez. Dzierzgoń (52251),15342,"(53.755995, 19.2044449)",53.755995, 19.2044449
153180130,"KWIDZYN,Poland",Liwa (522),15350,"(53.7335842, 18.9319222)",53.7335842, 18.9319222
153190040,"BĄGART,Poland",Elbląg (54),15360,"(53.9658918, 19.3577451)",53.9658918, 19.3577451
154190080,"ŻUKOWO,Poland",Jez. Druzno (5459999),15361,"(54.3458564, 18.3650087)",54.3458564, 18.3650087
154190060,"ELBLĄG,Poland",Elbląg (54),15362,"(54.1558708, 19.4044583)",54.1558708, 19.4044583
154190100,"PASŁĘK,Poland",Wąska (5456),15370,"(54.0626346, 19.6565365)",54.0626346, 19.6565365
154190110,"NOWE SADŁUKI,Poland",Bauda (558),15375,"(54.2596623, 19.7150962)",54.2596623, 19.7150962
154190120,"BARANÓWKA,Poland",Bauda (558),15380,"(51.9279203, 21.3051742)",51.9279203, 21.3051742
153200040,"TOMARYNY,Poland",Pasłęka (56),15390,"(53.72512, 20.21712)",53.72512, 20.21712
153200030,"KALISTY,Poland",Pasłęka (56),15395,"(53.91952, 20.19279)",53.91952, 20.19279
154209999,"OLKOWO,Poland",Pasłęka (56),15400,"(54.10106, 20.02645)",54.10106, 20.02645
154190170,"ŁOZY,Poland",Pasłęka (56),15410,"(51.4900502, 15.3599097)",51.4900502, 15.3599097
154190150,"PIERZCHAŁY 2,Poland",Pasłęka (56),15415,"(53.08668, 20.78807)",53.08668, 20.78807
154190160,"PIERZCHAŁY,Poland",Pasłęka (56),15420,"(52.8219444, 22.9408334)",52.8219444, 22.9408334
154190140,"BRANIEWO,Poland",Pasłęka (56),15430,"(54.3825966, 19.827344)",54.3825966, 19.827344
153200060,"DOROTOWO,Poland",Jez. Wulpińskie (56219),15431,"(53.6954107, 20.4141286)",53.6954107, 20.4141286
153209999,"BOGACZEWO,Poland",Jez. Narie (564219),15432,"(54.0983525, 19.5733591)",54.0983525, 19.5733591
154200020,"KROSNO,Poland",Drwęca Warmińska (566),15435,"(49.68898435, 21.75347880451494)",49.68898435, 21.75347880451494
154209998,"ORNETA,Poland",Drwęca Warmińska (566),15440,"(54.1155533, 20.1303378)",54.1155533, 20.1303378
154200010,"BORNITY,Poland",Wałsza (568),15450,"(54.1897498, 20.055626)",54.1897498, 20.055626
153200070,"OLSZTYN-KORTOWO,Poland",Łyna (584),15460,"(53.7615186, 20.4350857)",53.7615186, 20.4350857
153209995,"BUKWAŁD,Poland",Łyna (584),15470,"(53.8776789, 20.3577319)",53.8776789, 20.3577319
154200030,"SMOLAJNY,Poland",Łyna (584),15480,"(54.0281733, 20.4065272)",54.0281733, 20.4065272
154209996,"BARTOSZYCE,Poland",Łyna (584),15490,"(54.2523708, 20.8143702)",54.2523708, 20.8143702
154210010,"SĘPOPOL,Poland",Łyna (584),15500,"(54.2678744, 21.0144242)",54.2678744, 21.0144242
153209994,"STAWIGUDA,Poland",Jez. Pluszne Wielkie (5842819),15501,"(53.6584991, 20.4011694)",53.6584991, 20.4011694
153200140,"DADAJ,Poland",Jez. Dadaj (584439),15502,"(53.8723807, 20.844480482762776)",53.8723807, 20.844480482762776
153200190,"KOJTRYNY,Poland",Wadąg (5844),155021,"(53.8291109, 20.8656126)",53.8291109, 20.8656126
153200180,"WILIMY,Poland",Biesówka (584434),155022,"(53.8951689, 20.8546847)",53.8951689, 20.8546847
153200200,"DROSZEWO,Poland",Czerwonka (584432),155024,"(53.9058015, 20.8815713)",53.9058015, 20.8815713
